Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,195.41700,72.36200,123.05500,32.97600,108.26300,152.51400,-29.45900,5.05100,-24.40800,0.86300,-25.27100,-25.27100,-25.27100,-7.89800,-29.45900,149.18000,149.18000,-0.17000,-0.17000,1.26100,62.97050,-15.07490,-15.07490,-12.49020,-12.93180,0.32090,2.40770,37.38040,-12.87650,-13.96540,-4.15020,-12.87650,1.33790,-0.0327,-0.0613
2024-06-30,194.36000,73.24400,121.11600,32.40800,114.25400,146.66200,-25.54600,-5.46600,-31.01200,0.80200,-31.81400,-31.81400,-31.81400,-4.25300,-25.54600,152.98790,152.98790,-0.21000,-0.21000,1.38910,62.31530,-13.14370,-13.14370,-15.95600,-16.36860,0.28930,2.36800,38.00690,-12.61190,-13.46370,-4.73470,-12.61190,1.66300,0.1901,0.1647
2024-03-31,196.84600,76.28200,120.56400,31.22300,112.07000,143.29300,-22.72900,5.41700,-17.31200,1.02700,-18.33900,-18.33900,-18.33900,-2.20500,-22.72900,156.57040,156.57040,-0.12000,-0.12000,1.47800,61.24790,-11.54660,-11.54660,-8.79470,-9.31640,0.27790,1.97310,45.61360,-6.18530,-6.55950,-2.58860,-6.18530,1.93040,0.13390,0.11180
2023-12-31,189.54500,79.69500,109.85010,29.50600,106.00400,135.51000,-25.65990,6.14100,-19.51900,0.72900,-20.24800,-20.24800,-20.24800,-5.46190,-25.66000,150.09880,150.09880,-0.12000,-0.12000,1.66340,57.95460,-13.53770,-13.53770,-10.29780,-10.68240,0.25570,2.04790,43.94710,-5.67340,-5.97250,-2.73180,-5.67340,2.27080,-0.0482,-0.0707
2023-09-30,184.72200,77.26400,107.45800,30.30700,98.64700,128.95400,-21.49600,5.54000,-15.95600,0.81100,-16.76700,-16.76700,-16.76700,-2.66000,-21.49600,151.30800,151.30800,-0.11000,-0.11000,1.60880,58.17280,-11.63690,-11.63690,-8.63780,-9.07690,0.25080,2.22940,40.36950,-4.84820,-5.12730,-2.27660,-4.84820,2.26540,0.078,0.0583
2023-06-30,178.24000,75.93800,102.30200,29.63500,99.99400,129.76400,-27.46200,2.78300,-24.67900,1.05600,-25.73500,-25.73500,-25.73500,-10.04100,-27.46200,148.07130,148.07130,-0.17000,-0.17000,1.57830,57.39560,-15.40730,-15.40730,-13.84590,-14.43840,0.24680,2.04890,43.92700,-7.72540,-8.21470,-3.56370,-7.72540,2.22310,0.0933,0.0715
2023-03-31,176.43000,76.70100,99.72900,30.88700,105.99100,147.00600,-47.27700,3.79000,-43.48700,1.05700,-44.54400,-44.54400,-44.54400,-30.98300,-47.27700,145.73770,145.73770,-0.31000,-0.31000,1.55550,56.52610,-26.79650,-26.79650,-24.64830,-25.24740,0.24610,1.82980,49.18700,-13.70230,-14.64420,-6.21340,-13.70230,2.21710,-0.13650,-0.15950
2022-12-31,165.33000,73.99000,91.34000,29.96100,115.47500,145.43600,-54.09610,3.07800,-51.01800,1.13500,-52.15300,-52.15300,-52.15300,-38.77510,-54.09600,140.87350,140.87350,-0.37000,-0.37000,1.58960,55.24710,-32.72010,-32.72000,-30.85830,-31.54480,0.22420,1.58170,56.90260,-15.37030,-16.43480,-7.07090,-15.37030,2.33980,-0.2179,-0.244
2022-09-30,158.43200,69.08000,89.35200,28.06200,104.54100,132.60300,-43.25100,-2.93100,-46.18200,0.51100,-46.69300,-46.69300,-46.69300,-29.24200,-43.25100,140.95160,140.95160,-0.33000,-0.33000,1.69830,56.39770,-27.29940,-27.29940,-29.14940,-29.47200,0.21690,2.21340,40.66220,-13.09700,-14.00200,-6.39290,-13.09700,2.52380,-0.0974,-0.1305
2022-06-30,153.11200,65.81200,87.30000,23.96300,91.86400,115.82700,-28.52700,-0.54500,-29.07200,0.30800,-29.38000,-29.38000,-29.38000,-15.91100,-28.52700,140.03520,140.03520,-0.21000,-0.21000,1.75830,57.01710,-18.63150,-18.63150,-18.98740,-19.18860,0.20520,2.20920,40.73840,-7.83580,-8.37430,-3.93840,-7.83580,2.66630,-0.0172,-0.046
