Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,11.65540,11.65540,1.73550,-0.85310,4.89980,-5.94750,-1.04770,-1.04770,-1.04770,-1.69500,7.79290,4.89980,9.43090,10.95900,-0.18000,-0.18000,1.32110,42.03900,42.03900,-8.98930,-14.54240,0.02300,-0.49480,-0.49780,-0.20650,-0.49480,22.16180,0.4971,0.4971
2024-06-30,11.40950,11.40950,1.48640,-0.69400,5.09260,-3.83080,1.26170,1.26170,1.26170,0.40300,7.81810,5.09260,9.44150,11.41910,0.04000,0.03000,1.23920,44.63420,44.63420,11.05860,3.53250,0.02200,0.55900,0.56220,0.24290,0.55900,23.80230,0.4111,0.4111
2024-03-31,11.96660,11.96660,3.37790,2.20380,6.65900,-2.02170,4.63730,4.63730,4.63730,2.80260,9.12680,6.65900,8.56840,11.35930,0.33000,0.33000,1.22460,55.64660,55.64660,38.75240,23.42010,0.02290,2.03090,2.04250,0.88760,2.03090,24.31890,0.26300,0.26300
2023-12-31,12.09050,12.09050,2.78310,-15.42610,-10.26620,8.42410,-1.84210,-1.84210,-1.84210,-2.21700,-8.65450,-10.26620,7.55880,7.55880,-0.29000,-0.23000,1.24170,-84.91100,-84.91100,-15.23550,-18.33630,0.02280,-0.81830,-0.82310,-0.34700,-0.81820,29.21920,0.9678,0.9678
2023-09-30,12.56630,12.56630,10.20500,-2.90400,-4.71790,-2.18740,-6.90520,-6.90520,-6.90520,-6.45820,-2.31300,-4.71790,7.54810,9.14800,-0.86000,-0.86000,1.18500,-37.54380,-37.54380,-54.95040,-51.39310,0.02330,-2.89650,-2.91270,-1.28100,-2.89640,31.46240,0.5402,0.5402
2023-06-30,11.90260,11.90260,2.25790,-1.52790,4.16040,0.46950,4.63000,4.63000,4.63000,3.05840,6.62430,4.16040,7.53210,10.63830,0.41000,0.35000,1.21830,34.95390,34.95390,38.89880,25.69560,0.02170,1.92840,1.93930,0.84270,1.92840,31.88070,0.3155,0.3155
2023-03-31,10.37720,10.37720,2.56820,-5.20630,-0.66940,-3.90950,-4.57890,-4.57890,-4.57890,-4.68460,1.51480,-0.66940,7.53250,7.53250,-0.62000,-0.62000,0.90840,-6.45060,-6.45060,-44.12490,-45.14330,0.02230,-1.95750,-1.97280,-0.98510,-1.95750,30.90720,0.36970,0.36970
2022-12-31,13.80450,13.80450,2.91250,-9.48770,-2.94350,3.66420,0.72070,0.72070,0.72070,-0.15860,-0.76360,-2.94350,7.48720,7.48720,-0.03000,0.05000,0.81090,-21.32240,-21.32240,5.22100,-1.14910,0.03040,0.29900,0.30130,0.15860,0.29900,32.08500,1.3075,1.3075
2022-09-30,10.30340,10.30340,2.38760,2.51640,6.83360,-2.38280,4.45080,4.45080,4.45080,3.00040,8.71120,6.83360,7.45000,10.18050,0.40000,0.35000,0.82440,66.32360,66.32360,43.19710,29.12000,0.02230,1.83270,1.84750,0.96200,1.83270,32.53320,0.4195,0.4195
2022-06-30,10.14450,10.14450,2.29490,-0.71410,3.45270,-1.06240,2.39030,2.39030,2.39030,1.24930,6.29640,3.45270,7.47900,10.22150,0.17000,0.14000,0.84440,34.03550,34.03550,23.56300,12.31460,0.02220,1.00800,1.01070,0.52390,1.00800,31.80230,0.6404,0.6404
