Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,14.96900,14.96900,11.13900,13.42000,0.21000,-9.38000,1.24800,-8.13200,,-8.13200,-8.12900,-8.11400,-7.90500,-9.38000,39.41900,39.41900,-0.21000,-0.21000,8.93410,,,100.00000,-62.66290,-62.66290,-54.32560,-54.20540,0.07930,2.77050,32.48510,-5.09780,-6.52850,-4.30810,-5.09780,4.03260,-0.4558,-0.4586
2024-06-30,,,11.66200,7.20100,0.57700,-18.28600,1.33600,-16.95000,0.00700,-16.95700,-16.94300,-16.93100,-16.81900,-18.28600,39.04110,39.04110,-0.43000,-0.43000,8.45970,,,,,,,,,,,-10.80620,-13.99620,-9.07260,-10.80620,4.00130,-0.3054,-0.3103
2024-03-31,,,11.12500,5.99400,0.20500,-16.91400,1.35700,-15.55700,-0.03700,-15.52000,-15.52000,-15.48900,-15.48400,-16.91400,38.77400,38.77400,-0.40000,-0.40000,11.15160,,,,,,,,,,,-9.02240,-11.45470,-7.78020,-9.02240,4.41600,-0.30490,-0.31280
2023-12-31,,,6.37300,13.61500,,-19.98800,1.87800,-18.11000,-0.82000,-17.29000,-17.29000,-17.29300,-18.55300,-19.98800,38.38600,38.38600,-0.44000,-0.44000,12.45480,,,,,,,,,,,-9.24620,-11.55150,-8.06040,-9.24620,4.83890,-0.5139,-0.5104
2023-09-30,,,15.14400,0.96100,,-16.10500,1.39200,-14.71300,-0.60300,-14.11000,-14.11000,-14.07200,-14.63100,-16.10500,38.53400,38.53400,-0.37000,-0.37000,9.21240,,,,,,,,,,,-7.21360,-8.95900,-6.13560,-7.21360,5.07440,-0.2887,-0.2892
2023-06-30,0.33400,0.33400,13.54300,13.12800,,-26.33700,1.37700,-24.96000,-1.13600,-23.82400,-23.82400,-23.80200,-25.03800,-26.33700,38.40770,38.40770,-0.62000,-0.62000,15.25700,,,100.00000,-7885.33000,-7885.33000,-7473.05400,-7126.34700,0.00140,0.09580,939.34140,-10.95550,-13.34190,-9.67950,-10.95550,5.64480,-0.4406,-0.5187
2023-03-31,0.46800,0.46800,9.81400,12.13800,,-21.48400,2.74500,-18.73900,-0.51600,-18.22300,-18.22300,-18.18000,-20.26300,-21.48400,38.01300,38.01300,-0.48000,-0.48000,16.73880,,,100.00000,-4590.59800,-4590.59800,-4004.06000,-3884.61500,0.00180,0.13600,661.73070,-7.80200,-9.39910,-6.96020,-7.80200,6.08930,-0.08350,-0.14940
2022-12-31,6.45700,6.45700,12.18500,19.43800,,-25.16600,1.98400,-23.18200,-2.01900,-21.16300,-21.16300,-21.18900,-23.98900,-25.16600,38.16900,38.16900,-0.57000,-0.55800,17.40250,,,100.00000,-389.74770,-389.74760,-359.02130,-328.15550,0.02390,0.62160,144.79170,-8.70190,-10.43940,-7.83220,-8.70190,6.45370,-0.2972,-0.3124
2022-09-30,6.16500,6.16500,9.74400,-10.81500,,7.23600,0.31100,7.54700,-0.67400,8.22100,8.22100,8.24200,8.42400,7.23600,37.24700,38.15700,0.22000,0.22000,15.58130,,,100.00000,117.37230,117.37230,122.41690,133.69020,0.02240,0.60040,149.91240,3.36720,4.06050,2.98420,3.36720,6.54720,0.3113,0.2583
2022-06-30,17.06300,17.06300,9.72000,-5.89200,,13.23500,1.53900,14.77400,-0.91500,15.68900,15.68900,15.69300,14.22700,13.23500,37.20300,38.17400,0.42000,0.41000,18.60030,,,100.00000,77.56550,77.56550,86.58500,91.97090,0.05990,0.76640,117.43830,6.15820,7.39050,5.50380,6.15820,6.84560,-0.2206,-0.2746
