Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,39.01820,39.01820,27.92420,-0.87660,10.21750,9.66900,19.88640,5.24180,14.64460,14.64460,14.64460,10.51340,10.21750,2.73860,2.73860,5.35000,5.35000,2.01780,100.00000,26.18640,26.18640,50.96700,37.53270,0.16200,1.87490,48.00150,8.79590,8.79590,6.08140,8.79590,60.91950,6.7917,6.6938
2024-06-30,36.66130,36.66130,24.51350,-0.01520,12.13260,-0.65460,11.47800,3.35220,8.12580,8.12580,8.12580,12.45150,12.13260,2.76900,2.76900,2.93000,2.93000,2.29770,100.00000,33.09380,33.09380,31.30830,22.16460,0.17210,1.92490,46.75660,5.19100,5.19100,3.81400,5.19100,56.90160,6.8606,6.8575
2024-03-31,36.29490,36.29490,27.16700,-0.82510,8.30280,9.36570,17.66850,4.65260,13.01590,13.01590,13.01590,8.62270,8.30280,2.81680,2.81680,4.62000,4.62000,3.17780,100.00000,22.87600,22.87600,48.68040,35.86160,0.17360,1.70430,52.80670,8.22310,8.22310,6.22520,8.22310,56.42980,-4.36290,-4.41030
2023-12-31,33.82100,33.82100,24.96020,-4.44570,4.41500,13.34900,17.76400,4.15100,13.61300,13.61300,13.61300,4.73190,4.41500,2.94900,2.94900,4.74000,4.74000,1.96310,100.00000,13.05420,13.05420,52.52360,40.25010,0.14570,1.87360,48.03570,8.49130,8.49130,5.86530,8.49130,56.78950,7.7987,7.7988
2023-09-30,35.55430,35.55430,22.36520,-0.82790,12.36120,-4.63700,7.72420,2.52360,5.20060,5.20060,6.47340,12.67860,12.36120,2.93910,2.93910,2.20000,2.20000,2.18470,100.00000,34.76710,34.76710,21.72520,18.20720,0.13980,1.57340,57.20140,3.17940,3.17940,2.04500,3.17940,56.04170,4.5924,4.5923
2023-06-30,33.35060,33.35060,22.75860,-2.80580,7.78620,6.27670,14.06290,3.89390,10.16900,10.16900,9.43250,8.11320,7.78620,2.97000,2.97000,3.18000,3.18000,2.92800,100.00000,23.34640,23.34640,42.16680,28.28280,0.13860,1.75920,51.16040,6.20280,6.20280,4.22620,6.20280,55.57320,3.9205,3.9178
2023-03-31,33.99050,33.99050,22.26600,-0.78290,10.94160,8.08270,19.02430,4.92130,14.10310,14.10310,12.70760,11.26950,10.94160,3.02510,3.02510,4.20000,4.20000,3.74440,100.00000,32.19010,32.19010,55.96950,37.38560,0.14490,1.80460,49.87300,8.33280,8.33280,6.01330,8.33280,55.89410,-4.55540,-4.56000
2022-12-31,34.95380,34.95380,24.87170,-1.10780,8.97430,13.11530,22.08970,5.08210,17.00760,17.00760,14.87680,9.30500,8.97430,3.10800,3.10800,4.84000,4.84000,2.03400,100.00000,25.67480,25.67480,63.19670,42.56140,0.13990,2.01710,44.61920,10.39120,10.39120,6.80790,10.39120,54.37620,7.4441,7.4188
2022-09-30,38.26470,38.26470,21.41220,-0.81990,16.03260,-1.21810,14.81450,4.44210,10.37240,10.37240,12.01440,16.36390,16.03260,3.07870,3.07870,3.90000,3.90000,2.36700,100.00000,41.89920,41.89920,38.71580,31.39830,0.15700,1.97980,45.45940,6.22460,6.22460,4.25660,6.22460,54.88630,5.1119,5.1117
2022-06-30,39.02110,39.02110,22.62250,3.85290,20.25150,-17.67790,2.57360,1.35790,1.21580,1.21580,4.41290,20.60420,20.25150,3.15300,3.15300,1.40000,1.40000,2.74110,100.00000,51.89890,51.89890,6.59550,11.30900,0.15470,2.03160,44.30090,0.71050,0.71050,0.48210,0.71050,54.81130,4.4409,4.4409
2022-03-31,42.25640,42.25640,22.36550,-0.81790,19.07300,-7.59230,11.48080,3.20580,8.27500,8.27500,9.13000,19.43590,19.07300,3.18590,3.18590,2.87000,2.87000,3.45420,100.00000,45.13650,45.13650,27.16930,21.60610,0.16170,1.99950,45.01060,4.53150,4.53150,3.16610,4.53150,57.22660,-4.29330,-4.30050
2021-12-31,43.05520,43.05520,21.57370,-4.84340,16.63820,7.47030,24.10840,5.28380,18.82460,18.82460,17.99960,16.98860,16.63820,3.17900,3.17900,5.69000,5.69000,2.22090,100.00000,38.64380,38.64380,55.99420,41.80590,0.15050,2.10610,42.73400,10.20730,10.20730,6.57850,10.20730,58.14090,3.4789,3.4537
2021-09-30,55.05460,55.05460,25.84020,-0.89340,28.32100,6.37040,34.69140,9.81560,24.87580,24.87580,25.62770,28.67430,28.32100,3.19300,3.19300,8.03000,8.03000,3.32560,100.00000,51.44170,51.44170,63.01280,46.54960,0.17380,1.65660,54.32850,10.90770,10.90770,7.85360,10.90770,71.89690,3.9139,3.7988
2021-06-30,45.06970,45.06970,26.35910,-0.94370,17.76690,5.87710,23.64400,6.01740,17.62650,17.62650,16.86480,18.12590,17.76690,3.19700,3.19700,5.28000,5.28000,3.96680,100.00000,39.42090,39.42090,52.46090,37.41950,0.15670,1.98580,45.32130,8.39730,8.39730,6.12950,8.39730,65.43220,5.8447,5.7683
2021-03-31,39.01440,39.01440,21.49870,-3.98370,13.53210,5.66350,19.19560,4.93300,14.26260,14.26260,13.70850,13.75090,13.53210,3.15700,3.15700,4.34000,4.34000,4.84740,100.00000,34.68490,34.68490,49.20120,35.13700,0.15020,1.97860,45.48590,7.33520,7.33520,5.49270,7.33520,60.80080,-4.96060,-5.09150
2020-12-31,35.03730,35.03730,15.71790,-11.24360,8.07570,12.36750,20.44330,4.52880,15.91440,15.91440,14.36420,8.31800,8.07570,3.21500,3.21500,4.47000,4.47000,3.27620,100.00000,23.04890,23.04900,58.34710,40.99700,0.13320,1.96770,45.73780,8.64540,8.64540,6.04890,8.64540,58.08800,6.6574,6.4368
2020-09-30,31.17580,31.17580,20.34270,-0.86350,9.96960,5.05280,15.02240,3.88180,11.14060,11.14060,10.56550,10.21240,9.96960,3.20100,3.20100,3.30000,3.30000,5.18120,100.00000,31.97870,31.97870,48.18610,33.89020,0.11580,1.98520,45.33540,5.40660,5.40660,4.13970,5.40660,65.10440,5.1978,4.9246
2020-06-30,28.24890,28.24890,20.43190,-0.78930,7.02770,11.56260,18.59030,4.95180,13.63850,13.63850,12.20070,7.27030,7.02770,3.22100,3.22100,3.79000,3.79000,5.51730,100.00000,24.87770,24.87770,65.80890,43.18990,0.10880,2.01890,44.57950,6.81410,6.81410,5.25240,6.81410,62.29420,6.1283,5.8951
2020-03-31,31.92580,31.92580,18.80150,7.34090,20.46520,-22.39810,-1.93290,0.59540,-2.52840,-2.52840,1.53010,20.73020,20.46520,3.27300,3.27300,0.47000,0.47000,8.09250,100.00000,64.10240,64.10240,-6.05450,4.79270,0.13460,2.39140,37.63480,-1.32530,-1.32530,-1.06570,-1.32530,58.73770,0.60830,0.57310
2019-12-31,35.90760,35.90760,19.56380,-4.37860,11.96520,6.88000,18.84510,4.32090,14.52430,14.52430,13.41380,12.23690,11.96520,3.43700,3.43700,4.00000,4.01000,3.20960,100.00000,33.32210,33.32210,52.48230,37.35630,0.13170,2.08480,43.16920,7.53120,7.53120,5.32680,7.53120,58.52980,4.8301,4.803
2019-09-30,34.59240,34.59240,21.05770,-0.77810,12.75650,2.82290,15.57950,4.06280,11.51660,11.51660,11.41750,13.07910,12.75650,3.41200,3.41200,3.35000,3.35000,5.01010,100.00000,36.87670,36.87670,45.03740,33.00570,0.11940,2.12620,42.32940,5.15930,5.15930,3.97520,5.15930,65.57640,3.4609,3.32
