Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,784.86600,784.86600,44.62800,568.97300,-10.02500,161.18710,161.18700,45.05200,116.13500,116.13500,107.93800,289.07110,161.18710,93.62700,103.47500,1.13000,1.02000,2.23930,0.73150,2.72480,100.00000,20.53690,20.53690,20.53690,13.75240,0.16280,1.15080,78.20750,17.07900,40.69020,2.40940,4.58520,7.51620,2.8149,4.5265
2024-06-30,685.34900,685.34900,46.40600,560.93200,-14.30300,63.64000,63.64000,11.58700,52.05300,52.05300,49.03600,209.68300,63.64000,92.88600,100.62800,0.53000,0.49000,1.94140,0.78270,3.60210,100.00000,9.28580,9.28580,9.28580,7.15490,0.15140,0.94470,95.27110,10.12330,43.29710,1.14980,2.19970,5.70250,1.7629,1.7187
2024-03-31,764.75300,764.75300,44.91700,653.30000,-11.90700,54.56100,54.56100,14.33700,40.22400,40.22400,34.47600,185.17300,54.56100,91.26000,99.35200,0.38000,0.35000,1.89400,0.80500,4.12780,100.00000,7.13450,7.13450,7.13450,4.50810,0.16670,1.01900,88.32060,8.96790,73.91640,0.87690,1.74890,4.95520,-0.90570,-0.97220
2023-12-31,806.02110,806.02110,47.36300,670.48070,-16.18500,71.89720,71.89700,0.40300,71.49400,71.49400,61.01500,158.49320,71.89730,88.99400,88.99400,0.71000,0.72000,1.62280,0.77800,3.50530,100.00000,8.92000,8.92000,8.92000,7.56990,0.17390,1.05730,85.12020,14.82700,81.93360,1.54220,3.29100,5.51540,3.7264,3.617
2023-09-30,523.91800,523.91800,46.89700,466.80200,-14.98000,-4.85700,-4.85700,-11.63100,6.77400,6.77400,7.13900,109.42400,-4.85700,89.42600,94.30900,0.07000,0.06000,1.70800,0.80110,4.02700,100.00000,-0.92710,-0.92710,-0.92710,1.36260,0.12200,0.82880,108.58940,1.61450,26.59930,0.15770,0.32120,4.80000,0.4954,0.4263
2023-06-30,643.11400,643.11400,51.37000,683.98300,-17.73900,-110.07310,-110.07300,10.30300,-120.37600,-120.37600,-124.77600,42.31400,-110.07310,88.73000,88.73000,-1.41000,-1.41000,1.55900,0.80240,4.06110,100.00000,-17.11560,-17.11560,-17.11560,-19.40190,0.13970,0.95340,94.40040,-28.94450,-567.72440,-2.61520,-5.71900,4.78750,2.3255,2.2441
2023-03-31,542.43600,542.43600,44.04000,555.40400,20.13200,-36.92400,-36.92400,-21.72500,-15.19900,-15.19900,-23.29700,82.52200,-36.92400,87.59200,87.59200,-0.27000,-0.27000,1.62660,0.76860,3.32080,100.00000,-6.80710,-6.80710,-6.80710,-4.29490,0.11880,0.77700,115.83200,-2.98950,-13.31500,-0.33280,-0.69190,5.86640,-4.69700,-4.74960
2022-12-31,712.38900,712.38900,47.12500,578.33010,-13.77900,73.13980,73.14000,16.07500,57.06500,57.06500,36.63200,156.73780,73.13980,95.66400,100.99800,0.52000,0.48000,1.98630,0.71420,2.49880,100.00000,10.26680,10.26680,10.26690,5.14210,0.12170,1.09140,82.46650,8.44910,19.14490,0.97500,2.41480,7.85790,3.0011,2.7666
2022-09-30,726.74400,726.74400,44.57900,514.04100,-9.96700,158.14210,158.14200,35.35000,122.79200,122.79200,105.79700,289.56910,158.14210,93.27600,98.86500,1.11000,1.06000,1.82300,0.71350,2.49080,100.00000,21.76040,21.76040,21.76040,14.55770,0.11710,0.98160,91.69050,18.12900,40.73590,1.97800,5.19330,7.66790,4.4281,4.3677
2022-06-30,639.54600,639.54600,42.06700,461.01200,-10.61400,125.83800,125.83800,34.18700,91.65100,91.65100,95.48000,258.54500,125.83800,98.66000,102.75300,0.96000,0.92000,1.70450,0.67100,2.03940,100.00000,19.67620,19.67620,19.67610,14.92930,0.09530,0.86460,104.09440,11.08290,20.41440,1.36550,3.64650,8.74850,2.8019,2.7372
2022-03-31,694.89200,694.89200,37.93100,487.93500,-9.28300,159.72800,159.72800,38.75300,120.97500,120.97500,113.87600,260.63400,159.72800,102.54700,108.18700,1.09000,1.05000,1.75480,0.63490,1.73870,100.00000,22.98600,22.98600,22.98600,16.38760,0.10150,0.85090,105.76840,12.47640,20.50380,1.76650,4.55570,9.65810,-1.97370,-2.09860
2021-12-31,992.37520,992.37520,39.76200,670.86400,-13.39600,268.33800,268.33810,57.04800,211.29000,211.29000,203.53800,346.82200,268.33790,106.03600,113.67500,1.96000,1.86000,1.75400,0.60990,1.56330,100.00000,27.04000,27.04000,27.04000,20.51020,0.13880,1.23150,73.08000,19.60090,30.25370,2.95630,7.64660,10.70260,3.9619,3.8359
2021-09-30,717.42900,717.42900,37.55900,511.39900,-13.49700,154.95900,154.95900,39.44600,115.51300,115.51300,105.40100,260.07700,154.95900,105.41600,112.99400,1.00000,0.94000,1.78550,0.63280,1.72300,100.00000,21.59920,21.59920,21.59920,14.69150,0.10670,1.02470,87.83060,11.81460,19.32090,1.71730,4.33880,9.46220,3.5243,3.4543
2021-06-30,823.13700,823.13700,35.77400,605.42300,-15.66400,166.26100,166.26100,41.34500,124.91600,124.91600,123.17800,305.50100,166.26100,106.74700,113.60300,1.14000,1.08000,1.88160,0.64380,1.80710,100.00000,20.19850,20.19850,20.19850,14.96450,0.12850,1.00530,89.52580,13.40510,22.67130,1.94970,4.77540,8.95490,1.1976,1.1093
2021-03-31,660.10700,660.10700,33.67000,487.17200,-4.96000,134.29000,134.29000,43.46400,90.82600,90.82600,87.30000,243.93700,134.29000,107.29200,115.82200,0.80000,0.75000,1.93780,0.66010,1.94230,100.00000,20.34370,20.34370,20.34370,13.22510,0.10630,0.89250,100.84020,10.47950,18.73660,1.46270,3.56170,8.16940,-1.06490,-1.12420
2020-12-31,878.15400,878.15400,36.10000,613.24980,-10.86900,217.49920,217.49900,22.72900,194.77000,194.77000,182.22200,291.28520,217.49920,106.86300,113.48300,1.73000,1.66000,1.71100,0.62740,1.68370,100.00000,24.76780,24.76780,24.76780,20.75060,0.14700,1.18170,76.16280,19.48810,31.65130,3.26150,7.26160,9.51500,2.8184,2.5647
