Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,231.35800,48.80700,182.55100,36.35900,109.40300,155.11700,27.43400,2.62300,30.05700,7.54600,22.51100,22.51100,22.51100,53.12500,27.43400,103.32200,105.05930,0.22000,0.21000,2.95360,78.90410,11.85780,11.85780,12.99160,9.72990,0.29730,141.46960,5.19420,17.32720,4.65610,5.31090,2.89280,4.65610,4.67850,0.5209,0.3865
2024-06-30,218.69200,36.24800,182.44400,36.58000,109.74000,276.02800,-93.58400,3.16100,-90.42300,-21.70200,-68.72100,-68.72100,-68.72100,43.23800,-93.58400,103.82770,103.82770,-0.66000,-0.66000,2.57340,83.42510,-42.79260,-42.79260,-41.34720,-31.42370,0.29030,78.97170,5.50070,16.36150,-15.20130,-17.50080,-9.12230,-15.20130,4.38890,0.7118,0.3964
2024-03-31,215.79600,40.83500,174.96100,35.54500,110.34000,148.67700,26.28400,3.40100,29.68500,8.38400,21.30100,21.30100,21.30100,37.15200,26.28400,107.17480,108.63220,0.20000,0.20000,2.78390,81.07700,12.18000,12.18000,13.75610,9.87090,0.24780,104.43730,4.87150,18.47500,3.74780,5.46650,2.44610,3.74780,5.40910,0.47830,0.16420
2023-12-31,223.12300,55.08800,168.03500,36.73700,149.49400,190.30000,-22.26500,5.87500,-16.39000,6.21300,-22.60300,-22.60300,-23.74300,-6.37200,-22.26500,113.24010,114.18880,-0.21000,-0.20000,3.39640,75.31050,-9.97880,-9.97880,-7.34570,-10.64120,0.24280,166.42900,5.58320,16.11970,-3.66430,-5.18540,-2.45970,-3.66430,5.70240,0.0231,-0.1556
2023-09-30,219.41900,55.12100,164.29800,35.43400,101.73200,141.20300,23.09500,4.16700,27.26200,8.28900,18.97300,18.97300,22.30200,38.72000,23.09500,113.22370,114.32230,0.20000,0.17000,4.92800,74.87870,10.52550,10.52550,12.42460,10.16410,0.20920,170.65320,4.75890,18.91190,2.64620,3.58490,1.80910,2.64620,6.35200,0.2317,0.1517
2023-06-30,239.73700,75.59600,164.14100,37.39100,105.10500,146.40300,17.73800,4.68000,22.41800,8.60100,13.81700,13.81700,16.41300,32.58400,17.73800,113.43810,114.49070,0.14000,0.12000,4.83270,68.46710,7.39890,7.39890,9.35110,6.84630,0.23040,139.73380,6.33890,14.19810,1.97150,2.73510,1.32810,1.97150,6.17900,0.2633,0.216
2023-03-31,231.96300,76.98300,154.98000,36.60700,100.49600,140.92100,14.05900,4.33800,18.39700,6.53100,11.86600,11.86600,16.13200,28.50100,14.05900,115.35850,115.91570,0.14000,0.10000,4.38080,66.81240,6.06090,6.06090,7.93100,6.95460,0.22060,47.02690,5.47150,16.44900,1.70540,2.40900,1.12840,1.70540,6.08870,0.57240,0.52160
2022-12-31,286.74400,149.70200,137.04210,31.55300,71.92500,107.42090,29.62120,2.95900,32.58000,9.34900,23.23100,23.23100,159.24700,44.21720,29.62120,118.47500,128.15100,1.36000,1.10000,5.64520,47.79240,10.33020,10.33020,11.36210,55.53630,0.30930,28.34190,6.12480,14.69440,3.16240,4.43270,2.50580,3.16240,6.24480,0.7825,0.7418
2022-09-30,426.45400,275.66900,150.78500,30.20800,88.07900,122.12900,28.65600,0.20000,28.85600,10.03200,18.82400,18.82400,106.96400,42.61400,28.65600,118.68360,132.24360,0.90000,0.14000,4.05590,35.35790,6.71960,6.71960,6.76650,25.08220,0.43390,9.78730,3.55200,25.33760,3.25710,5.21180,1.91520,3.25710,4.86050,0.4761,0.451
2022-06-30,511.22900,323.37800,187.85100,31.35400,129.11900,164.30900,23.54200,-0.15600,23.38600,5.32500,18.06100,18.06100,-10.33600,37.53400,23.54200,118.39060,118.39060,-0.09000,-0.09000,3.57730,36.74500,4.60500,4.60500,4.57450,-2.02180,0.50630,14.91320,2.64300,34.05280,3.91070,7.63920,1.78870,3.91070,3.89850,-0.0485,-0.0859
