Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.61420,0.61420,0.36800,0.74570,-0.49950,0.06280,-0.43670,,-0.43670,-0.43670,-0.43670,-0.49950,-0.49950,1.54170,1.54170,-0.28000,-0.28000,6.96220,,100.00000,-81.31520,-81.31520,-71.09090,-71.09090,0.07630,,,-6.20730,-6.20570,-5.42720,-6.20570,4.56290,-0.2971,-0.2971
2024-06-30,0.72640,0.72640,0.93380,1.13000,-1.33740,0.06340,-1.27400,,-1.27400,-1.27400,-1.27400,-1.33740,-1.33740,1.54080,1.54080,-0.83000,-0.83000,5.04850,,100.00000,-184.11190,-184.11190,-175.38040,-175.38040,0.08040,,,-17.11420,-17.11010,-14.10300,-17.11010,4.83140,-0.3407,-0.3407
2024-03-31,0.51080,0.51080,0.94430,0.83490,-1.26840,0.07330,-1.19510,,-1.19510,-1.19510,-1.19510,-1.26840,-1.26840,1.54070,1.54070,-0.78000,-0.78000,11.68990,,100.00000,-248.31090,-248.31090,-233.96110,-233.96110,0.05440,,,-13.77530,-13.77240,-12.72200,-13.77240,5.63230,-0.75250,-0.75250
2023-12-31,0.67200,0.67200,0.97560,0.95200,-1.25570,0.08420,-1.17150,,-1.17150,-1.17150,-1.17150,-1.25570,-1.25570,1.52820,1.52820,-0.77000,-0.77000,11.84170,,100.00000,-186.86550,-186.86560,-174.34100,-174.34100,0.06340,,,-11.96170,-11.95950,-11.04650,-11.95950,6.35800,-0.5252,-0.5252
2023-09-30,0.61120,0.61120,1.02060,0.73720,-1.14670,0.09110,-1.05560,,-1.05560,-1.05560,-1.05560,-1.14670,-1.14670,1.53260,1.53260,-0.69000,-0.69000,10.53500,,100.00000,-187.62010,-187.62010,-172.70940,-172.70940,0.05110,,,-9.69310,-9.69060,-8.82490,-9.69060,7.10720,-0.6116,-0.6116
2023-06-30,0.65100,0.65100,0.90320,0.94600,-1.19820,0.14720,-1.05100,,-1.05100,-1.05100,-1.05100,-1.19820,-1.19820,1.52470,1.52470,-0.69000,-0.69000,13.82360,,100.00000,-184.05200,-184.05200,-161.43700,-161.43700,0.05110,,,-8.85020,-8.84810,-8.24340,-8.84810,7.75010,-0.8285,-0.8285
2023-03-31,0.60580,0.60580,0.59530,0.92570,-0.91520,0.05860,-0.85660,,-0.85660,-0.85660,-0.85660,-0.91520,-0.91520,1.51670,1.51670,-0.56000,-0.56000,15.03020,,100.00000,-151.05780,-151.05780,-141.38190,-141.38190,0.04420,,,-6.66230,-6.66090,-6.24500,-6.66090,8.47880,-0.72690,-0.72690
2022-12-31,0.48700,0.48700,1.19310,0.85720,-1.56330,0.08080,-1.48250,,-1.48250,-1.48250,-1.48250,-1.56330,-1.56330,1.42240,1.42240,-0.95000,-0.95000,12.72260,,100.00000,-321.03050,-321.03050,-304.43950,-304.43950,0.03310,,,-10.86560,-10.86330,-10.07140,-10.86330,8.99820,-0.5456,-0.5456
2022-09-30,0.41430,0.41430,0.39880,0.86320,-0.84780,0.04380,-0.80400,,-0.80400,-0.80400,-0.80400,-0.83980,-0.84780,1.43170,1.43170,-0.56000,-0.56000,13.48160,,100.00000,-204.65560,-204.65560,-194.08980,-194.08980,0.02660,,,-5.53750,-5.53640,-5.16280,-5.53640,10.14370,-0.7189,-0.7189
2022-06-30,0.41670,0.41670,2.07750,1.02630,-2.68710,0.01490,-2.67220,,-2.67220,-2.67220,-2.67220,-2.67750,-2.68710,1.40670,1.40670,-1.90000,-1.90000,12.02030,,100.00000,-644.83190,-644.83190,-641.25890,-641.25890,0.02530,,,-17.59620,-17.59300,-16.22650,-17.58980,10.61130,-0.449,-0.449
