Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,67.53500,61.16700,6.36800,33.11400,38.15700,-31.78900,-1.47600,-33.26500,0.02500,-33.29000,-33.29000,-11.63000,-15.20400,-31.78900,106.20600,106.20600,-0.11000,-0.11000,2.18950,,,9.42920,-47.07040,-47.07040,-49.25590,-17.22070,0.08530,1.31890,68.24060,9.65410,7.97990,-4.20500,9.65410,-1.14150,0.1143,-0.1265
2024-06-30,66.61900,60.22100,6.39800,33.82700,38.78500,-32.38700,2.83400,-29.55300,0.05700,-29.61000,-29.61000,-10.30700,-16.28000,-32.38700,105.58400,105.58400,-0.10000,-0.10000,2.50260,,,9.60390,-48.61530,-48.61530,-44.36120,-15.47160,0.08480,1.38820,64.83020,-217.80060,48.30190,-3.77040,-217.80060,0.04510,0.0727,-0.1547
2024-03-31,55.15800,48.31700,6.84100,34.22600,39.21100,-32.37000,4.19000,-28.18000,0.01300,-28.19300,-28.19300,-9.83300,-17.02600,-32.37000,104.67600,104.67600,-0.09000,-0.09000,2.92840,,,12.40260,-58.68600,-58.68600,-51.08960,-17.82700,0.07000,1.16470,77.27290,-109.80720,54.45920,-3.57990,-109.80720,0.08520,-0.13450,-0.33580
2023-12-31,49.99400,46.45400,3.54000,38.79200,44.35600,-40.81600,4.22700,-36.58900,0.00000,-36.58900,-36.58900,-12.73100,-25.64100,-40.81600,90.58900,90.58900,-0.11000,-0.11000,2.99290,,,7.08080,-81.64170,-81.64170,-73.18680,-25.46510,0.06200,1.13160,79.53170,22.78430,15.20500,-4.53610,22.78430,-0.53760,-0.119,-0.6647
2023-09-30,35.10700,34.50300,0.60400,32.00100,36.97600,-36.37200,8.11500,-28.25700,,-28.25700,-28.25700,-9.65300,-22.77800,-36.37200,102.68700,102.68700,-0.09000,-0.09000,3.01530,,,1.72050,-103.60330,-103.60330,-80.48820,-27.49590,0.04300,0.90400,99.55450,30.26380,16.02580,-3.45740,30.26380,-0.31280,-0.026,-0.0617
2023-06-30,50.55200,45.02300,5.52900,34.33300,39.11600,-33.58700,12.08500,-21.50200,0.03700,-21.53900,-21.53900,-6.96700,-21.52100,-33.58700,85.32000,85.32000,-0.08000,-0.08000,3.65860,,,10.93730,-66.44050,-66.44050,-42.53440,-13.78190,0.06140,1.50010,59.99760,11.18270,7.73480,-2.61670,11.18270,-0.64550,0.0085,-0.2452
2023-03-31,25.30000,25.25900,0.04100,37.88900,42.67300,-42.63200,-6.44400,-49.07600,0.00500,-49.08100,-49.08100,-13.07600,-31.50600,-42.63200,70.99400,70.99400,-0.18000,-0.18000,2.12240,,,0.16210,-168.50590,-168.50590,-193.97630,-51.68380,0.03470,0.65410,137.60040,4.67000,4.30630,-6.72500,4.67000,-3.93330,-0.27250,-1.19150
2022-12-31,27.30300,28.40200,-1.09900,36.78500,41.38900,-42.48800,25.43500,-17.05300,0.00600,-17.05900,-17.05900,-4.52800,-31.84700,-42.48800,68.71400,68.71400,-0.06000,-0.06000,3.15400,,,-4.02520,-155.61660,-155.61660,-62.45830,-16.58430,0.03740,1.43050,62.91400,4.76380,3.79290,-2.33770,4.76380,-1.34600,-0.02,-0.9833
2022-09-30,10.50900,13.71700,-3.20800,32.32200,36.83800,-40.04600,-10.87600,-50.92200,,-50.92200,-50.92200,-13.08100,-30.34300,-40.04600,68.62100,68.62100,-0.19000,-0.19000,4.34310,,,-30.52620,-381.06390,-381.06390,-484.55610,-124.47430,0.01440,0.67790,132.76050,4.93140,4.51770,-6.98320,4.93140,-3.90450,-0.2821,-1.1903
2022-06-30,9.07600,9.82000,-0.74400,32.17800,36.31000,-37.05400,54.06800,17.01400,0.01700,16.99700,16.99700,4.43300,-28.82100,-37.05400,68.54500,69.32200,0.06000,0.06000,6.14790,,,-8.19740,-408.26350,-408.26350,187.46140,48.84310,0.01230,0.65850,136.67580,-2.75600,-2.37980,2.29560,-2.75600,-2.33280,-0.262,-0.8891
