Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,,11.25290,4.01360,,-15.27380,0.67640,-14.59740,-14.59740,-14.59740,-14.59740,-15.13220,-15.27380,29.84200,29.84200,-0.49000,-0.49000,7.98550,,,,,,,,,-25.28960,-28.80720,-21.29230,-25.28960,1.85900,-0.4457,-0.4458
2024-06-30,,,,10.65200,4.25450,,-14.91380,0.83380,-14.07990,-14.07990,-14.07990,-14.07990,-14.74600,-14.91380,29.65300,29.65300,-0.47000,-0.47000,9.39170,,,,,,,,,-21.23490,-23.76350,-18.26490,-21.23490,2.23610,-0.3837,-0.3848
2024-03-31,,,,11.20240,4.11600,,-15.32580,1.01790,-14.30780,-14.30780,-14.30780,-14.30780,-15.29970,-15.32580,29.37000,29.37000,-0.49000,-0.49000,14.37930,,,,,,,,,-18.17500,-19.96630,-16.26210,-18.17500,2.65480,-0.52740,-0.52870
2023-12-31,,,,11.91020,4.38450,,-16.30200,1.21850,-15.08350,-15.08350,-15.08350,-15.08350,-16.52040,-16.30200,28.41700,28.41700,-0.51000,-0.51000,11.35470,,,,,,,,,-16.65280,-18.06280,-14.70350,-16.65280,3.09430,-0.4523,-0.4586
2023-09-30,,,,10.05020,3.86880,,-13.92630,1.33110,-12.59520,-12.59520,-12.59520,-12.59520,-14.04250,-13.92630,29.26600,29.26600,-0.43000,-0.43000,17.89000,,,,,,,,,-12.10870,-12.99280,-11.06000,-12.10870,3.55390,-0.3924,-0.3942
2023-06-30,,,,9.45270,4.04500,,-13.50500,1.31620,-12.18880,-12.18880,-12.18880,-12.18880,-13.42650,-13.50500,28.64700,28.64700,-0.43000,-0.43000,20.35210,,,,,,,,,-10.58930,-11.28380,-9.75920,-10.58930,3.93340,-0.3332,-0.3362
2023-03-31,,,,10.21090,4.46130,,-14.67960,1.07540,-13.60420,-13.60420,-13.60420,-13.60420,-14.67690,-14.67960,26.44200,26.44200,-0.51000,-0.51000,17.05400,,,,,,,,,-13.91170,-14.99950,-12.63200,-13.91170,3.69070,-0.54530,-0.54630
2022-12-31,0.00050,,0.00050,9.86370,4.11450,,-13.98500,0.73940,-13.24560,-13.24560,-13.24560,-13.24560,-14.01510,-13.98500,26.38700,26.38700,-0.49000,-0.49000,13.50210,,,,,,0.00000,0.03660,2456.15300,-12.05780,-12.89100,-10.82440,-12.05780,4.15800,-0.4455,-0.4482
2022-09-30,0.03840,0.01930,0.01900,9.36380,3.83600,13.20720,-13.18820,0.34380,-12.84430,-12.84430,-12.84430,-12.84430,-13.08010,-13.18820,26.39400,26.39400,-0.49000,-0.49000,16.54200,49.60140,-34362.04000,-34362.04000,-33466.20000,-33466.20000,0.00030,0.54690,164.57010,-10.53740,-11.18980,-9.60740,-10.53740,4.61630,-0.4022,-0.4171
2022-06-30,0.09440,0.04790,0.04650,7.98110,3.70410,11.69260,-11.64610,0.11870,-11.52730,-11.52730,-11.52730,-11.52730,-11.40280,-11.64610,26.38600,26.38600,-0.44000,-0.44000,33.98760,49.23370,-12334.43000,-12334.43000,-12208.67000,-12208.67000,0.00070,0.52920,170.07430,-8.62860,-9.11390,-8.11500,-8.62860,5.06190,-0.3577,-0.3639
