Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,15.44700,10.59000,4.85700,1.83800,-27.81700,34.06900,-29.21200,-5.27000,-34.48200,,-34.48200,-34.48200,-34.48200,-24.64400,-29.21200,2.55100,2.55100,-13.52000,-13.52000,4.30230,-189.11110,-189.11110,-223.22780,-223.22780,0.02720,-37.32910,-37.32910,-6.07170,-37.32910,34.67460,1.0017,0.8647
2024-06-30,15.75400,10.38800,5.36600,2.15000,-84.72400,92.02500,-86.65900,-5.19200,-91.85100,,-91.85100,-91.85100,-91.85100,-81.18800,-86.65900,2.51800,2.51800,-36.48000,-36.48000,3.12840,-550.07620,-550.07620,-583.03290,-583.03290,0.02630,-72.44970,-72.44970,-15.33620,-72.44970,47.96780,-0.4189,-0.4878
2024-03-31,15.48100,10.28500,5.19600,2.85500,,8.11600,-2.92000,-4.68800,-7.60800,,-7.60800,-7.60800,-7.60800,2.67200,-2.92000,2.32300,2.32300,-3.28000,-3.28000,1.82220,-18.86180,-18.86180,-49.14410,-49.14410,0.02240,-3.50010,-3.50010,-1.10290,-3.50010,90.41890,0.71240,0.55570
2023-12-31,15.37900,10.15700,5.22200,1.97500,-66.05200,74.35900,-69.13700,-4.74000,-73.87700,,-73.87700,-73.87700,-73.87700,-62.44400,-69.13700,2.22700,2.22700,-32.93000,-32.93000,1.76030,-449.55470,-449.55460,-480.37590,-480.37590,0.02220,-32.86430,-32.86430,-10.64250,-32.86430,96.31280,-1.6073,-2.028
2023-09-30,16.01500,10.67400,5.34100,3.13900,-0.36200,10.00000,-4.65900,-4.73100,-9.39000,,-9.39000,-9.39000,-9.39000,2.19000,-4.65900,2.28900,2.28900,-4.10000,-4.10000,1.32240,-29.09150,-29.09150,-58.63250,-58.63250,0.02080,-3.14110,-3.14110,-1.21920,-3.14110,128.63300,0.1086,-0.0685
2023-06-30,15.78200,10.34100,5.44100,4.74300,-0.15100,11.64300,-6.20200,-4.69700,-10.89900,,-10.89900,-10.89900,-10.89900,0.88700,-6.20200,2.28700,2.28700,-4.77000,-4.77000,1.28430,-39.29790,-39.29790,-69.05970,-69.05970,0.02040,-3.54440,-3.54440,-1.40540,-3.54440,133.52110,-1.4625,-1.5554
2023-03-31,15.53400,10.30500,5.22900,5.38100,,12.33300,-7.10400,-4.65400,-11.75800,,-11.75800,-11.75800,-11.75800,0.27000,-7.10400,2.03900,2.03900,-5.77000,-5.77000,1.24790,-45.73190,-45.73190,-75.69200,-75.69200,0.01980,-3.71910,-3.71910,-1.49540,-3.71910,137.22050,-0.36390,-1.49580
2022-12-31,16.19600,9.76200,6.43400,4.09500,,11.79800,-5.36400,-4.74500,-10.10900,,-10.10900,-10.10900,-10.10900,2.84800,-5.36400,1.72900,1.72900,-5.35000,-5.35000,1.22570,-33.11940,-33.11940,-62.41670,-62.41670,0.02050,-3.14360,-3.14360,-1.27890,-3.14360,170.50690,-2.2117,-2.6107
2022-09-30,15.93200,10.61400,5.31800,4.69800,,11.63900,-6.32100,-4.75300,-11.07400,,-11.07400,-11.07400,-11.07400,0.97600,-6.32100,1.72900,1.72900,-6.40000,-6.40000,1.20060,-39.67490,-39.67490,-69.50790,-69.50790,0.01990,-3.37630,-3.37630,-1.38050,-3.37630,179.78380,0.8961,-1.0994
2022-06-30,16.23100,10.11400,6.11700,7.37600,,14.41700,-8.30000,-4.70100,-13.00100,,-13.00100,-13.00100,-13.00100,-0.92300,-8.30000,1.67900,1.67900,-7.77000,-7.77000,1.18200,-51.13670,-51.13670,-80.09980,-80.09980,0.02010,-3.90650,-3.90650,-1.61310,-3.90650,195.20960,-0.276,-0.85
