Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,7.85500,12.95600,-5.10100,1.81700,4.33500,6.15200,-11.25300,0.40300,-10.85000,-10.85000,-10.85000,-10.85000,-9.14300,-11.25300,110.40830,110.40830,-0.10000,-0.10000,3.45690,-64.93950,-143.25910,-143.25910,-138.12860,-138.12860,0.07540,4.86340,1.71130,52.59070,-19.37530,-19.37540,-10.41200,-19.37540,0.50300,-0.0642,-0.0694
2024-06-30,3.34500,9.87600,-6.53100,1.66200,4.73900,6.40100,-12.93200,0.41500,-12.51700,-12.51700,-12.51700,-12.51700,-11.89600,-12.93200,97.04870,97.04870,-0.13000,-0.13000,4.13560,-195.24660,-386.60690,-386.60690,-374.20030,-374.20030,0.02970,6.46760,1.92460,46.76230,-19.21880,-19.21880,-11.10070,-19.21880,0.60320,-0.0742,-0.0876
2024-03-31,2.33600,6.78100,-4.44500,1.58100,4.29300,5.87400,-10.31900,0.43300,-9.88600,-9.88600,-9.88600,-9.88600,-9.30200,-10.31900,90.02930,90.02930,-0.11000,-0.11000,4.67350,-190.28250,-441.73800,-441.73800,-423.20200,-423.20200,0.02230,7.90330,1.62000,55.55650,-16.49450,-16.49450,-9.44340,-16.49450,0.64950,-0.10860,-0.15190
2023-12-31,3.94400,7.82300,-3.87900,1.29000,4.57500,5.86500,-9.74400,0.01000,-9.73400,-9.73400,-9.73400,-9.73400,-7.26900,-9.74400,86.19600,86.19600,-0.11000,-0.11000,3.75430,-98.35190,-247.05880,-247.05880,-246.80530,-246.80530,0.03660,10.71640,3.11780,28.86660,-16.27760,-16.27760,-9.03500,-16.27760,0.67290,-0.0562,-0.1231
2023-09-30,2.79800,7.04600,-4.24800,0.81500,4.06800,4.88300,-9.13100,0.63900,-8.49200,-8.49200,-8.49200,-8.49200,-8.00100,-9.13100,86.35410,86.35410,-0.10000,-0.10000,4.42480,-151.82270,-326.34020,-326.34020,-303.50250,-303.50250,0.03230,14.46820,1.48280,60.69690,-12.91440,-12.91440,-9.80430,-12.91440,0.75030,-0.0986,-0.2016
2023-06-30,1.63200,4.66400,-3.03200,0.77200,6.27900,7.05100,-10.08300,0.63500,-9.44800,-9.44800,-9.44800,-9.44800,-9.37500,-10.08300,85.21680,85.21680,-0.11000,-0.11000,5.88870,-185.78430,-617.83090,-617.83090,-578.92160,-578.92160,0.01880,9.27240,1.44420,62.31620,-14.16700,-14.16700,-10.90530,-14.16700,0.77550,-0.065,-0.0852
2023-03-31,0.67900,4.19600,-3.51700,0.80000,5.43400,6.23400,-9.75100,0.64900,-9.10200,-9.10200,-9.10200,-9.10200,-9.20100,-9.75100,84.64510,84.64510,-0.11000,-0.11000,7.86840,-517.96750,-1436.08300,-1436.08300,-1340.50100,-1340.50100,0.00810,4.96570,1.22340,73.56410,-13.57800,-13.57800,-10.84240,-13.57800,0.78890,-0.07670,-0.09020
2022-12-31,0.79200,2.53300,-1.74100,0.69000,4.21600,4.90600,-6.64700,0.59100,-6.05600,-6.05600,-6.05600,-6.05600,-6.24800,-6.64700,71.34300,71.34300,-0.08000,-0.08000,10.86790,-219.82320,-839.26760,-839.26760,-764.64660,-764.64660,0.00950,5.06600,1.15450,77.95450,-8.29210,-8.29210,-7.28140,-8.29210,0.86320,-0.076,-0.0859
2022-09-30,0.81600,2.32600,-1.51000,0.49000,2.32300,2.81300,-4.32300,0.07900,-4.24400,-4.24400,-4.24400,-4.24400,-3.59800,-4.32300,69.01320,69.01320,-0.06000,-0.06000,12.68240,-185.04900,-529.77940,-529.77940,-520.09810,-520.09810,0.00940,4.62430,1.04350,86.25000,-5.58410,-5.58410,-4.90620,-5.58410,0.90210,-0.0351,-0.043
2022-06-30,0.69100,2.05500,-1.36400,0.47800,2.31900,2.79700,-4.16100,0.00700,-4.15400,-4.15400,-4.15400,-4.15400,-3.77100,-4.16100,65.77660,65.77660,-0.06000,-0.06000,1.84940,-197.39510,-602.17080,-602.17080,-601.15770,-601.15770,0.00300,,,,22.64260,22.64260,-1.78600,22.64260,-1.86120,-0.0372,-0.0396
