Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,2.55600,,2.55600,1.36200,6.47500,,-5.98800,-6.48800,-12.47600,,-12.47600,-12.47600,-12.47600,-5.67400,-5.98800,54.84400,54.84400,-0.23000,-0.23000,4.77260,,100.00000,-234.27230,-234.27230,-488.10640,-488.10640,0.04980,,1.86710,48.20420,-1764.50000,-1764.64700,-24.30600,-1764.63900,0.01290,-0.2533,-0.2532
2024-06-30,0.99100,,0.99100,9.30800,6.40800,,-17.30600,-2.71000,-20.01600,,-20.01600,-20.01600,-20.01600,-17.00600,-17.30600,54.72500,54.72500,-0.37000,-0.37000,4.59380,,100.00000,-1746.31700,-1746.31700,-2019.77800,-2019.77800,0.01370,,0.54450,165.28760,-172.58070,-172.58140,-27.61020,-172.58150,0.21150,-0.2258,-0.2297
2024-03-31,2.13500,0.62000,1.51500,21.96400,6.81600,31.18100,-29.66600,-1.03000,-30.69600,,-30.69600,-30.69600,-30.69600,-29.86500,-29.66600,54.58800,54.58800,-0.56000,-0.56000,5.38090,,70.96020,-1389.50800,-1389.50800,-1437.75200,-1437.75200,0.02370,0.22620,0.73090,123.13350,-102.99630,-102.99640,-34.06920,-102.99630,0.54520,-0.55790,-0.57320
2023-12-31,3.00400,0.60800,2.39600,28.41500,6.58800,35.00300,-32.60700,0.27000,-32.33700,,-32.33700,-32.33700,-32.33700,-31.91200,-32.60700,54.14900,54.14900,-0.60000,-0.60000,4.53880,,79.76030,-1085.45300,-1085.45300,-1076.46500,-1076.46500,0.02390,0.21550,0.74780,120.34950,-56.64710,-56.64710,-25.69610,-56.64710,1.04780,-0.323,-0.3609
2023-09-30,4.86600,1.55800,3.30800,25.45100,6.75500,32.20600,-28.89800,0.86600,-28.03200,,-28.03200,-28.03200,-28.03200,-28.48000,-28.89800,54.23600,54.23600,-0.52000,-0.52000,4.39680,,67.98190,-593.87590,-593.87590,-576.07890,-576.07890,0.04220,0.47700,0.84920,105.98030,-32.73160,-32.73160,-24.30420,-32.73160,1.57220,-0.3579,-0.3638
2023-06-30,6.93300,1.41800,5.51500,30.31000,7.54500,37.85500,-32.34000,0.86100,-31.47900,,-31.47900,-31.47900,-31.47900,-31.85800,-32.34000,54.00300,54.00300,-0.58000,-0.58000,4.89990,,79.54710,-466.46470,-466.46470,-454.04590,-454.04590,0.05160,0.41460,0.61680,145.92380,-28.89780,-28.89780,-23.42380,-28.89790,2.01470,-0.377,-0.377
2023-03-31,6.16500,2.59000,3.57500,24.33400,6.89100,31.22500,-27.65000,0.98500,-26.66500,,-26.66500,-26.66500,-26.66500,-27.31100,-27.65000,53.87200,53.87200,-0.49000,-0.49000,8.55370,,57.98870,-448.49950,-448.49950,-432.52230,-432.52230,0.04020,0.73680,0.84940,105.95620,-19.52080,-19.52080,-17.39670,-19.52080,2.53080,-0.64260,-0.64260
2022-12-31,3.26100,2.13000,1.13100,26.01000,6.42800,32.43800,-31.30700,0.96800,-30.33900,,-30.33900,-30.33900,-30.33900,-31.11300,-31.30700,53.65400,53.65400,-0.56000,-0.56000,7.20050,,34.68270,-960.04240,-960.04240,-930.35850,-930.35850,0.01790,0.89380,0.73230,122.89790,-19.10770,-19.10770,-16.64810,-19.10770,2.95140,-0.4396,-0.4396
2022-09-30,10.81300,3.05500,7.75800,24.69100,6.91200,31.60300,-23.84500,0.66500,-23.18000,,-23.18000,-23.18000,-23.18000,-23.45600,-23.84500,53.72600,53.72600,-0.43000,-0.43000,6.62530,,71.74700,-220.52160,-220.52160,-214.37160,-214.37160,0.05060,1.66490,1.00390,89.65040,-12.54190,-12.54190,-10.85670,-12.54190,3.43950,-0.4677,-0.4677
2022-06-30,23.00300,,23.00300,19.90500,7.57000,,-4.47200,0.26600,-4.20600,,-4.20600,-4.20600,-4.20600,-3.82000,-4.47200,53.61500,53.61500,-0.08000,-0.08000,8.32270,,100.00000,-19.44090,-19.44090,-18.28460,-18.28460,0.10150,,2.50910,35.87010,-2.05750,-2.05750,-1.85640,-2.05750,3.80600,-0.0831,-0.0831
2022-03-31,4.79000,2.08100,2.70900,21.27300,9.34700,30.62000,-27.91100,0.16200,-27.74900,,-27.74900,-27.74900,-27.74900,-27.21200,-27.91100,53.50700,53.50700,-0.52000,-0.52000,8.29480,,56.55530,-582.69310,-582.69310,-579.31110,-579.31110,0.02140,1.09120,1.31920,68.22340,-13.59480,-13.59480,-12.39540,-13.59480,3.80880,-0.47700,-0.47780
2021-12-31,0.82100,,0.82100,22.83100,11.51200,,-33.52200,0.14000,-33.38200,,-33.38200,-33.38200,-33.38200,-32.85200,-33.52200,50.71900,50.71900,-0.64000,-0.64000,9.83710,,100.00000,-4083.06600,-4083.06500,-4066.01400,-4066.01400,0.00330,,0.71270,126.28490,-14.67200,-14.67200,-13.51190,-14.67200,4.25430,-0.0106,-0.0114
2021-09-30,20.27200,,20.27200,15.51400,5.88200,,-1.12400,0.11100,-1.01300,,-1.01300,-1.01300,-1.01300,-0.52500,-1.12400,50.11500,50.11500,-0.02000,-0.02000,11.04450,,100.00000,-5.54460,-5.54460,-4.99700,-4.99700,0.09010,,0.96320,93.44070,-0.48890,-0.48890,-0.45000,-0.48890,4.12930,-0.2807,-0.2807
2021-06-30,,,,25.22500,5.65100,,-30.87600,0.13100,-30.74500,,-30.74500,-30.74500,-30.74500,-30.30300,-30.87600,50.06000,50.06000,-0.61000,-0.61000,10.84200,,,,,,,,,,,-15.11060,-15.11060,-13.88330,-15.11060,4.06220,-0.4182,-0.4182
2021-03-31,1.93500,,1.93500,19.13100,6.36500,,-23.56100,0.26000,-23.30100,,-23.30100,-23.30100,-23.30100,-22.98800,-23.56100,49.91800,49.91800,-0.47000,-0.47000,11.40210,,100.00000,-1217.62300,-1217.62300,-1204.18600,-1204.18600,0.00770,,0.51590,174.46510,-10.11070,-10.11070,-9.31190,-10.11070,4.60670,-0.47520,-0.47380
2020-12-31,112.08900,,112.08900,27.14000,6.65900,,78.29000,0.36400,78.65400,-0.25500,78.90900,78.90900,78.90900,78.78800,78.29000,47.41300,47.91500,1.69000,1.69000,10.55380,,100.00000,69.84630,69.84630,70.17100,70.39850,0.41340,,54.30670,1.65730,31.69020,31.69020,29.10090,31.69020,4.99280,1.7534,1.75
2020-09-30,9.26600,,9.26600,21.06700,5.21900,,-17.02000,0.37900,-16.64100,-0.13200,-16.50900,-16.50900,-16.50900,-16.73600,-17.02000,46.88500,46.88500,-0.35000,-0.35000,8.00320,,100.00000,-183.68230,-183.68230,-179.59210,-178.16750,0.06300,,5.40610,16.64800,-12.91310,-12.91310,-11.22020,-12.91310,2.72640,-0.4586,-0.4625
2020-06-30,5.63400,,5.63400,26.10800,5.41000,,-25.88400,0.63400,-25.25000,-0.18200,-25.06800,-25.06800,-25.06800,-25.64000,-25.88400,46.80000,46.80000,-0.54000,-0.54000,5.73950,,100.00000,-459.42490,-459.42490,-448.17180,-444.94150,0.03340,,3.50810,25.65500,-17.78780,-17.78780,-14.86720,-17.78780,3.00720,-0.5895,-0.5895
2020-03-31,8.09300,,8.09300,33.53600,4.55800,,-30.00100,0.95700,-29.04400,-0.12200,-28.92200,-28.92200,-28.92200,-29.85800,-30.00100,46.72500,46.72500,-0.62000,-0.62000,4.06920,,100.00000,-370.70300,-370.70300,-358.87810,-357.37060,0.04130,,4.53390,19.85050,-18.02290,-18.02290,-14.74310,-18.02290,3.43420,-0.81980,-0.81980
