Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1717.54700,1304.76300,412.78410,119.89000,167.08500,,286.97500,125.80910,-37.95100,87.85800,12.83000,75.02800,,79.31200,,79.10600,164.94210,125.80910,44.47800,44.61800,1.78000,1.77000,1.14720,0.09010,0.34760,24.03340,7.32490,7.32490,5.11530,4.60580,0.15830,0.46220,0.50240,179.13680,2.58070,6.53110,0.73120,2.34810,,1.2673,0.1279
2024-06-30,1626.15700,1236.47200,389.68490,116.79900,156.40300,,273.20200,116.48300,-31.11000,85.37300,11.26100,74.11200,,78.60400,,78.36500,154.75900,116.48300,44.47600,44.62300,1.76000,1.76000,1.12740,0.09040,0.35650,23.96360,7.16310,7.16310,5.25000,4.81900,0.15460,0.45820,0.49900,180.35360,2.59910,6.77050,0.74720,2.36420,,0.7256,-0.0714
2024-03-31,1553.95100,1179.80200,374.14900,98.52100,170.26400,,268.78500,105.36400,-25.88900,79.47500,11.59800,67.87700,,73.72600,,73.67300,145.45800,105.36400,44.46200,44.65900,1.66000,1.65000,1.16350,0.10990,0.35370,24.07730,6.78040,6.78040,5.11440,4.74100,0.15150,0.45960,0.48500,185.55980,2.44850,6.48150,0.71880,2.17940,,-0.14300,-1.83720
2023-12-31,1625.79400,1243.68600,382.10830,117.35500,197.17500,,314.53000,67.57860,-45.24800,22.33000,-5.04400,27.37400,,30.40200,,30.00800,109.03460,67.57840,44.37500,44.59200,0.67000,0.66000,1.14180,0.11520,0.35110,23.50290,4.15670,4.15660,1.37350,1.84570,0.16690,0.54120,0.54150,166.18970,1.03050,2.86620,0.31210,0.91180,,7.0308,6.3903
2023-09-30,1501.56700,1134.39300,367.17410,103.31500,157.80900,,261.12400,106.05000,-37.57300,68.47700,10.01400,58.46300,,60.85800,,60.70300,148.92610,106.05000,44.36000,44.64200,1.37000,1.36000,1.11770,0.11480,0.42790,24.45270,7.06260,7.06260,4.56040,4.04260,0.15620,0.49500,0.50430,178.46390,2.13900,6.39110,0.63290,1.89340,,0.2401,-1.1157
2023-06-30,1453.89500,1081.73900,372.15600,93.43200,177.14200,,270.57400,101.58200,-33.73500,67.84700,9.24800,58.59900,,62.42300,,62.35100,141.41700,101.58200,44.34800,44.63700,1.41000,1.40000,1.10510,0.11920,0.40990,25.59720,6.98690,6.98690,4.66660,4.28850,0.15210,0.48820,0.47380,189.96570,,7.00750,0.65300,1.96750,,-3.0784,-4.4237
2023-03-31,1393.48800,1031.97200,361.51600,110.31800,157.30000,,267.61800,93.89800,-26.05800,67.84000,8.69500,59.14500,,62.17300,,62.06900,135.10890,93.89800,44.34500,44.45900,1.40000,1.40000,1.17680,0.18600,0.33700,25.94320,6.73830,6.73830,4.86840,4.45420,0.14720,0.47520,0.45780,196.57640,,7.17370,0.65690,1.81960,,-1.64250,-2.46240
2022-12-31,1506.42900,1125.79900,380.62960,125.42500,163.51800,28.64400,260.29900,120.33080,-41.22500,79.10600,-4.54600,83.65200,,85.47100,,85.29600,160.67380,120.33070,44.32200,44.58100,1.92000,1.91000,1.17640,0.19780,0.31610,25.26700,7.98780,7.98780,5.25120,5.66210,0.16350,0.57840,0.52430,171.66240,3.09940,10.39230,0.92750,2.48620,62.18820,4.3849,4.0445
2022-09-30,1348.94000,1022.95900,325.98100,113.19300,148.74100,9.37400,252.56000,73.42100,-11.57400,61.84700,7.93200,53.91500,,56.22800,,56.22100,112.85700,73.42100,44.33600,44.63800,1.27000,1.26000,1.15480,0.23370,0.38510,24.16570,5.44290,5.44290,4.58490,4.16780,0.14270,0.53480,0.44380,202.78900,2.16000,8.43770,0.59490,1.65530,,3.994,2.4693
2022-06-30,1303.37400,963.64700,339.72710,96.35300,155.50900,27.24900,224.61300,115.11400,-21.38100,93.73300,12.77600,80.95700,,80.82200,,81.16700,157.82200,115.11400,44.32100,44.58000,1.83000,1.82000,1.16630,0.23830,0.42910,26.06520,8.83200,8.83200,7.19160,6.22750,0.14070,0.53140,0.43130,208.66380,3.17940,13.27430,0.87230,2.42170,,-3.7905,-4.9792
2022-03-31,1352.80600,1025.86100,326.94510,100.67900,171.29900,3.65100,268.32700,58.61820,-0.74600,57.87200,7.96900,49.90300,,52.94800,,52.76400,98.19420,58.61820,44.28600,44.52400,1.19000,1.19000,1.28880,0.26070,0.39480,24.16790,4.33310,4.33310,4.27790,3.90030,0.14450,0.58580,0.44830,200.74990,2.05880,9.23900,0.56560,1.52210,,0.79660,-0.19230
2021-12-31,1494.27300,1119.92400,374.34910,113.95000,153.12710,,267.07700,107.27230,-9.93700,97.33500,92.17500,5.16000,,8.28300,,8.18700,148.06930,107.27230,44.20400,44.27800,0.19000,0.18000,1.23750,0.25790,0.38930,25.05230,7.17890,7.17890,6.51390,0.54790,0.16040,0.67040,0.49000,183.66240,0.32530,1.57300,0.08890,0.24140,57.53490,5.8701,4.369
2021-09-30,1363.59600,1000.43900,363.15690,101.46700,151.42500,,252.89200,110.26490,-13.16000,97.10500,8.31900,88.78600,,91.77100,,91.90600,149.63790,110.26490,44.20600,44.27000,2.08000,2.08000,1.26290,0.26340,0.44420,26.63230,8.08630,8.08630,7.12120,6.74000,0.14880,0.60850,0.44130,203.95160,3.67860,20.25480,1.00140,2.70960,,-0.0052,-1.0204
2021-06-30,1302.37300,963.17100,339.20200,95.41200,141.31800,14.66000,222.07000,117.13210,-8.49200,108.64000,20.09100,88.54900,,102.01200,,101.72700,155.87110,117.13210,44.20000,44.24700,2.30000,2.30000,1.11780,0.18590,0.43770,26.04490,8.99370,8.99370,8.34170,7.81090,0.14880,0.62260,0.48470,185.68790,4.24480,28.98290,1.16520,3.45580,,3.847,3.4255
