Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1862.00000,514.00000,1348.00000,1137.00000,281.00000,1418.00000,-70.00000,91.00000,21.00000,8.00000,13.00000,13.00000,13.00000,-39.00000,-70.00000,385.00000,399.00000,0.03000,0.03000,4.39160,0.04980,0.05240,72.39530,-3.75940,-3.75940,1.12780,0.69820,0.11780,1.24760,1.19050,75.59610,0.10900,0.10900,0.08230,0.10360,30.97920,-3.7033,-4.0447
2024-06-30,241.00000,115.00000,126.00000,1221.00000,268.00000,1489.00000,-1363.00000,84.00000,-1279.00000,,-1279.00000,-1279.00000,-1279.00000,-1350.00000,-1363.00000,384.00000,384.00000,-3.33000,-3.33000,4.08840,0.04690,0.04920,52.28220,-565.56020,-565.56020,-530.70540,-530.70540,0.01540,0.28820,1.47850,60.87140,-10.92040,-10.92040,-8.15690,-10.40850,30.50000,-3.3042,-3.7755
2024-03-31,167.00000,96.00000,71.00000,1063.00000,274.00000,1337.00000,-1266.00000,101.00000,-1165.00000,10.00000,-1175.00000,-1175.00000,-1175.00000,-1257.00000,-1266.00000,382.00000,382.00000,-3.07000,-3.07000,4.03360,0.04290,0.04490,42.51500,-758.08380,-758.08380,-697.60480,-703.59280,0.01000,0.32540,1.21900,73.83230,-9.16750,-9.16750,-7.02370,-8.77390,33.46480,-2.58900,-3.10210
2023-12-31,2811.00000,929.00000,1882.00000,1406.00000,470.00000,1876.00000,6.00000,64.00000,70.00000,-147.00000,217.00000,217.00000,217.00000,188.00000,6.00000,382.00000,382.00000,0.62000,0.63000,3.42450,0.03990,0.04150,66.95130,0.21340,0.21340,2.49020,7.71970,0.15260,4.59900,3.15130,28.55920,1.56630,1.56630,1.17770,1.50390,36.26700,1.654,1.0814
2023-09-30,1831.00000,2241.00000,-410.00000,1160.00000,442.00000,1602.00000,-2012.00000,54.00000,-1958.00000,1672.00000,-3630.00000,-3630.00000,-3630.00000,-1775.00000,-2012.00000,381.00000,381.00000,-9.53000,-9.53000,2.46270,0.04100,0.04270,-22.39210,-109.88530,-109.88530,-106.93610,-198.25230,0.09410,4.60160,0.98120,91.72040,-26.97880,-26.97880,-18.66320,-25.87310,35.31500,-4.1995,-4.5669
2023-06-30,344.00000,731.00000,-387.00000,1148.00000,332.00000,1480.00000,-1867.00000,118.00000,-1749.00000,-369.00000,-1380.00000,-1380.00000,-1380.00000,-1787.00000,-1867.00000,381.00000,381.00000,-3.62000,-3.62000,3.39390,0.04740,0.04970,-112.50000,-542.73250,-542.73250,-508.43020,-401.16280,0.01570,1.02240,1.48280,60.69770,-8.14210,-8.14210,-6.30600,-7.75630,44.48560,-2.5921,-3.2239
2023-03-31,1862.00000,792.00000,1070.00000,1131.00000,305.00000,1436.00000,-366.00000,61.00000,-305.00000,-384.00000,79.00000,79.00000,79.00000,-305.00000,-366.00000,386.00000,405.00000,0.20000,0.19000,3.46440,0.04220,0.04410,57.46510,-19.65630,-19.65630,-16.38020,4.24280,0.07720,1.08200,1.67300,53.79700,0.41880,0.41880,0.32750,0.40110,49.12240,-3.02470,-3.30370
2022-12-31,5084.00000,1918.00000,3166.00000,1211.00000,375.00000,1586.00000,1580.00000,75.00000,1655.00000,190.00000,1465.00000,1465.00000,1465.00000,1656.00000,1580.00000,394.00000,416.00000,3.95000,3.77000,2.72820,0.04550,0.04770,62.27380,31.07790,31.07790,32.55310,28.81590,0.19660,2.02110,3.67080,24.51810,7.66090,7.66090,5.66560,7.31220,49.67010,3.9178,3.7037
2022-09-30,3364.00000,1100.00000,2264.00000,820.00000,278.00000,1098.00000,1166.00000,51.00000,1217.00000,174.00000,1043.00000,1043.00000,1043.00000,1285.00000,1166.00000,390.00000,412.00000,2.67000,2.53000,2.10030,0.04870,0.05120,67.30080,34.66110,34.66110,36.17720,31.00480,0.12910,0.52960,1.24820,72.10170,5.79700,5.79700,4.00290,5.51440,46.49100,0.736,0.5112
2022-06-30,4749.00000,1381.00000,3368.00000,710.00000,211.00000,921.00000,2447.00000,27.00000,2474.00000,277.00000,2197.00000,2197.00000,2197.00000,2534.00000,2447.00000,396.00000,419.00000,5.55000,5.24000,1.99100,0.03440,0.03560,70.92020,51.52660,51.52660,52.09520,46.26240,0.18240,0.71890,1.76480,50.99810,12.21570,12.21570,8.43600,11.79530,45.88010,0.8339,0.621
2022-03-31,6066.00000,1017.00000,5049.00000,554.00000,268.00000,822.00000,4227.00000,2.00000,4229.00000,572.00000,3657.00000,3657.00000,3657.00000,4324.00000,4227.00000,402.00000,426.00000,9.09000,8.58000,1.76990,0.03650,0.03780,83.23440,69.68350,69.68350,69.71650,60.28680,0.21970,0.52370,1.91180,47.07720,21.41730,21.41730,13.24570,20.63650,42.68750,6.48590,6.17610
2021-12-31,7211.00000,952.00000,6259.00000,648.00000,201.00000,849.00000,5410.00000,,5410.00000,542.00000,4868.00000,4868.00000,4868.00000,5509.00000,5410.00000,403.00000,431.00000,12.06000,11.29000,1.76060,0.04060,0.04230,86.79790,75.02430,75.02430,75.02430,67.50800,0.29230,0.66070,2.27120,39.62700,34.41500,34.41500,19.73330,33.01680,35.09930,7.8451,7.5641
2021-09-30,4969.00000,722.00000,4247.00000,521.00000,168.00000,689.00000,3558.00000,-6.00000,3552.00000,219.00000,3333.00000,3333.00000,3333.00000,3648.00000,3558.00000,404.00000,434.00000,8.27000,7.70000,1.34830,0.02300,0.02350,85.46990,71.60390,71.60390,71.48320,67.07590,0.23750,0.74820,1.58150,56.90880,32.92180,32.92180,15.92980,32.16560,24.99750,7.4356,7.2085
2021-06-30,4354.00000,750.00000,3604.00000,421.00000,121.00000,542.00000,3062.00000,1.00000,3063.00000,283.00000,2780.00000,2780.00000,2780.00000,3139.00000,3062.00000,402.00000,431.00000,6.93000,6.46000,1.24080,0.04660,0.04890,82.77450,70.32610,70.32610,70.34910,63.84930,0.26950,1.16640,2.15540,41.75470,41.46780,41.46780,17.21040,39.53360,16.63520,9.4109,9.3415
