Date,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,667.94100,233.98000,433.96100,-349.50800,364.98800,68.97300,-26.18100,42.79200,9.12300,33.66900,33.66900,30.09600,84.16100,68.97300,27.68800,28.20000,1.09000,1.07000,0.23960,0.31510,10.32620,10.32620,6.40660,4.50580,0.24470,2.38060,21.24390,1.23350,1.81010,51.03320,2.7013,2.3986
2024-06-30,602.23000,200.12600,402.10400,-331.99900,347.19700,54.90700,-25.90200,29.00500,7.94000,21.06500,21.06500,17.34300,69.94600,54.90700,27.59200,28.01300,0.63000,0.62000,0.24520,0.32490,9.11730,9.11730,4.81630,2.87980,0.22760,1.53620,18.54050,0.79630,1.15940,49.67480,0.7535,0.4273
2024-03-31,554.31500,199.97600,354.33900,-309.36800,324.75200,29.58700,-22.44100,7.14600,0.93600,6.21000,6.21000,3.13000,44.96200,29.58700,27.51200,28.02700,0.11000,0.11000,0.24620,0.32650,5.33760,5.33760,1.28920,0.56470,0.20910,0.45520,5.81670,0.23420,0.34320,49.45950,-1.05570,-1.42000
2023-12-31,582.16820,217.02200,365.14610,-305.25400,320.85300,44.29320,-25.51400,18.77900,5.67500,13.10400,13.10400,8.81500,59.93020,44.29310,27.29300,27.52000,0.33000,0.32000,0.24410,0.32300,7.60830,7.60830,3.22570,1.51420,0.21540,0.95060,11.57350,0.48480,0.71850,50.36720,1.4414,1.1597
2023-09-30,601.71400,218.98300,382.73100,-311.94800,328.36200,54.36900,-27.30500,27.06400,9.13400,17.93000,17.93000,13.99900,70.84400,54.36900,27.34800,27.65000,0.51000,0.51000,0.24670,0.32750,9.03570,9.03570,4.49780,2.32650,0.22540,1.31920,20.93700,0.67180,0.99370,49.68740,2.1575,1.6651
2023-06-30,549.15400,171.77600,377.37800,-311.99900,327.52700,49.85100,-24.67700,25.17400,5.39200,19.78200,19.78200,15.81500,65.53600,49.85100,27.25500,27.44400,0.58000,0.58000,0.24570,0.32580,9.07780,9.07780,4.58410,2.87990,0.20510,1.44820,22.78830,0.73870,1.09230,50.09700,1.2958,1.0603
2023-03-31,524.30500,205.73800,318.56700,-291.29400,306.20000,12.36700,-22.52300,-10.15600,-4.93800,-5.21800,-5.21800,-8.19000,27.50300,12.36700,27.20100,27.20100,-0.30000,-0.30000,0.24660,0.32730,2.35870,2.35870,-1.93700,-1.56210,0.19570,-0.38370,-7.00220,-0.19480,-0.28910,49.90830,-1.87720,-2.20240
2022-12-31,655.90800,256.75200,399.15590,-336.77090,351.84580,47.31020,-26.55900,20.75100,2.48800,18.26300,18.26300,13.31400,62.67720,47.31010,27.05500,27.34700,0.48000,0.49000,0.24600,0.32620,7.21290,7.21290,3.16370,2.02990,0.23960,1.33280,18.59800,0.66700,1.00500,50.50740,0.913,0.4362
2022-09-30,716.39900,280.51700,435.88200,-346.26500,360.33200,75.55000,-30.03900,45.51100,10.78300,34.72800,34.72800,29.43400,90.10400,75.55000,27.11300,27.37100,1.09000,1.08000,0.24750,0.32880,10.54580,10.54580,6.35270,4.10860,0.26480,2.55820,15.68950,1.28360,1.92520,50.04980,1.7725,1.4426
2022-06-30,844.07300,339.84700,504.22600,-372.25400,386.54200,117.68400,-30.90500,86.77900,19.89400,66.88500,66.88500,61.66000,132.66500,117.68400,27.01800,27.29300,2.28000,2.26000,0.24650,0.32720,13.94240,13.94240,10.28100,7.30510,0.30630,4.91870,32.13850,2.42750,3.70610,50.29300,3.0595,2.5541
2022-03-31,852.91600,331.19100,521.72500,-394.73300,408.48100,113.24400,-33.63300,79.61100,17.69900,61.91200,61.91200,57.89700,127.68200,113.24400,26.96000,27.44400,2.15000,2.11000,0.25180,0.33660,13.27730,13.27730,9.33400,6.78810,0.30890,4.67340,38.22030,2.24240,3.49640,49.03900,1.27080,0.85310
2021-12-31,961.66990,364.57000,597.09990,-432.41390,446.40670,150.69320,-36.62600,114.06700,23.44200,90.62500,90.62500,85.49800,165.51520,150.69310,26.82200,27.16800,3.18000,3.13000,0.27190,0.37340,15.67000,15.66990,11.86140,8.89060,0.34180,6.99950,64.68870,3.22120,5.09640,48.14390,4.9188,4.4221
2021-09-30,836.72700,329.90600,506.82100,-350.17400,359.31800,147.50300,-31.05700,116.44600,23.05100,93.39500,93.39500,88.66300,157.53800,147.50300,26.87300,27.23800,3.30000,3.26000,0.18450,0.22620,17.62860,17.62860,13.91690,10.59640,0.35220,7.67610,15.36170,3.93160,6.25980,45.24730,3.9,3.5405
2021-06-30,818.80900,322.02000,496.78900,-326.26300,333.08200,163.70700,-34.25100,129.45600,30.61600,98.84000,98.84000,94.81900,171.49200,163.70700,26.79800,27.12300,3.54000,3.50000,0.10100,0.11240,19.99330,19.99330,15.81030,11.58010,0.37760,8.70010,17.99430,4.55830,7.82130,42.35130,3.7888,3.7854
2021-03-31,688.58600,283.93500,404.65100,-294.87900,301.30900,103.34200,-29.34000,74.00200,16.88000,57.12200,57.12200,54.23600,110.71000,103.34200,26.73600,26.98400,2.03000,2.01000,0.10700,0.11980,15.00790,15.00790,10.74700,7.87640,0.33710,5.45110,10.80160,2.79630,4.86780,39.09190,1.75820,1.54610
2020-12-31,736.72990,285.34300,451.38690,-314.56300,320.34300,131.04390,-47.17200,83.87200,19.53900,64.33300,64.33300,59.67300,137.80490,131.04390,24.79300,24.91300,2.37000,2.35000,0.09130,0.10050,17.78720,17.78720,11.38440,8.09970,0.37240,6.35450,11.83580,3.25150,5.77400,37.87810,5.5025,5.3247
2020-09-30,595.69600,231.05100,364.64500,-254.16900,259.31300,105.33200,-28.98900,76.34300,16.05800,60.28500,60.28500,55.90900,111.50300,105.33200,25.14800,25.29700,2.22000,2.21000,0.09620,0.10650,17.68220,17.68220,12.81580,9.38550,0.32730,6.34000,11.02840,3.31200,5.72980,35.58780,3.4589,3.3302
2020-06-30,516.10500,228.72000,287.38500,-212.14100,216.20200,71.18300,-22.16300,49.02000,11.34000,37.68000,37.68000,34.14600,76.35300,71.18300,23.65600,23.75600,1.44000,1.44000,0.11440,0.12920,13.79240,13.79240,9.49810,6.61610,0.32250,4.78580,7.48170,2.35470,4.23830,33.22220,2.5877,2.5029
2020-03-31,439.90100,199.36600,240.53500,-207.51000,211.74100,28.79400,-19.52400,9.27000,1.89600,7.37400,7.37400,5.17700,34.16900,28.79400,23.63800,23.74900,0.22000,0.22000,0.12220,0.13920,6.54560,6.54560,2.10730,1.17690,0.29170,1.00040,1.52790,0.48900,0.87820,31.12650,-0.47830,-0.67960
2019-12-31,509.90600,222.67100,287.23500,-248.52300,253.59000,33.64500,-29.86500,3.78000,0.71700,3.06300,3.06300,-0.03300,39.86200,33.64510,23.61100,23.75300,0.00000,0.01000,0.12800,0.14680,6.59830,6.59830,0.74130,-0.00650,0.32010,0.40640,0.61230,0.19230,0.35440,31.79210,2.4906,2.3315
