,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-10-21,2024-09-30,$2.38,$0.96
1,2024-07-22,2024-06-30,$2.34,$0.25
2,2024-04-22,2024-03-31,$2.31,$0.97
3,2024-01-29,2023-12-31,$2.29,$-0.54
4,2023-10-23,2023-09-30,$2.24,$0.13
5,2023-07-24,2023-06-30,$2.20,$0.51
6,2023-04-24,2023-03-31,$2.15,$0.44
7,2023-01-30,2022-12-31,$2.13,$0.31
8,2022-10-24,2022-09-30,$2.12,$2.11
9,2022-07-25,2022-06-30,$2.06,$2.11
10,2022-04-25,2022-03-31,$2.00,$-0.96
11,2022-01-31,2021-12-31,$1.96,$0.47
12,2021-10-25,2021-09-30,$1.94,$0.67
13,2021-07-26,2021-06-30,$1.89,$2.61
14,2021-04-26,2021-03-31,$1.85,$0.04
15,2021-02-01,2020-12-31,$1.84,$3.26
16,2020-10-26,2020-09-30,$1.83,$0.63
17,2020-07-27,2020-06-30,$1.81,$1.82
18,2020-04-27,2020-03-31,$1.82,$0.14
19,2020-02-03,2019-12-31,$1.78,$1.74
20,2019-10-28,2019-09-30,$1.75,$-0.44
21,2019-07-29,2019-06-30,$1.72,$0.68
22,2019-04-29,2019-03-31,$1.68,$1.11
23,2019-02-04,2018-12-31,$1.69,$-0.30
24,2018-10-29,2018-09-30,$1.67,$1.98
25,2018-07-30,2018-06-30,$1.64,$0.51
26,2018-04-30,2018-03-31,$1.59,$1.32
27,2018-01-29,2017-12-31,$1.54,$0.38
28,2017-10-30,2017-09-30,$1.50,$0.55
29,2017-07-31,2017-06-30,$1.50,$0.35
30,2017-05-01,2017-03-31,$1.46,$0.42
31,2017-01-30,2016-12-31,$1.43,$0.27
32,2016-10-31,2016-09-30,$1.38,$0.07
33,2016-08-01,2016-06-30,$1.37,$-1.72
34,2016-05-02,2016-03-31,$1.34,$-0.05
35,2016-02-01,2015-12-31,$1.34,$0.49
36,2015-11-02,2015-09-30,$1.33,$0.46
37,2015-07-27,2015-06-30,$1.31,$0.44
38,2015-04-27,2015-03-31,$1.27,$0.25
39,2015-02-02,2014-12-31,$1.24,$-0.25
