Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,196.30800,54.28600,142.02200,6.67700,-5.70800,52.14500,89.87700,-223.88900,-134.01200,-134.01200,-134.01200,-165.06900,130.17300,129.63700,428.87300,428.87300,-0.38000,-0.38000,0.47900,0.30740,0.44380,72.34650,45.78370,66.03750,-68.26620,-84.08670,0.02590,5.48320,16.41390,-3.81710,-2.61580,-1.76500,-1.81170,11.81640,0.40510,0.40510
2024-06-30,212.26000,58.62300,153.63700,5.23900,-5.70800,50.71500,102.92200,-73.36600,29.55600,29.55600,29.55600,-9.05000,143.58100,142.69000,412.70300,625.27700,-0.01000,0.04000,0.92690,0.31480,0.45940,72.38150,48.48860,67.22410,13.92440,-4.26360,0.02700,7.35990,12.22840,0.79630,0.55790,0.37620,0.38230,12.47020,0.2234,0.2234
2024-03-31,202.21500,56.60800,145.60700,5.68300,-5.70800,51.23200,94.37500,49.98600,144.36100,144.36100,144.36100,113.89100,135.38100,134.21600,414.46200,678.35400,0.27000,0.20000,0.71700,0.31900,0.46840,72.00600,46.67060,66.37290,71.38990,56.32170,0.02560,6.32020,14.24000,3.85760,2.72280,1.82600,1.85420,12.74050,-0.2002,-0.2002
2023-12-31,210.94200,57.41200,153.53000,4.30700,-12.25200,56.60300,96.92700,-124.67100,-27.74400,-27.74400,-27.74400,-51.43600,138.20700,136.97100,410.94300,410.94300,-0.13000,-0.13000,1.07020,0.40140,0.67040,72.78300,45.94960,64.93300,-13.15240,-24.38400,0.02710,5.64760,15.93610,-0.75320,-0.75320,-0.35660,-0.45090,8.92370,0.275,0.275
2023-09-30,236.24500,64.90600,171.33900,3.02100,-2.11300,45.72700,125.61200,-8.95100,116.66100,116.66100,116.66100,94.01100,167.41500,166.20500,406.35100,635.59000,0.23000,0.23000,0.88680,0.39680,0.65790,72.52600,53.17020,70.35280,49.38140,39.79390,0.03010,7.31300,12.30690,3.08560,3.08560,1.48540,1.86110,9.25280,0.14960,0.14960
2023-06-30,221.50300,61.65100,159.85200,3.95100,-4.08800,47.07300,112.77900,-105.24400,7.53500,7.53500,7.53500,-13.95000,153.17900,151.81300,398.51500,398.51500,-0.03000,-0.02000,0.97230,0.33420,0.50180,72.16700,50.91530,68.53770,3.40180,-6.29790,0.02820,9.08880,9.90230,0.20190,0.14630,0.09580,0.09740,12.74810,-0.3009,-0.3009
2023-03-31,215.12000,59.54100,155.57900,6.10900,-9.77300,53.39900,102.18000,-191.19400,-89.01400,-89.01400,-89.01400,-108.94700,140.89700,139.69700,399.73200,399.73200,-0.27000,-0.27000,0.78610,0.39250,0.64600,72.32200,47.49910,64.93910,-41.37880,-50.64480,0.02790,7.54990,11.92070,-2.34290,-2.34290,-1.15580,-1.42340,9.47850,0.1074,0.1074
2022-12-31,212.91600,61.38700,151.52900,3.42400,-3.61800,44.82500,106.70400,-34.42700,72.27700,72.27700,72.27700,55.62300,145.73900,144.48700,397.68500,547.36800,0.14000,0.13000,0.86930,0.39550,0.65430,71.16840,50.11550,67.86100,33.94630,26.12440,0.02700,6.13890,14.66060,1.82220,1.82220,0.91600,1.10150,9.94450,-0.1657,-0.1657
2022-09-30,202.67400,59.94000,142.73400,6.49900,-3.09900,43.46800,99.26600,-191.70500,-92.43900,-92.43900,-92.43900,-105.19900,134.02800,133.13600,394.33700,394.33700,-0.27000,-0.27000,0.56780,0.39970,0.66590,70.42540,48.97820,65.68970,-45.60970,-51.90550,0.02650,10.08830,8.92120,-2.33170,-2.33170,-1.20640,-1.39960,10.00660,-0.19500,-0.19500
2022-06-30,184.62300,58.09300,126.53000,3.19100,-2.90600,36.56100,89.96910,-137.42500,-47.45600,-47.45600,-47.45600,-56.64300,47.82300,120.43300,390.57200,433.79200,-0.14000,-0.17000,0.43950,0.39920,0.66450,68.53430,48.73120,65.23190,-25.70430,-30.68040,0.02410,13.50570,6.66390,-1.15210,-1.15210,-0.61930,-0.69210,10.47690,-0.4709,-0.4709
