Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.00270,0.00270,0.25270,0.65590,,-0.90590,0.04150,-0.86440,-0.86440,-0.86440,-0.86440,-0.89170,-0.90590,1.41900,1.41900,-0.61000,-0.61000,17.11640,100.00000,-33501.07000,-33501.07000,-31967.82000,-31967.82000,0.00040,-12.87370,-13.13280,-12.14150,-12.87370,3.54710,-0.1294,-0.125
2024-06-30,,,0.24930,0.60520,,-0.85450,0.04530,-0.80920,-0.80920,-0.80920,-0.80920,-0.84030,-0.85450,1.12000,1.12000,-0.72000,-0.72000,12.46570,,,,,,,-17.22190,-17.75080,-15.89550,-17.22190,3.92560,-0.5481,-0.5478
2024-03-31,0.00000,0.00000,0.18230,0.86150,,-1.04380,0.13170,-0.91210,-0.91210,-0.91210,-0.91210,-1.03520,-1.04380,1.00600,1.00600,-0.91000,-0.91000,11.22150,,,,,,0.00000,-16.68290,-17.14550,-15.24990,-16.68290,4.99780,-1.09290,-1.11400
2023-12-31,,,0.28520,0.54570,,-0.83100,0.02980,-0.80100,-0.80100,-0.80100,-0.80100,-0.82730,-0.83070,0.98800,0.98800,-0.76000,-0.76000,13.48910,,,,,,,-23.37960,-23.37960,-21.67140,-23.37960,3.46750,-0.7229,-0.7561
2023-09-30,,,0.25840,0.61520,,-0.87360,0.01660,-0.85710,-0.85710,-0.85710,-0.85710,-0.87290,-0.87360,1.00600,1.00600,-0.85000,-0.85000,21.91350,,,,,,,-20.21920,-20.21920,-19.30170,-20.21920,4.24090,-0.8728,-0.8973
2023-06-30,,,0.26760,0.44860,-0.05240,-0.76860,0.01460,-0.75400,-0.75400,-0.75400,-0.75400,-0.76550,-0.76860,1.00900,1.00900,-0.75000,-0.75000,19.26000,,,,,,,-14.90920,-14.90920,-14.13510,-14.90920,5.02900,-0.4255,-0.4255
2023-03-31,,,0.10460,1.43780,,-1.54230,0.00630,-1.53600,-1.53600,-1.53600,-1.53600,-1.53920,-1.54230,0.93800,0.93800,-1.64000,-1.64000,39.44420,,,,,,,-26.50930,-26.76570,-25.84360,-26.50930,5.74630,-0.99560,-0.99560
2022-12-31,,,0.21580,0.10900,,-0.32470,0.00170,-0.32300,-0.32300,-0.32300,-0.32300,-0.32160,-0.32470,0.86800,0.86800,-0.43950,-0.43950,3.45250,,,,,,,-47.10900,-51.51480,-34.31410,-47.10900,0.79000,-0.4094,-0.4094
2022-09-30,,,0.22090,0.10570,,-0.32660,0.00040,-0.32620,-0.32620,-0.32620,-0.32620,-0.32660,-0.32660,0.86780,0.86780,-0.36010,-0.36010,5.65670,,,,,,,-32.33610,-34.44590,-26.91110,-32.33610,1.16250,-0.3657,-0.3657
2022-06-30,,,0.23740,0.22720,,-0.46460,0.00050,-0.46410,-0.46410,-0.46410,-0.46410,-0.46460,-0.46460,0.86780,0.86780,-0.48020,-0.48020,,,,,,,,,,,,,-0.4634,-0.4634
2022-03-31,,,0.15050,0.15770,,-0.30820,0.00040,-0.30780,-0.30780,-0.30780,-0.30780,-0.30820,-0.30820,0.86780,0.86780,-0.36010,-0.36010,,,,,,,,,,,,,-0.21360,-0.21360
2021-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,0,0
