Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.20500,0.06600,0.13900,0.43200,0.43200,-0.29300,,-0.29300,-0.29300,-0.29300,-0.54000,-0.29200,-0.29300,6.12100,6.12100,-0.09000,-0.09000,0.03230,-142.92680,-142.92680,-142.92680,-263.41460,0.02800,-8.02520,-8.02520,-4.00110,-8.02520,0.59360,0.0876,0.0876
2024-06-30,0.04400,0.06200,-0.01800,0.56600,0.56600,-0.58400,,-0.58400,-0.58400,-0.58400,-0.82100,-0.58400,-0.58400,6.01060,6.01060,-0.14000,-0.14000,0.03120,-1327.27300,-1327.27300,-1327.27300,-1865.90900,0.00560,-15.42120,-15.42120,-7.46520,-15.42120,0.62730,-0.3113,-0.3113
2024-03-31,-0.12500,0.06000,-0.18500,0.48800,0.48800,-0.67300,,-0.67300,-0.67300,-0.67300,-0.90500,-0.67100,-0.67300,6.00500,6.00500,-0.15000,-0.15000,0.02620,538.40000,538.40000,538.40000,724.00000,-0.01720,-14.95890,-14.95890,-9.26610,-14.95890,0.74900,0.01980,0.01980
2023-12-31,-1.90500,0.06100,-1.96600,0.47400,0.47400,-2.44000,,-2.44000,-2.44000,-2.44000,-2.67200,-2.43900,-2.44000,5.86700,5.86700,-0.46000,-0.46000,0.02210,128.08400,128.08400,128.08400,140.26250,-0.23080,-45.76140,-45.76140,-29.56500,-45.76150,0.90830,0.0162,0.0162
2023-09-30,-6.38100,0.06000,-6.44100,0.62800,0.62800,-7.06900,,-7.06900,-7.06900,-7.06900,-7.30000,-7.06700,-7.06900,5.87020,5.87020,-1.24000,-1.24000,0.01480,110.78200,110.78200,110.78200,114.40210,-0.56990,-88.94060,-88.94060,-63.13300,-88.94060,1.35400,0.0439,0.044
2023-06-30,0.69100,0.02000,0.67100,0.67700,0.67700,-0.00600,,-0.00600,-0.00600,-0.00600,-0.08500,-0.00500,-0.00600,5.87020,5.87020,-0.01000,-0.01000,0.00780,-0.86830,-0.86830,-0.86830,-12.30100,0.03690,-0.03960,-0.03960,-0.03210,-0.03960,2.58170,-0.251,-0.251
2023-03-31,0.54600,,0.54600,0.40400,,0.14200,,0.14200,0.14200,0.14200,0.14200,0.14400,0.14200,5.85800,5.85800,0.02000,0.02000,0.01130,26.00730,26.00730,26.00730,26.00730,0.03240,0.93510,0.93510,0.84280,0.93510,2.58860,-0.02390,-0.02480
2022-12-31,1.04300,0.00100,1.04200,0.36300,0.36300,0.67900,,0.67900,0.67900,0.67900,0.67800,0.68000,0.67900,5.77200,5.77200,0.12000,0.12000,0.01440,65.10070,65.10070,65.10070,65.00480,0.06280,4.53000,4.53000,4.08640,4.53000,2.59770,-0.0256,-0.0256
2022-09-30,-0.69600,0.06500,-0.76100,0.32300,0.32300,-1.08400,-1.07300,-2.15700,-2.15700,-2.15700,-2.15700,-1.08300,-1.08400,5.78200,5.78200,-0.37000,-0.37000,0.01510,155.74710,155.74710,309.91380,309.91380,-0.04370,-15.10500,-15.10500,-13.54130,-15.10500,2.46990,-0.0358,-0.0358
2022-06-30,0.50300,0.02100,0.48200,0.38900,0.38900,0.09300,,0.09300,0.09300,0.09300,0.07700,0.09300,0.09300,5.78160,5.78160,0.01000,0.01000,0.01320,18.48910,18.48910,18.48910,15.30820,0.02850,0.56690,0.56690,0.52630,0.56690,2.83730,-0.0702,-0.0702
