Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,,
2023-12-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,14.5932,14.9038
2023-03-31,6.57970,2.69470,3.88500,4.10690,1.46350,-2.11970,7.69020,-3.80510,0.16200,-3.64310,-0.02850,-3.61460,-3.61460,-3.50000,-3.48650,-3.80510,0.10040,0.10040,-34.00000,-34.00000,2.70040,,59.04530,-57.83100,-57.83100,-55.36840,-53.19410,0.17740,9.80510,0.68670,131.05310,-14.41670,-18.08650,-9.74430,-14.41670,98.68770,-14.59320,-14.90380
2022-12-31,24.05450,11.08230,12.97230,35.78620,2.45460,-0.12540,38.36620,-25.39390,0.02940,-25.36450,-0.12340,-25.24110,-25.24110,-24.90080,-25.02750,-25.39390,0.10040,0.10040,-216.00000,-216.00000,2.95190,0.00210,53.92860,-105.56810,-105.56810,-105.44580,-103.51790,0.58810,43.48050,2.06480,43.58850,-88.41960,-108.56270,-61.70850,-88.41960,112.36320,-218.6184,-220.3119
2022-09-30,24.24310,14.82290,9.42020,6.89170,1.20550,-0.29640,8.39350,1.02670,0.69080,1.71750,0.05730,1.66020,1.66020,1.28590,1.02670,1.02670,0.25410,0.25410,18.00000,18.00000,4.73830,0.01130,38.85720,4.23510,4.23510,7.08460,5.30440,0.35070,99.76240,1.81230,49.66190,3.00310,3.32560,2.40190,3.00310,217.59520,49.7536,48.7493
2022-06-30,,,,,0.12290,,,-0.12290,0.01910,-0.10380,,-0.10380,-0.10380,-0.10380,-0.12290,-0.12290,0.00850,0.00850,-10.00000,-10.00000,0.00030,-0.06870,,,,,,,,,,3.72050,3.72050,-0.17790,3.72050,-326.69600,-30.9465,-30.9454
2022-03-31,24.21520,13.42900,10.78620,6.55310,0.93710,-0.02050,7.51070,3.27550,0.07330,3.34880,-0.05670,3.40550,3.40550,3.39600,3.59680,3.27550,0.66000,0.66000,6.00000,6.00000,0.18830,,44.54310,13.52670,13.52670,13.82930,14.02420,0.41640,,,,-139.00330,-139.00330,5.85580,-139.00330,-286.87900,0.41210,0.41100
2021-12-31,,,,,3.37700,,,-43.31430,0.24950,13.21960,,13.34430,13.34430,13.34430,-43.31430,12.97000,0.66000,0.66000,192.00000,192.00000,2.09340,,,,,,,,,,,75.71850,122.54530,47.92690,75.71850,26.70240,106.8699,106.8378
2021-09-30,,,,,0.39590,,,-0.39590,0.00160,-0.39430,,-0.39430,-0.39430,-0.39430,-0.39590,-0.39590,0.00850,0.00850,-10.00000,-10.00000,1.61810,,,,,,,,,,,19.80210,19.80210,-0.67680,19.80210,-233.15680,-58.3725,-58.3725
2021-06-30,,,,,0.14330,,,-0.14330,0.00010,-0.14320,,-0.14320,-0.14320,-0.14320,-0.14330,-0.14330,0.00730,0.00730,-152.00000,-152.00000,9.47660,,,,,,,,,,,8.96670,8.96670,-0.24440,8.96670,-187.02080,-16.1449,-16.1449
2021-03-31,,,,,0.05680,,,-0.05680,,-0.05680,,-0.05680,-0.05680,-0.05680,-0.05680,-0.05680,0.00540,0.00540,-10.00000,-10.00000,,,,,,,,,,,,,,,,,-7.86250,-7.86250
2020-12-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2020-09-30,,,,,0.00490,,,-0.00490,,-0.00490,,-0.00490,-0.00490,-0.00490,-0.00490,-0.00490,0.00000,0.00000,-97999.99000,-97999.99000,,,,,,,,,,,,,,,,,0,0
2020-06-30,,,,,0.00480,,,-0.00480,,-0.00480,,-0.00480,-0.00480,-0.00480,-0.00480,-0.00480,0.00000,0.00000,-95999.99000,-95999.99000,,,,,,,,,,,,,,,,,0,0
