Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,135.82600,26.37700,,-162.20300,-10.59500,-172.79800,0.54600,-173.34400,-173.34400,,-170.53600,-168.30800,-162.20300,119.78400,119.78400,-1.36000,-1.36000,6.74120,0.67300,2.05790,,,,,,,,,-90.72610,-94.98250,-15.20830,-29.66970,1.53620,-1.2421,-1.4797
2024-06-30,,,152.43100,23.71000,,-176.14100,2.16400,-173.97700,,-173.97700,-173.97700,,-170.79300,-164.36900,-176.14100,124.19900,124.19900,-1.38000,-1.38000,4.65350,,,,,,,,,,,-51.32460,-52.72240,-19.68600,-51.32460,2.72870,-0.9168,-1.027
2024-03-31,,,101.12200,25.06900,,-126.19100,-0.80500,-126.99600,,-126.99600,-126.99600,,-125.30000,-119.93500,-126.19100,123.28500,123.28500,-1.02000,-1.02000,8.31070,,,,,,,,,,,-25.63480,-26.13120,-13.29590,-25.63480,3.99090,-0.608,-0.8022
2023-12-31,3.55100,3.55100,116.49100,23.60500,,-136.54500,-2.14400,-138.68900,-3.31300,-135.37600,-135.37600,,-132.86400,-133.11700,-136.54500,107.41500,107.41500,-1.24000,-1.24000,3.73330,,,100.00000,-3845.25400,-3845.25400,-3905.63200,-3741.59400,0.00570,,,-77.93040,-82.60830,-21.61570,-77.93040,1.61590,-1.09710,-1.73620
2023-09-30,16.09700,16.09700,99.85500,24.57200,,-108.33000,-0.66000,-108.99000,2.02500,-111.01500,-111.01500,,-109.67900,-105.45800,-108.33000,106.75000,106.75000,-1.03000,-1.02000,3.94920,,,100.00000,-672.98230,-672.98230,-677.08250,-681.36280,0.02100,,,-38.65940,-40.09210,-14.50130,-38.65940,2.67600,-0.2457,-0.8469
2023-06-30,15.82500,15.82500,94.75700,23.77100,,-102.70300,-0.68000,-103.38300,0.74200,-104.12500,-104.12500,,-102.94600,-100.37500,-102.70300,107.00400,107.00400,-0.96000,-0.96000,6.69490,,,100.00000,-648.99210,-648.99210,-653.28910,-650.52760,0.01990,12.69050,7.09190,-27.25890,-28.04350,-13.08340,-27.25890,3.56660,-0.2047,-0.6468
2023-03-31,146.26700,146.26700,74.88100,23.22100,,48.16500,-0.48900,47.67600,,47.67600,47.67600,,48.67500,50.06200,48.16500,106.75700,108.14300,0.46000,0.45000,6.59560,,,100.00000,32.92950,32.92950,32.59520,33.27820,0.16410,2.10660,42.72370,10.25060,10.50150,5.34900,10.25060,4.35210,-0.279,-0.5244
2022-12-31,62.54600,62.54600,83.69500,20.98500,,-42.13400,0.34000,-41.79400,0.01700,-41.81100,-41.81100,,-41.32500,-38.75500,-42.13400,106.03900,106.03900,-0.39000,-0.39000,4.71280,,,100.00000,-67.36480,-67.36480,-66.82120,-66.07140,0.07020,1.58070,56.93600,-10.54840,-10.86470,-4.69000,-10.54840,3.73440,-0.71220,-1.07910
2022-09-30,31.57500,31.57500,83.37700,32.02800,,-83.83000,1.67300,-82.15700,,-85.94200,-85.94200,,-85.51100,-80.27300,-83.83000,105.42600,105.42600,-0.81000,-0.80000,2.91900,,,100.00000,-265.49480,-265.49480,-260.19630,-270.81860,0.04560,22.39360,4.01900,-20.54360,-21.14830,-12.42050,-20.54360,3.94810,-0.6539,-0.9649
2022-06-30,32.41200,32.41200,72.18000,33.14100,,-72.90900,0.86300,-72.04600,,-72.04600,-72.04600,,-72.04600,-68.63100,-72.90900,105.75300,105.75300,-0.68000,-0.68000,3.37240,,,100.00000,-224.94450,-224.94450,-222.28190,-222.28190,0.04310,135.61510,0.66360,-15.19390,-15.60150,-9.58340,-15.19390,4.48200,-0.6505,-0.7426
