Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,20.52700,5.65500,,-26.18200,19.78600,-6.39600,-6.39600,-6.39600,-6.39600,-25.71000,-26.18200,39.33580,39.33580,-0.16000,-0.16000,2.25170,1.37130,-3.69330,,,,,,,,,57.50260,57.50250,-7.52520,-21.34990,-0.41450,-0.5233,-0.5234
2024-06-30,,,21.95300,5.46300,,-27.41600,4.08900,-23.32700,-23.32700,-23.32700,-23.32700,-26.96400,-27.41600,39.26900,39.26900,-0.59000,-0.59000,3.46320,1.18370,-6.44430,,,,,,,,,367.23920,367.23880,-21.85770,-67.45420,-0.23690,-0.7496,-0.7471
2024-03-31,,,24.65500,6.26600,,-30.92100,27.21300,-3.70800,-3.70800,-3.70800,-3.70800,-30.43500,-30.92100,38.97800,38.97800,-0.10000,-0.10000,3.00790,0.66360,2.74790,,,,,,,,,-24.62640,-24.62640,-2.75220,-8.28330,0.56330,-0.79780,-0.79710
2023-12-31,0.38700,0.38700,21.50400,5.88800,,-27.14000,-37.24400,-64.38400,-64.38400,-64.38400,-64.38400,-26.63800,-27.14000,28.32580,28.32580,-2.23000,-2.23000,3.95250,0.67470,2.47410,100.00000,-7012.92300,-7012.91900,-16636.70000,-16636.70000,0.00230,,,-386.41240,-386.41210,-38.28420,-125.70580,0.63000,-0.6167,-0.563
2023-09-30,3.76200,3.76200,28.28000,7.76400,,-34.63600,-5.50700,-40.14300,-40.14300,-40.14300,-40.14300,-33.88100,-34.63600,27.99060,27.99060,-1.43000,-1.43000,4.31480,0.52050,1.13150,100.00000,-920.68040,-920.68040,-1067.06500,-1067.06500,0.02550,2.25950,39.83250,-110.58070,-110.58070,-27.16130,-53.02350,1.75200,-1.1323,-1.1322
2023-06-30,2.83300,2.83300,29.60800,7.22500,,-34.00000,-2.25800,-36.25800,-36.25800,-36.25800,-36.25800,-33.20400,-34.00000,27.91300,27.91300,-1.30000,-1.30000,5.37900,0.35850,0.55900,100.00000,-1200.14100,-1200.14100,-1279.84500,-1279.84500,0.01570,1.61330,55.78540,-49.50640,-49.50640,-20.03400,-31.75820,3.53670,-0.7986,-0.7986
2023-03-31,2.95400,2.95400,28.76100,7.40500,,-33.21200,9.42300,-23.78900,-23.78900,-23.78900,-23.78900,-32.43900,-33.21200,27.84200,27.84200,-0.85000,-0.85000,7.37310,0.26820,0.38220,100.00000,-1124.30600,-1124.30600,-805.31490,-805.31480,0.01440,1.67370,53.77450,-22.28410,-22.28420,-11.58610,-16.30840,5.23070,-1.32540,-1.33380
2022-12-31,-0.75400,-0.75400,27.91400,7.32900,,-35.99700,31.22300,-4.77400,-4.77400,-4.77400,-4.77400,-35.15700,-35.99700,12.63200,12.63200,5.11000,5.11000,6.86830,0.24140,0.31870,100.00000,4774.13900,4774.13800,633.15500,633.15700,-0.00310,,,-3.73740,-3.73740,-1.95270,-2.83520,6.30390,0.0253,-0.0128
2022-09-30,3.89100,3.89100,25.75900,8.07600,-9.51000,-39.45400,9.20100,-30.25300,-30.25300,-30.25300,-30.25300,-38.61600,-39.45400,9.41710,9.41710,-3.21000,-3.21000,6.56630,0.23880,0.31470,100.00000,-1013.98100,-1013.98100,-777.51230,-777.51220,0.01370,,,-23.42090,-23.42090,-10.62530,-17.82860,6.38670,-0.9629,-0.9856
2022-06-30,6.27600,6.27600,33.10000,6.94500,,-33.76900,-0.71200,-34.48100,-34.48100,-34.48100,-34.48100,-32.91500,-33.76900,6.38240,6.38240,-5.40000,-5.40000,2.36200,0.52270,1.31690,100.00000,-538.06560,-538.06560,-549.41050,-549.41050,0.04970,,,-111.16080,-111.16090,-27.31510,-53.05180,4.92450,-4.0447,-4.0619
2022-03-31,5.46700,5.46700,25.17100,6.94900,,-26.65300,1.50700,-25.14600,-25.14600,-25.14600,-25.14600,-25.78700,-26.65300,6.30610,6.30610,-3.99000,-3.99000,4.22130,0.38200,0.64910,100.00000,-487.52510,-487.52510,-459.95970,-459.95970,0.03590,,,-40.07840,-40.07840,-16.53460,-24.76730,9.99060,-4.76000,-4.78030
2021-12-31,7.80200,7.80200,26.79500,6.43100,,-25.42400,1.61100,-23.81300,-23.81300,-23.81300,-23.81300,-24.46600,-25.42400,6.25350,6.25350,-3.80000,-3.80000,4.33490,0.32120,0.47660,100.00000,-325.86520,-325.86530,-305.21670,-305.21660,0.04260,,,-27.94370,-27.94360,-13.01720,-18.96850,13.74040,-3.7495,-3.7897
2021-09-30,5.69700,5.69700,27.26200,5.34600,,-26.91100,0.88400,-26.02700,-26.02700,-26.02700,-26.02700,-25.96600,-26.91100,6.29280,6.29280,-4.14000,-4.14000,5.12960,0.27490,0.38180,100.00000,-472.37140,-472.37140,-456.85440,-456.85450,0.02740,,,-24.53990,-24.53990,-12.51040,-17.79360,17.12220,-4.4613,-4.5104
2021-06-30,5.16200,5.16200,25.78600,5.52000,,-26.14400,3.65400,-22.49000,-22.49000,-22.49000,-22.49000,-25.22100,-26.14400,6.28600,6.28600,-3.60000,-3.60000,6.74100,0.23580,0.31070,100.00000,-506.47030,-506.47030,-435.68380,-435.68380,0.02210,,,-17.30310,-17.30310,-9.62200,-13.22300,20.99110,-4.1241,-4.1912
2021-03-31,4.82700,4.82700,20.02900,5.73900,,-20.94100,6.71300,-14.22800,-14.22800,-14.22800,-14.22800,-20.04300,-20.94100,6.13800,6.13800,-2.30000,-2.30000,8.28230,0.21070,0.26870,100.00000,-433.83050,-433.83050,-294.75860,-294.75860,0.01850,,,-9.49290,-9.49290,-5.45910,-7.49300,24.23280,-3.58260,-3.62530
2020-12-31,5.69800,5.69800,29.02600,5.89200,,-29.22000,-0.91000,-30.13000,-30.13000,-30.13000,-30.13000,-28.36100,-29.22000,4.60520,4.60520,-6.20000,-6.20000,6.23800,0.30590,0.44360,100.00000,-512.81140,-512.81140,-528.78190,-528.78200,0.02670,814.00010,0.11060,-33.27330,-33.27330,-14.12900,-23.09520,16.10600,-6.4628,-6.4649
2020-09-30,3.82800,3.82800,17.67400,5.15100,,-18.99700,-0.48900,-19.48600,-19.48600,-19.48600,-19.48600,-18.15100,-18.99700,4.57820,4.57820,-4.30000,-4.30000,3.51220,0.30480,0.44410,100.00000,-496.26440,-496.26440,-509.03870,-509.03860,0.02870,1914.00000,0.04700,-42.41620,-42.41620,-14.61430,-29.48670,10.02880,-3.3274,-3.4402
2020-06-30,3.18800,3.18800,14.79600,5.13300,,-16.74100,-0.45500,-17.19600,-17.19600,-17.19600,-17.19600,-15.90700,-16.74100,4.56990,4.56990,-3.80000,-3.80000,4.84700,0.24390,0.32670,100.00000,-525.12540,-525.12540,-539.39770,-539.39770,0.02160,1594.00000,0.05650,-27.55500,-27.55510,-11.63340,-20.83400,13.63800,-2.7223,-2.9227
2020-03-31,2.37900,2.37900,14.56900,5.14900,,-17.33900,0.11300,-17.22600,-17.22600,-17.22600,-17.22600,-16.55600,-17.33900,4.39240,4.39240,-3.90000,-3.90000,6.34570,0.20820,0.26610,100.00000,-728.83570,-728.83570,-724.08580,-724.08580,0.01470,,,-22.50500,-22.50500,-10.67290,-17.81990,16.75230,0.05600,-0.35310
2019-12-31,0.50800,0.50800,14.27700,6.40200,,-20.17100,0.44200,-19.72900,-19.72900,-19.72900,-19.72900,-19.27300,-20.17100,4.02220,4.02220,-4.50000,-4.50000,4.86960,0.00780,0.01090,100.00000,-3970.67000,-3970.66900,-3883.66000,-3883.66200,0.00340,0.02540,3543.30700,-24.91540,-24.91540,-13.15460,-24.72150,18.25860,-3.2808,-5.3397
2019-09-30,0.55800,0.55800,15.93100,5.01600,,-20.38900,0.59600,-19.79300,-19.79300,-19.79300,-19.79300,-19.74600,-20.38900,4.24390,4.24390,-4.70000,-4.70000,4.91890,0.00680,0.00930,100.00000,-3653.94200,-3653.94200,-3547.13200,-3547.13300,0.00390,,,-20.92860,-20.92860,-13.76130,-20.78620,22.28350,-2.4784,-3.0756
2019-06-30,0.46200,0.46200,15.47500,5.19500,,-20.20800,0.75300,-19.45500,-19.45500,-19.45500,-19.45500,-19.55900,-20.20800,4.16730,4.16730,-4.70000,-4.70000,8.11170,0.00630,0.00830,100.00000,-4374.02600,-4374.02600,-4211.03900,-4211.03900,0.00300,,,-17.38370,-17.38370,-12.81390,-17.27450,26.37330,-3.2008,-3.4844
2019-03-31,0.45400,0.45400,12.56200,4.86500,,-16.97300,0.51200,-16.46100,-16.46100,-16.46100,-16.46100,-16.44100,-16.97300,3.37660,3.37660,-4.90000,-4.90000,5.19150,0.01180,0.01540,100.00000,-3738.54600,-3738.54600,-3625.77100,-3625.77100,0.00510,,,-25.71310,-25.71310,-18.61510,-25.40910,18.95880,-6.02000,-6.19500
2018-12-31,0.89300,0.89300,15.12800,4.37200,,-18.60700,0.57500,-18.03200,-18.03200,-18.03200,-18.03200,-18.17500,-18.60700,3.26560,3.26560,-5.30000,-5.30000,5.20940,0.00030,0.00040,100.00000,-2083.65000,-2083.65000,-2019.26100,-2019.26100,0.00840,,,-22.94560,-22.94560,-16.88930,-22.93910,23.27370,-4.4701,-4.5405
2018-09-30,0.41200,0.41200,12.85600,3.87600,,-16.32000,0.58300,-15.73700,-15.73700,-15.73700,-15.73700,-15.91200,-16.32000,3.36530,3.36530,-4.70000,-4.70000,5.42540,0.00030,0.00030,100.00000,-3961.16500,-3961.16500,-3819.66000,-3819.66000,0.00340,,,-16.59370,-16.59370,-13.04520,-16.58950,28.18000,-2.8657,-3.1652
2018-06-30,0.37500,0.37500,11.08200,3.84100,,-14.54800,0.50100,-14.04700,-14.04700,-14.04700,-14.04700,-14.17200,-14.54800,3.28930,3.28930,-4.30000,-4.30000,7.18090,0.00020,0.00030,100.00000,-3879.46700,-3879.46700,-3745.86700,-3745.86700,0.00290,,,-12.92130,-12.92130,-10.69200,-12.91810,32.33460,-4.2184,-4.2194
2018-03-31,0.37000,0.37000,11.11600,4.07500,,-14.82100,0.35800,-14.46300,-14.46300,-14.46300,-14.46300,-14.43300,-14.82100,3.03350,3.03350,-4.80000,-4.80000,5.78200,0.00000,0.00010,100.00000,-4005.67600,-4005.67600,-3908.91900,-3908.91900,0.00290,,,-13.84030,-13.84030,-11.29040,-13.83970,32.41690,-0.79120,-0.84130
2017-12-31,,,11.78000,3.74000,,-15.52000,0.21800,-15.30200,-15.30200,-15.30200,-15.30200,-15.13000,-15.52000,2.54070,2.54070,-5.90000,-5.90000,5.89370,0.00010,0.00080,,,,,,,,,-23.42480,-23.42480,-19.49600,-23.42260,24.72240,-4.5954,-4.6313
2017-09-30,,,10.44700,3.59300,,-14.04000,0.21500,-13.82500,-13.82500,-13.82500,-13.82500,-13.64900,-14.04000,2.62590,2.62590,-5.30000,-5.30000,9.00170,0.00010,0.00120,,,,,,,,,-17.59090,-17.59090,-15.59030,-17.58930,29.89200,-3.3825,-3.393
2017-06-30,,,10.04100,3.47200,,-13.51300,0.14500,-13.36800,-13.36800,-13.36800,-13.36800,-13.13200,-13.51300,2.55840,2.55840,-5.20000,-5.20000,13.28250,0.00010,0.00150,,,,,,,,,-14.67710,-14.67710,-13.49880,-14.67580,34.72130,-4.1468,-4.2542
2017-03-31,1.10100,1.10100,9.62800,3.08600,,-11.61300,0.09800,-11.51500,-11.51500,-11.51500,-11.51500,-11.24800,-11.61300,2.33930,2.33930,-4.90000,-4.90000,10.56150,0.00010,0.00260,100.00000,-1054.76900,-1054.76900,-1045.86800,-1045.86700,0.01410,1.99820,45.04090,-16.41810,-16.41810,-14.75850,-16.41600,29.93040,-5.48030,-5.64960
2016-12-31,,,8.44300,2.91900,,-11.36200,0.08000,-10.96500,-10.96500,-10.96500,-10.96500,-11.02400,-11.04500,1.26960,1.26960,71.70000,71.70000,8.93780,0.00070,0.00270,,,,,,,,,-13.60390,-13.60390,-12.00680,-13.59490,34.47330,-17.8729,-18.7896
2016-09-30,,,11.58400,2.63300,,-14.21700,0.04800,-14.16900,-14.16900,-14.16900,-14.29000,-13.90200,-14.21700,2.20130,2.20130,-6.50000,-6.50000,11.36570,0.00110,0.00290,,,,,,,,,-15.60790,-15.60790,-14.11110,-15.59140,38.84510,71.213,77.4571
2016-06-30,,,9.52500,2.54000,,-12.06500,0.04400,-12.02100,-12.02100,-12.02100,-13.84400,-11.74900,-12.06500,0.25530,0.25530,-54.20000,-54.20000,8.48150,0.00260,0.00560,,,,,,,,,17.57120,-22.51380,-19.72400,-22.45570,198.86030,-40.9157,-41.702
2016-03-31,,,8.26500,2.37100,,-10.63600,0.04800,-10.58800,-10.58800,-10.58800,-12.32500,-10.33200,-10.63600,0.23940,0.23940,-51.50000,-51.50000,,,,,,,,,,,,,,,,,-44.35260,-50.72260
2015-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,68.9721,73.0791
