Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,55.52300,55.52300,9.47600,-9.66900,17.08000,4.25900,21.33900,21.33900,21.33900,21.33900,31.52500,36.37800,65.72500,65.72500,0.26000,0.26000,0.18380,0.38510,0.83570,100.00000,30.76200,65.51880,38.43270,38.43270,0.02630,4.56340,19.72210,2.43240,2.43240,1.01190,1.49580,11.30830,-4.7509,-4.7509
2024-06-30,48.50500,48.50500,10.71500,-0.09400,21.40300,-4.48300,16.92000,16.92000,16.92000,16.92000,40.67000,37.69600,68.48200,68.48200,0.25000,0.25000,0.22010,0.37680,0.82960,100.00000,44.12540,77.71570,34.88300,34.88300,0.02760,3.87730,23.21200,2.07170,2.07170,0.96310,1.29100,11.34370,-1.6442,-1.6442
2024-03-31,44.35400,44.35400,10.03100,,19.63500,11.47600,31.11100,31.11100,31.11100,31.11100,25.90200,34.32300,61.15200,61.15200,0.51000,0.51000,0.35830,0.41400,0.96100,100.00000,44.26880,77.38420,70.14250,70.14250,0.02740,3.73100,24.12230,4.31670,4.31670,1.92540,2.52960,11.39860,-2.7005,-2.7005
2023-12-31,37.97300,37.97300,9.42800,,19.60300,2.86600,22.46900,22.46900,22.46900,22.46900,21.76200,28.54500,58.73500,58.73500,0.38000,0.38000,0.18650,0.25640,0.62330,100.00000,51.62350,75.17180,59.17100,59.17100,0.02790,3.26340,27.57850,3.41470,3.41470,1.65330,2.53910,11.20310,-3.09730,-3.09730
2023-09-30,35.73200,35.73200,8.49800,,17.67900,10.36600,28.04500,28.04500,28.04500,28.04500,13.12100,26.25000,50.83300,50.83300,0.55000,0.55000,0.37870,0.25760,0.74360,100.00000,49.47670,73.46360,78.48710,78.48710,0.03030,3.42820,26.25290,4.29080,4.29080,2.37750,3.18560,11.12800,1.5378,1.5378
2023-06-30,37.71300,37.71300,9.07600,,18.65200,-13.05900,5.59300,5.59300,5.59300,5.59300,34.70400,28.63700,50.79900,50.79900,0.11000,0.11000,0.20370,0.27140,0.80330,100.00000,49.45780,75.93400,14.83040,14.83040,0.03190,3.76940,23.87640,0.91930,0.91930,0.47270,0.66980,10.95540,0.9119,0.9119
2023-03-31,34.55400,34.55400,7.90800,,16.89400,-9.65100,7.24300,7.24300,7.24300,7.24300,30.66700,26.64600,48.52900,48.52900,0.15000,0.15000,0.13680,0.28990,0.87640,100.00000,48.89160,77.11410,20.96140,20.96140,0.02820,3.91550,22.98580,1.30580,1.30580,0.59150,0.92730,11.15320,0.1771,0.1771
2022-12-31,31.33800,31.33800,7.21400,,14.26600,-15.88600,-1.62000,-1.62000,-1.62000,-1.62000,38.22200,24.12400,45.36900,45.36900,-0.04000,-0.04000,0.13120,0.30590,0.93980,100.00000,45.52300,76.98000,-5.16940,-5.16940,0.02550,3.58720,25.08900,-0.31550,-0.31550,-0.13210,-0.21900,11.30330,0.13840,0.13840
2022-09-30,28.78500,28.78500,6.98800,,12.35500,-25.49800,-13.14300,-13.14300,-13.14300,-13.14300,47.55800,21.39700,41.06100,41.06100,-0.35000,-0.35000,0.12830,0.30020,0.95850,100.00000,42.92170,74.33390,-45.65920,-45.65920,0.02350,3.81610,23.58420,-2.49350,-2.49350,-1.07070,-1.74490,11.62380,1.565,1.565
2022-06-30,25.72900,25.72900,6.43700,,11.92300,-17.00800,-5.08500,-5.08500,-5.08500,-5.08500,36.67100,19.29200,41.33400,41.33400,-0.12000,-0.12000,0.10470,0.30920,0.99580,100.00000,46.34070,74.98150,-19.76370,-19.76370,0.01990,4.14380,21.71910,-1.00710,-1.00710,-0.39380,-0.69570,12.21190,-0.1185,-0.1185
2022-03-31,24.63600,24.63600,6.44800,,11.48300,-4.23500,7.24800,7.24800,7.24800,7.24800,2.43800,18.18800,39.53300,39.53300,0.18000,0.18000,0.10570,0.30280,0.95380,100.00000,46.61070,73.82690,29.42040,29.42040,0.01910,4.63430,19.42040,1.39390,1.39390,0.56280,0.97180,12.61800,-0.4663,-0.4663
2021-12-31,26.33500,26.33500,6.87500,,12.82100,1.61200,14.43300,14.43300,14.43300,14.43300,17.66800,19.46000,38.96100,38.96100,0.37000,0.37000,0.12410,0.31210,0.99210,100.00000,48.68430,73.89410,54.80540,54.80540,0.02080,4.59030,19.60640,2.90170,2.90170,1.14060,1.99610,12.70480,-2.11460,-2.11460
2021-09-30,21.61950,21.61950,3.68200,,9.01490,-5.01050,4.00440,4.00440,4.00440,4.00540,21.41260,14.63960,38.76700,38.76700,0.11000,0.11000,0.12150,0.31490,0.88420,100.00000,41.69800,67.71460,18.52220,18.52680,0.01850,3.96980,22.67120,0.81620,0.81620,0.34200,0.55920,12.61830,-1.9248,-1.9248
2021-06-30,20.90600,20.90600,4.62400,,10.37900,4.32800,14.70700,14.70700,14.70700,14.70700,-1.37700,16.28200,38.77200,38.77200,0.38000,0.38000,0.14450,0.31210,0.87180,100.00000,49.64600,77.88190,70.34820,70.34820,0.01900,3.30800,27.20710,2.96140,2.96140,1.33360,2.03710,12.80900,0.1723,0.1723
2021-03-31,19.43500,19.43500,4.63600,,10.01800,1.65600,11.67400,11.67400,11.67400,11.67300,12.89290,14.79900,38.77200,38.77200,0.30000,0.30000,0.16510,0.31360,0.88490,100.00000,51.54620,76.14610,60.06690,60.06180,0.01710,6.89570,13.05170,2.36810,2.36810,1.02540,1.62560,12.71470,1.6066,1.6066
2020-12-31,20.73350,20.73350,5.17800,,10.21410,15.91650,26.13060,26.13060,26.13060,26.13060,-3.62050,15.55550,38.77200,38.77200,0.67000,0.67000,0.08260,0.31370,0.67350,100.00000,49.26380,75.02570,126.03080,126.03080,0.01890,7.35110,12.24310,5.30730,5.30730,2.37800,3.64250,12.69860,1.43040,1.43040
2020-09-30,21.75540,21.75540,5.81430,,10.02000,6.96600,16.98600,16.98600,16.98600,16.98600,3.74380,15.54110,38.77200,38.77200,0.43000,0.43000,0.13750,0.32030,0.74210,100.00000,46.05750,71.43580,78.07730,78.07730,0.01890,5.92220,15.19700,3.55900,3.55900,1.47920,2.41920,12.30970,1.4973,1.4973
2020-06-30,22.76550,22.76550,5.81460,,10.29780,2.25730,12.55520,12.55520,12.55520,12.55520,7.16620,16.95090,38.77200,38.77200,0.32000,0.32000,0.12380,0.32280,0.73530,100.00000,45.23440,74.45860,55.14980,55.14980,0.01940,6.27670,14.33880,2.66370,2.66370,1.07160,1.80380,12.15660,2.4749,2.4749
2020-03-31,26.32640,26.32640,6.85200,,11.84790,-32.94890,-21.10110,-21.10110,-21.10110,-21.10110,50.48040,19.47440,38.77200,38.77200,-0.54000,-0.54000,0.06550,0.32340,0.71580,100.00000,45.00360,73.97280,-80.15150,-80.15160,0.02150,6.34860,14.17640,-4.49120,-4.49120,-1.72590,-3.03880,12.11780,-2.3951,-2.3951
2019-12-31,24.63870,24.63870,6.11210,,11.21930,-1.24640,9.97290,9.97290,9.97290,9.97290,20.27050,18.52660,38.77200,38.77200,0.26000,0.26000,0.10540,0.30890,0.71360,100.00000,45.53550,75.19320,40.47660,40.47660,0.01900,7.83500,11.48690,1.98670,1.98670,0.77050,1.37300,12.94700,-1.70450,-1.70450
2019-09-30,23.88160,23.88160,6.22630,,11.40000,-4.02620,7.37380,7.37380,7.37380,7.37380,6.18760,17.65530,38.77200,38.77200,0.18000,0.18000,0.15920,0.30840,0.71480,100.00000,47.73570,73.92850,30.87660,30.87660,0.02070,6.13560,14.66850,1.46580,1.46580,0.63990,1.01380,12.97480,-0.6543,-0.6543
2019-06-30,22.87600,22.87600,5.88040,,11.33240,-6.81360,4.51880,4.51880,4.51880,4.51880,5.17450,16.99560,38.77200,38.77200,0.12000,0.12000,0.04820,,0.27140,100.00000,49.53840,74.29440,19.75350,19.75350,0.02070,6.79590,13.24340,0.89180,0.89180,0.40930,0.89180,13.06960,-1.5598,-1.5598
2019-03-31,23.00530,23.00530,5.89880,-0.00500,11.78530,-17.25700,-5.47170,-5.47170,-5.47170,-5.47170,35.09360,17.10150,38.77200,38.77200,-0.14000,-0.14000,0.07350,,0.26760,100.00000,51.22860,74.33710,-23.78460,-23.78460,0.02270,8.16310,11.02520,-1.06610,-1.06610,-0.54060,-1.06610,13.23800,0.2067,0.2067
2018-12-31,23.18420,23.18420,2.42240,-4.51230,10.94400,-5.94880,4.99520,4.99520,4.99520,4.99520,22.70540,16.24950,38.77200,38.77200,0.13000,0.13000,0.07980,,0.25180,100.00000,47.20470,70.08870,21.54570,21.54570,0.02280,7.28580,12.35280,0.94290,0.94290,0.49040,0.94290,13.66420,-1.12420,-1.12420
2018-09-30,21.33830,21.33830,5.06730,-0.20000,11.66890,-0.65560,11.01330,11.01330,11.01330,11.01330,17.27180,16.07110,38.29900,38.29900,0.29000,0.29000,0.14030,,0.25290,100.00000,54.68510,75.31550,51.61270,51.61270,0.01980,7.58340,11.86800,2.05530,2.05530,1.02310,2.05530,13.82030,-0.7174,-0.7174
2018-06-30,19.52910,19.52910,3.63190,-0.20000,11.83520,-6.86680,4.96840,4.96840,4.96840,4.96840,20.40770,15.69720,38.77200,38.77200,0.13000,0.13000,0.08550,,0.25180,100.00000,60.60290,80.37870,25.44100,25.44100,0.02070,6.86110,13.11740,0.92710,0.92710,0.52750,0.92710,13.82130,-1.8393,-1.8393
2018-03-31,16.50080,16.50080,3.42360,-0.20000,9.39990,6.18990,15.58980,15.58980,15.58980,15.58980,7.73890,12.87730,38.77000,38.77000,0.40000,0.40000,0.15040,,0.24330,100.00000,56.96620,78.04020,94.47870,94.47870,0.01860,6.05090,14.87370,2.87660,2.87660,1.75820,2.87660,13.97810,-1.6724,-1.6724
2017-12-31,14.83640,14.83640,3.08880,-11.06910,-1.93990,3.85870,1.91880,1.91880,1.91880,1.91880,-6.34900,0.67840,36.89500,36.89600,0.05000,0.05000,0.38100,,0.25320,100.00000,-13.07510,4.57280,12.93300,12.93300,0.01680,5.63480,15.97220,0.35700,0.35700,0.21760,0.35700,13.86100,-1.20910,-1.20910
2017-09-30,18.45380,18.45380,5.80780,-0.09500,10.40970,0.44170,10.85140,10.85140,10.85140,10.85140,12.19380,12.55100,30.27500,30.27500,0.33000,0.33000,0.07830,,,100.00000,56.40950,68.01300,58.80290,58.80280,0.02470,7.32150,12.29260,2.36980,2.36980,1.45200,2.36980,14.09810,0.3561,0.3561
2017-06-30,15.19080,15.19080,4.40430,-0.20270,8.18520,1.15660,9.34180,9.34180,9.34180,9.34180,11.41670,10.58380,32.48000,32.48000,0.29000,0.29000,0.16630,,,100.00000,53.88270,69.67200,61.49660,61.49660,0.01950,4.79230,18.78000,2.04730,2.04730,1.20190,2.04730,14.04900,1.0773,1.0773
2017-03-31,13.22090,13.22090,3.10380,-0.09000,8.02870,-0.74560,7.28310,7.28310,7.28310,7.28310,12.24470,10.02710,29.41300,29.41300,0.25000,0.25000,0.14840,,,100.00000,60.72750,75.84250,55.08810,55.08810,0.01690,4.10980,21.89890,1.59640,1.59640,0.93240,1.59640,14.04640,-1.592,-1.592
2016-12-31,12.63130,12.63130,3.98380,-0.02500,6.82170,2.02720,8.84890,8.84890,8.84890,8.84890,6.71890,8.62240,26.73000,26.73000,0.33000,0.33000,0.08880,,,100.00000,54.00640,68.26250,70.05560,70.05560,0.01810,4.08950,22.00770,2.34630,2.34630,1.27030,2.34630,14.10920,-2.37530,-2.37530
