Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,2.94000,1.65800,1.28200,0.00000,2.07000,2.07000,-0.78800,0.03400,-0.75400,-0.75400,-0.75400,-0.69300,-0.60400,-0.78800,6.56900,6.56900,-0.11000,-0.11000,1.51250,0.15990,0.21860,43.60540,-26.80270,-26.80270,-25.64630,-23.57140,0.27810,0.93250,3.28860,27.36740,-15.12230,-24.94210,-7.13200,-12.70430,0.73420,-0.1714,-0.1706
2024-06-30,1.44000,1.03000,0.41000,0.07600,1.38800,1.46400,-1.05400,0.07900,-0.97900,-0.97900,-0.97900,-0.88500,-0.97200,-1.05400,6.25500,6.25500,-0.14000,-0.14000,1.36270,0.17860,0.24870,28.47220,-73.19440,-73.19440,-67.98610,-61.45830,0.14730,0.71230,2.38020,37.81250,-21.62580,-38.48270,-10.01430,-17.76450,0.71580,-0.104,-0.1362
2024-03-31,1.26600,0.98900,0.27700,0.00200,1.14600,1.14800,-0.87100,-0.03400,-0.90500,-0.90500,-0.90500,-0.85300,-0.80900,-0.87100,5.98200,5.98200,-0.14000,-0.14000,1.95850,0.16320,0.22230,21.87990,-68.79940,-68.79940,-71.48500,-67.37760,0.12190,0.72240,1.71310,52.53560,-17.38710,-23.97350,-8.71450,-14.54980,0.83570,-0.18250,-0.20800
2023-12-31,1.08100,0.92400,0.15700,0.01300,1.36400,1.37700,-1.22000,0.03500,-1.18700,-1.18700,-1.18700,-1.09800,-1.09700,-1.22000,5.67200,5.67200,-0.19000,-0.19000,1.98200,0.09030,0.11480,14.52360,-112.85840,-112.85840,-109.80570,-101.57260,0.10860,0.70050,1.70770,52.70120,-22.97720,-31.97740,-11.92370,-20.90160,0.89970,-0.1069,-0.1227
2023-09-30,1.22100,0.87700,0.34400,0.00600,0.95000,0.95600,-0.61200,0.06000,-0.55200,-0.55200,-0.55200,-0.55000,-0.57700,-0.61200,5.71400,5.71400,-0.10000,-0.10000,3.57940,0.04200,0.04460,28.17360,-50.12290,-50.12290,-45.20880,-45.04510,0.12280,0.80460,1.05440,85.35630,-8.82350,-9.30390,-5.54940,-8.45330,1.09410,-0.1234,-0.1857
2023-06-30,1.16700,0.99200,0.17500,0.05500,0.88200,0.93700,-0.76200,0.12000,-0.64200,-0.64200,-0.64200,-0.69500,-0.72500,-0.76200,5.66200,5.66200,-0.12000,-0.12000,4.00600,0.03780,0.04150,14.99570,-65.29560,-65.29560,-55.01290,-59.55440,0.11120,0.91940,1.22840,73.26480,-9.52380,-10.00470,-6.11600,-9.16360,1.18350,-0.2133,-0.2421
2023-03-31,0.62000,0.67700,-0.05700,0.02900,0.79700,0.82600,-0.88300,0.07600,-0.80700,-0.80700,-0.80700,-0.81400,-0.85200,-0.88300,5.58600,5.58600,-0.15000,-0.15000,4.78320,0.03490,0.03820,-9.19350,-142.41940,-142.41940,-130.16130,-131.29030,0.05630,0.69940,1.63160,55.16130,-10.97360,-11.48430,-7.33240,-10.59060,1.30990,-0.12690,-0.14270
2022-12-31,0.52300,0.49400,0.02900,0.03900,0.77100,0.81000,-0.78100,0.13100,-0.64800,-0.64800,-0.64800,-0.64800,-0.75400,-0.78100,5.57500,5.57500,-0.11000,-0.11000,8.73690,0.03390,0.03710,5.54490,-149.33080,-149.33080,-123.90050,-123.90050,0.05050,0.98410,2.35590,38.20270,-8.48500,-8.86940,-6.25660,-8.19730,1.36910,-0.1162,-0.1176
2022-09-30,0.56800,0.42000,0.14800,0.19300,0.99200,1.18500,-1.03700,-0.19000,-1.22700,-1.22700,-1.22700,-1.22700,-0.77100,-1.03700,5.57200,5.57200,-0.22000,-0.22000,7.45740,0.03170,0.03440,26.05630,-182.57040,-182.57040,-216.02110,-216.02110,0.05060,1.05260,2.14340,41.98940,-14.93060,-15.56320,-10.92220,-14.45740,1.47490,-0.1522,-0.1624
2022-06-30,0.56100,0.46000,0.10100,0.11100,0.70800,0.81900,-0.71800,-0.31500,-1.03500,-1.03500,-1.03500,-1.03500,-0.34400,-0.71800,5.57200,5.57200,-0.19000,-0.19000,4.32960,0.02740,0.16270,18.00360,-127.98570,-127.98570,-184.49200,-184.49200,0.04070,1.20730,1.87000,48.12840,-11.07190,-11.48600,-7.51580,-10.76890,1.67770,-0.1253,-0.1309
2022-03-31,0.39600,0.41800,-0.02200,0.02400,0.76600,0.79000,-0.81200,-1.02400,-1.83600,-1.83600,-1.83600,-1.83600,-0.04300,-0.81200,5.57220,5.57220,-0.33000,-0.33000,6.15240,0.02510,0.11380,-5.55560,-205.05050,-205.05050,-463.63640,-463.63640,0.02810,1.49290,3.00000,30.00000,-17.81830,-18.42820,-13.03980,-17.37160,1.84920,-0.14300,-0.14300
2021-12-31,0.53200,0.42900,0.10300,0.01400,0.97600,0.99000,-0.88700,-0.75100,-1.63800,-1.63800,-1.63800,-1.63800,-0.10500,-0.88700,2.98000,2.98000,-0.54000,-0.54000,4.82240,0.02150,0.19140,19.36090,-166.72930,-166.72930,-307.89480,-307.89480,0.03130,1.47420,2.54550,35.35720,-13.55400,-13.95110,-9.64490,-13.26210,2.16890,-0.4015,-0.3609
2021-09-30,0.33500,0.39200,-0.05700,0.00000,0.55300,0.55300,-0.61000,-0.53200,-1.14200,-1.14200,-1.14200,-1.14200,0.07000,-0.61000,2.97900,2.97900,-0.38000,-0.38000,0.75130,0.35550,3.22930,-17.01490,-182.08950,-182.08950,-340.89550,-340.89550,0.06780,1.50190,1.73580,51.85080,-235.95030,-839.70450,-23.11270,-152.06390,0.00460,-0.1709,-0.211
2021-06-30,0.41700,0.41300,0.00400,0.01000,0.54700,0.55700,-0.55300,-0.27300,-0.82600,-0.82600,-0.82600,-0.82600,-0.10400,-0.55300,2.94000,2.94000,-0.28000,-0.28000,0.51360,0.48470,3.37920,0.95920,-132.61390,-132.61390,-198.08150,-198.08150,0.10150,1.82740,1.90410,47.26620,-307.06310,1007.31800,-20.09730,-158.23750,0.00260,-0.2313,-0.2292
2021-03-31,0.26700,0.30900,-0.04200,0.00700,0.47100,0.47800,-0.52000,-0.18400,-0.70400,-0.70400,-0.70400,-0.70400,-0.38500,-0.52000,2.87300,2.87300,-0.25000,-0.25000,0.90510,0.20380,0.63300,-15.73030,-194.75660,-194.75660,-263.67040,-263.67040,0.07790,1.22620,2.78130,32.35960,-70.40000,-109.14730,-20.54870,-56.05100,0.00970,-0.12010,-0.21300
