Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,8.88230,8.88230,2.47520,,6.40710,-4.80310,1.60400,0.38630,1.21780,1.21780,0.16590,1.38370,6.66440,6.40710,20.68400,20.78600,0.06000,0.06000,0.22550,0.72050,72.13340,72.13340,18.05890,15.57850,0.02420,0.59100,0.59100,0.33220,0.45770,9.41690,0.1135,0.1135
2024-06-30,18.38430,18.38430,6.42240,,11.96190,4.77020,16.73210,0.28600,16.44610,16.44610,,16.31040,12.21510,11.96190,20.40000,20.43800,0.80000,0.80000,0.10020,0.39240,65.06580,65.06580,91.01320,88.71920,0.04010,5.23290,5.23290,3.59090,4.70850,15.20700,0.5044,0.5044
2024-03-31,14.75790,14.75790,6.01490,,8.74290,-8.63870,0.10420,0.15840,-0.05410,-0.05410,,-0.11120,8.99620,8.74290,20.39400,20.40500,-0.01000,-0.01000,0.16190,0.47700,59.24250,59.24250,0.70640,-0.75380,0.03100,-0.01740,-0.01740,-0.01140,-0.01460,15.02980,0.31230,0.31230
2023-12-31,15.98040,15.98040,5.06340,,10.91700,-19.44430,-8.52730,0.65340,-9.18070,-9.18070,,-9.04170,11.17230,10.91700,20.32100,20.34600,-0.45000,-0.45000,0.11600,0.40620,68.31480,68.31480,-53.36130,-56.58000,0.03420,-2.86850,-2.86850,-1.96760,-2.53570,15.64440,0.3065,0.3065
2023-09-30,15.26550,15.26550,5.15120,,10.11430,-1.47900,8.63530,0.66320,7.97210,7.97210,0.00780,7.97990,10.36970,10.11430,20.32400,20.34300,0.39000,0.39000,,0.25940,66.25620,66.25620,56.56760,52.27390,0.03430,2.35320,2.35320,1.79110,2.35320,16.55940,0.268,0.268
2023-06-30,16.09940,16.09940,4.93970,,11.15970,1.14330,12.30300,0.16760,12.13530,12.13530,,12.02400,11.40300,11.15970,20.31700,20.32300,0.59000,0.59000,,0.25770,69.31740,69.31740,76.41880,74.68610,0.03550,3.56590,3.56590,2.67310,3.56590,16.63500,0.255,0.255
2023-03-31,16.83230,16.83230,6.41180,,10.42050,-0.22010,10.20040,0.17510,10.02530,10.02530,,9.98980,10.61740,10.42050,20.30400,20.48900,0.49000,0.49000,,0.25920,61.90760,61.90760,60.59990,59.34890,0.03760,2.96710,2.96710,2.23860,2.96710,16.49080,0.21390,0.21390
2022-12-31,19.70320,19.70320,5.92000,,13.78320,-10.16850,3.61460,0.67660,2.93810,2.93810,,3.04540,13.99020,13.78320,19.84200,19.95800,0.13000,0.13000,0.15040,0.46340,69.95400,69.95400,18.34550,15.45640,0.03800,0.86650,0.86650,0.56590,0.73630,16.64990,0.2042,0.2042
2022-09-30,18.14150,18.14150,5.31460,,12.82690,-1.17920,11.64770,0.16720,11.48050,11.48050,,11.44440,13.03350,12.82690,20.02000,20.11200,0.57000,0.57000,,0.27910,70.70490,70.70490,64.20470,63.08390,0.03850,3.30450,3.30450,2.43580,3.30450,17.06030,0.5967,0.5967
2022-06-30,19.90420,19.90420,5.78970,,14.11450,-2.59850,11.51600,0.16430,11.35170,11.35170,,11.30870,14.40940,14.11450,19.71600,19.81200,0.57000,0.57000,,0.28630,70.91210,70.91210,57.85710,56.81540,0.04330,3.35650,3.35650,2.47160,3.35650,17.03090,0.5304,0.5304
2022-03-31,16.93570,16.93570,6.38100,,10.55470,-0.37430,10.18040,0.01830,10.16210,10.16210,,10.13400,10.76770,10.55470,19.32000,19.59100,0.53000,0.52000,,0.28720,62.32200,62.32200,60.11200,59.83780,0.03730,3.01990,3.01990,2.23800,3.01990,17.04450,0.23810,0.23810
2021-12-31,12.96360,12.96360,4.48380,,8.47980,-1.40340,7.07640,,7.04130,7.04130,,7.00210,8.47980,8.47980,13.37400,13.80900,0.55000,0.52000,0.21510,0.62770,65.41270,65.41270,54.58710,54.01340,0.02790,2.57850,2.57850,1.51470,2.02380,16.60740,0.2374,0.2374
2021-09-30,10.61650,10.61650,3.84920,,6.76740,1.16330,7.93070,0.00000,7.93070,7.93070,,7.93070,6.76740,6.76740,16.40300,16.77700,0.48000,0.47000,,,63.74360,63.74360,74.70120,74.70120,0.03490,2.89010,2.89010,2.60980,2.89010,16.68840,-0.0909,-0.0909
2021-06-30,8.74850,8.74850,2.99180,,5.75670,-1.12890,4.62780,0.00000,4.62780,4.62780,,4.62780,5.75670,5.75670,13.45800,13.77500,0.34000,0.34000,,,65.80240,65.80240,52.89800,52.89800,0.03140,1.72380,1.72380,1.66160,1.72380,16.65670,0.2275,0.2275
2021-03-31,4.68500,4.68500,3.07370,,1.61130,-0.21050,1.40080,,1.40080,1.40080,,1.40080,1.61130,1.61130,7.14500,7.48500,0.20000,0.19000,,,34.39180,34.39180,29.89870,29.89870,0.02120,0.64750,0.64750,0.63240,0.64750,16.18400,0.31670,0.31670
2020-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,0.0105,0.0105
2020-09-30,1.59480,1.59480,0.43610,-0.61620,0.54250,1.56380,2.10630,,2.10630,2.10630,,2.10630,0.54250,0.54250,5.37600,5.37600,0.39000,0.39000,,,34.01430,34.01430,132.07240,132.07240,,,,,,,-0.0105,-0.0105
