Date,revenue,gross-profit,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,24.56300,24.56300,1.01900,23.54400,-11.33400,12.21000,0.37300,11.83700,,7.27800,7.27800,24.00200,23.54400,36.57100,36.57100,0.20000,0.20000,0.15110,1.26690,100.00000,95.85150,95.85150,49.70890,29.62990,0.03100,1.55570,57.85160,2.12480,2.12480,0.91770,2.12480,9.06100,-0.8238,-0.8238
2024-06-30,25.67800,25.67800,1.01400,24.66400,-11.39300,13.27100,0.35700,12.91400,,-9.13300,-9.13300,25.08500,24.66400,35.43480,35.43480,-0.26000,-0.26000,0.21380,1.34660,100.00000,96.05110,96.05110,51.68240,-35.56740,0.03260,1.53460,58.64830,-2.77790,-2.77790,-1.15990,-2.77790,9.12160,1.5258,1.5258
2024-03-31,26.12900,26.12900,1.09400,25.03500,-12.05100,12.98400,0.37900,12.60500,,8.65300,8.65300,25.42800,25.03500,33.57970,33.57970,0.26000,0.26000,0.13510,1.36240,100.00000,95.81310,95.81310,49.69190,33.11650,0.03260,1.57600,57.10550,2.60540,2.60540,1.07850,2.60540,9.63510,0.12030,0.12030
2023-12-31,28.18300,28.18300,1.07500,27.10800,-11.15000,15.95800,0.94800,15.01000,,-10.66300,-10.66300,27.52700,27.10800,30.95790,30.95790,-0.39000,-0.39000,0.12660,1.42670,100.00000,96.18570,96.18570,56.62280,-37.83490,0.03510,2.02380,44.47150,-3.29120,-3.29120,-1.32900,-3.29120,9.70960,0.338,0.338
2023-09-30,29.13800,29.13800,0.84400,28.29400,-10.76100,17.53300,0.17900,17.35400,,-11.98000,-11.98000,28.77700,28.29400,32.45190,32.45190,-0.37000,-0.37000,0.10860,1.25660,100.00000,97.10340,97.10340,60.17230,-41.11470,0.03650,2.06140,43.65950,-3.45670,-3.45670,-1.50270,-3.45670,10.40550,-0.7514,-0.7514
2023-06-30,28.11700,28.11700,0.99300,27.12400,-10.87200,16.25200,0.17900,16.07300,,0.15200,0.15200,27.59600,27.12400,29.74730,29.74730,0.01000,0.01000,0.09090,1.17610,100.00000,96.46830,96.46830,57.80130,0.54060,0.03570,1.88790,47.67120,0.04280,0.04280,0.01930,0.04280,11.07360,-0.2074,-0.2074
2023-03-31,28.03700,28.03700,1.10300,26.93400,-13.73900,13.19500,0.18400,13.01100,,5.30600,5.30600,27.41200,26.93400,28.22710,28.22710,0.19000,0.19000,0.07380,1.36670,100.00000,96.06590,96.06590,47.06280,18.92500,0.03600,2.02540,44.43660,1.64950,1.64950,0.68180,1.64950,11.33610,0.45100,0.45100
2022-12-31,23.14500,23.14500,0.86000,22.28500,-11.13600,11.14900,0.40900,10.74000,,4.01900,4.01900,22.74700,22.28500,24.72610,24.72610,0.16000,0.16000,0.07620,1.36310,100.00000,96.28430,96.28430,48.17020,17.36440,0.03020,1.70520,52.77900,1.26210,1.26210,0.52410,1.26210,11.47440,-3.7105,-3.7105
2022-09-30,23.25400,23.25400,0.69500,22.55900,-11.32300,11.23600,0.10000,11.13600,,5.99300,5.99300,22.99600,22.55900,25.73810,25.73810,0.23000,0.23000,0.09320,1.16680,100.00000,97.01130,97.01130,48.31860,25.77190,0.03410,2.11880,42.47660,1.94780,1.94780,0.87950,1.94780,11.65750,-1.693,-1.693
2022-06-30,18.58800,18.58800,0.63300,17.95500,-9.26700,8.68800,0.10600,8.58200,,7.61700,7.61700,18.32400,17.95500,24.30180,24.30180,0.31000,0.31000,0.16810,1.25540,100.00000,96.59460,96.59460,46.73980,40.97810,0.02780,2.04620,43.98320,2.62110,2.62110,1.14040,2.62110,11.69110,-2.0293,-2.0293
2022-03-31,14.20400,14.20400,0.92100,13.28300,-7.45400,5.82900,0.10000,5.72900,,3.52200,3.52200,13.61900,13.28300,21.90420,21.90420,0.16000,0.16000,0.07940,0.89470,100.00000,93.51590,93.51590,41.03770,24.79580,0.02620,1.71030,52.62250,1.25790,1.25790,0.65040,1.25790,11.67740,-2.52740,-2.52740
2021-12-31,16.94400,16.94400,0.91500,16.02900,-7.74300,8.28600,0.22700,8.05900,,2.26600,2.26600,16.37600,16.02900,20.02740,20.02740,0.11000,0.11000,0.16460,1.05000,100.00000,94.59990,94.59990,48.90230,13.37350,0.03300,2.75330,32.68770,0.92360,0.92360,0.44090,0.92360,11.56310,-0.1596,-0.1596
2021-09-30,16.36700,16.36700,0.89200,15.47500,-7.37200,8.10300,0.05600,8.04700,,12.76700,12.76700,15.72500,15.47500,20.26980,20.26980,0.63000,0.63000,0.10150,1.08530,100.00000,94.55000,94.55000,49.50820,78.00450,0.03240,2.55850,35.17630,5.37350,5.37350,2.52430,5.37350,11.63230,-1.6881,-1.6881
2021-06-30,13.48900,13.48900,0.72200,12.76700,-6.60000,6.16700,0.05600,6.11100,,6.73000,6.73000,13.02500,12.76700,19.83410,19.83410,0.34000,0.34000,0.14290,0.98190,100.00000,94.64750,94.64750,45.71870,49.89250,0.02970,2.21170,40.69320,3.00090,3.00090,1.48200,3.00090,11.19980,-0.866,-0.866
2021-03-31,13.21500,13.21500,0.87400,12.34100,-6.27600,6.06500,0.06200,6.00300,,6.01900,6.01900,12.57700,12.34100,19.36660,19.36660,0.31000,0.31000,0.30250,1.11210,100.00000,93.38630,93.38630,45.89480,45.54670,0.02810,2.27020,39.64360,2.76520,2.76520,1.28170,2.76520,11.07290,-1.08070,-1.08070
2020-12-31,10.06600,10.06600,0.75800,9.30800,-5.18500,4.12300,,3.90100,,2.39700,2.39700,9.54400,9.30800,17.53500,17.53500,0.12000,0.12000,0.12570,0.87400,100.00000,92.46970,92.46970,40.95970,23.81280,0.02470,2.03520,44.22210,1.12750,1.12750,0.58870,1.12750,11.02340,-2.1336,-2.1336
2020-09-30,12.33100,12.33100,0.54900,11.78200,-5.92200,5.86000,,5.86000,,-3.25000,-3.25000,12.00900,11.78200,17.24570,17.24570,-0.19000,-0.19000,0.23410,0.79780,100.00000,95.54780,95.54780,47.52250,-26.35630,0.03270,1.97960,45.46350,-1.58400,-1.58400,-0.86080,-1.58400,11.17120,2.4448,2.4448
2020-06-30,13.52400,13.52400,0.65900,12.86500,-6.15900,6.70600,,6.70600,,7.92500,7.92500,13.21600,12.86500,16.94320,16.94320,0.47000,0.47000,0.14610,0.96190,100.00000,95.12720,95.12720,49.58590,58.59950,0.03350,2.02520,44.44100,3.93820,3.93820,1.96520,3.93820,11.63730,-0.7532,-0.7532
2020-03-31,10.11400,10.11400,0.76400,9.35000,-5.06800,4.28200,,4.28200,,-0.70800,-0.70800,9.55400,9.35000,16.71650,16.71650,-0.04000,-0.04000,0.23530,0.93140,100.00000,92.44610,92.44610,42.33740,-7.00020,0.02650,1.57050,57.30670,-0.36600,-0.36600,-0.18520,-0.36600,11.47910,-0.99980,-0.99980
2019-12-31,12.97400,12.97400,0.77200,12.20200,-5.51100,6.69100,,6.45200,,6.72900,6.72900,12.40600,12.20200,13.47800,13.47800,0.47000,0.47000,0.07500,0.82610,100.00000,94.04960,94.04960,51.57240,51.86530,0.03770,2.34610,38.36130,3.65600,3.65600,1.95610,3.65600,11.82650,-2.3009,-2.3009
2019-09-30,11.37500,11.37500,0.50700,10.86800,-5.09500,5.77300,,5.77300,,5.20600,5.20600,11.04600,10.86800,13.81610,13.81610,0.38000,0.38000,0.13980,0.89160,100.00000,95.54290,95.54290,50.75160,45.76700,0.03500,2.29060,39.29140,3.09620,3.09620,1.60210,3.09620,11.66690,-0.0766,-0.0766
2019-06-30,10.47000,10.47000,0.51700,9.95300,-4.94100,5.01200,,5.01200,,4.53800,4.53800,10.12500,9.95300,13.54070,13.54070,0.34000,0.34000,0.09540,0.79860,100.00000,95.06210,95.06210,47.87010,43.34290,0.03620,2.07040,43.46990,2.88790,2.88790,1.56860,2.88790,11.60280,-0.1366,-0.1366
2019-03-31,8.30600,8.30600,0.70900,7.59700,-4.36400,3.23300,,3.23300,,3.02500,3.02500,7.76900,7.59700,11.67020,11.67020,0.26000,0.26000,0.19520,0.84340,100.00000,91.46400,91.46400,38.92370,36.41950,0.02820,1.71330,52.53070,1.93380,1.93380,1.02620,1.93380,11.55440,-1.30000,-1.30000
2018-12-31,8.80500,8.80500,0.70000,8.10500,-4.10700,3.99800,,3.96400,,3.21800,3.21800,8.23900,8.10500,11.52800,11.52800,0.28000,0.28000,0.12500,0.94490,100.00000,92.05000,92.05000,45.40600,36.54740,0.03300,2.22010,40.53830,2.39690,2.39690,1.20640,2.39690,11.63910,-0.3756,-0.3756
2018-09-30,7.79700,7.79700,0.50400,7.29300,-3.89100,3.40200,,3.40200,,4.25900,4.25900,7.42800,7.29300,11.52960,11.52960,0.37000,0.37000,0.09070,0.83510,100.00000,93.53600,93.53600,43.63220,54.62360,0.03090,1.63630,55.00190,3.16760,3.16760,1.68900,3.16760,11.66040,-0.8116,-0.8116
2018-06-30,7.31300,7.31300,0.49000,6.82300,-3.53300,3.29000,,3.29000,,2.93000,2.93000,6.95800,6.82300,11.52590,11.52590,0.25000,0.25000,0.13590,0.77900,100.00000,93.29960,93.29960,44.98840,40.06560,0.03010,1.80430,49.87970,2.19030,2.19030,1.20410,2.19030,11.60400,-0.9826,-0.9826
2018-03-31,7.17500,7.17500,0.63800,6.53700,-3.32700,3.21000,,3.21000,,2.60300,2.60300,6.68700,6.53700,11.52220,11.52220,0.23000,0.23000,0.20450,0.70120,100.00000,91.10800,91.10800,44.73870,36.27870,0.03070,1.69860,52.98400,1.93880,1.93880,1.11350,1.93880,11.65060,1.12380,1.12380
2017-12-31,6.16300,6.16300,0.46300,5.70000,-3.29600,2.40400,,2.37900,,2.49600,2.49600,6.11200,5.70000,11.51690,11.51690,0.21000,0.21000,0.10680,0.69650,100.00000,92.48740,92.48740,39.00700,40.49980,0.02630,1.54620,58.20870,1.84790,1.84790,1.06600,1.84790,11.72530,-3.6428,-3.6428
2017-09-30,6.77400,6.77400,0.46400,6.31000,-2.51300,3.79700,,3.79700,,2.70900,2.70900,6.43800,6.31000,11.51860,11.51860,0.24000,0.24000,0.38790,0.47130,100.00000,93.15030,93.15030,56.05260,39.99110,0.03310,1.55150,58.00710,1.99200,1.99200,1.32270,1.99200,11.80830,0.4484,0.4484
2017-06-30,5.87800,5.87800,0.56000,5.31800,-2.56400,2.75400,,2.75400,,0.73300,0.73300,5.44600,5.31800,11.51730,11.51730,0.06000,0.06000,0.27120,0.40720,100.00000,90.47300,90.47300,46.85270,12.47020,0.02980,1.43540,62.69990,0.53600,0.53600,0.37190,0.53600,11.87270,0.1762,0.1762
2017-03-31,6.96200,6.96200,0.68100,6.28100,-2.91400,3.36700,,3.36700,,3.65300,3.65300,6.40800,6.28100,11.51290,11.51290,0.32000,0.32000,0.53280,0.61420,100.00000,90.21830,90.21830,48.36250,52.47060,0.03030,1.51810,59.28470,2.61980,2.61980,1.58860,2.61980,12.10930,1.72960,1.72960
2016-12-31,6.98700,6.98700,0.53300,6.45400,-2.58900,3.86500,0.05000,3.81500,,-0.58900,-0.58900,6.58200,6.45400,11.54370,11.54370,-0.05000,-0.05000,0.43150,0.68680,100.00000,92.37150,92.37160,55.31700,-8.42990,0.02920,1.15760,77.75010,-0.42320,-0.42320,-0.24620,-0.42320,12.09310,1.3346,1.3346
2016-09-30,7.60800,7.60800,0.53300,7.07500,-2.75200,4.32300,-0.05200,4.37500,,-5.64300,-5.64300,7.20300,7.07500,11.55000,11.55000,-0.49000,-0.49000,0.33790,0.66510,100.00000,92.99420,92.99420,56.82180,-74.17190,0.03120,0.97780,92.04650,-3.92780,-3.92780,-2.31130,-3.92780,12.43670,1.6275,1.6275
