Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,775.00000,775.00000,12.00000,-195.00000,373.00000,,373.00000,12.00000,361.00000,,394.00000,394.00000,575.00000,568.00000,635.00000,635.00000,0.62000,0.62000,1.28970,0.51450,1.05960,100.00000,48.12900,73.29030,48.12900,50.83870,0.02860,2.02880,44.36130,3.08460,3.08460,1.45390,1.49770,19.77250,-0.7554,-0.7554
2024-06-30,755.00000,755.00000,11.00000,-171.00000,399.00000,,399.00000,41.00000,358.00000,,322.00000,322.00000,580.00000,573.00000,616.00000,616.00000,0.52000,0.52000,1.40360,0.51240,1.05090,100.00000,52.84770,75.89400,52.84770,42.64900,0.02890,2.28100,39.45700,2.60430,2.60430,1.23410,1.26990,19.62540,-2.1382,-2.1382
2024-03-31,701.00000,701.00000,10.00000,-200.00000,332.00000,,332.00000,7.00000,325.00000,-14.00000,449.00000,449.00000,497.00000,491.00000,591.00000,591.00000,0.76000,0.76000,1.62660,0.49700,0.98800,100.00000,47.36090,70.04280,47.36090,64.05140,0.02890,1.51080,59.57200,3.78200,3.78200,1.85110,1.90250,19.52630,-0.03550,-0.03550
2023-12-31,707.00000,707.00000,9.00000,-187.00000,354.00000,,354.00000,9.00000,345.00000,,413.00000,413.00000,517.00000,511.00000,554.00000,575.00000,0.73000,0.71000,1.24250,0.51550,1.06400,100.00000,50.07070,72.27720,50.07070,58.41580,0.02970,2.70880,33.22490,3.68720,3.68720,1.73530,1.78640,19.24570,-0.6061,-0.6061
2023-09-30,655.00000,655.00000,12.00000,-206.00000,292.00000,,292.00000,3.00000,289.00000,,500.00000,500.00000,444.00000,437.00000,562.00000,582.00000,0.89000,0.87000,1.61800,0.51650,1.06810,100.00000,44.58020,66.71760,44.58020,76.33590,0.02860,2.52900,35.58780,4.62320,4.62320,2.18150,2.23550,19.00700,0.0415,0.0415
2023-06-30,634.00000,634.00000,11.00000,-162.00000,320.00000,,320.00000,6.00000,314.00000,,331.00000,331.00000,468.00000,461.00000,547.00000,567.00000,0.61000,0.59000,1.42950,0.52420,1.10160,100.00000,50.47320,72.71290,50.47320,52.20820,0.02850,3.40860,26.40380,3.19680,3.19680,1.48890,1.52110,18.58890,-0.1179,-0.1179
2023-03-31,618.00000,618.00000,10.00000,-149.00000,320.00000,,320.00000,2.00000,318.00000,,278.00000,278.00000,465.00000,459.00000,534.00000,555.00000,0.52000,0.51000,1.16290,0.52810,1.11890,100.00000,51.77990,74.27180,51.77990,44.98380,0.02830,3.18560,28.25240,2.76640,2.76640,1.27450,1.30560,18.43850,1.57120,1.57120
2022-12-31,640.00000,640.00000,9.00000,-123.00000,367.00000,,367.00000,18.00000,349.00000,,174.00000,174.00000,515.00000,508.00000,498.00000,518.00000,0.34000,0.33000,0.98850,0.56260,1.28610,100.00000,57.34380,79.37500,57.34380,27.18750,0.02860,3.55560,25.31250,1.82100,1.82100,0.77690,0.79660,18.41040,-0.7135,-0.7135
2022-09-30,537.00000,537.00000,11.00000,-104.00000,302.00000,,302.00000,14.00000,288.00000,,104.00000,104.00000,429.00000,422.00000,503.00000,523.00000,0.21000,0.21000,0.80560,0.55760,1.26060,100.00000,56.23840,78.58470,56.23840,19.36690,0.02440,2.96690,30.33520,1.10220,1.10220,0.47190,0.48760,18.57480,0.0724,0.0724
2022-06-30,479.00000,479.00000,8.00000,-103.00000,267.00000,,267.00000,10.00000,257.00000,,111.00000,111.00000,374.00000,368.00000,494.00000,514.00000,0.22000,0.22000,0.80130,0.55840,1.26470,100.00000,55.74110,76.82670,55.74110,23.17330,0.02200,2.03830,44.15450,1.18910,1.18910,0.50920,0.52500,18.82060,-2.9445,-2.9445
2022-03-31,440.00000,440.00000,10.00000,-126.00000,211.00000,,211.00000,13.00000,198.00000,-48.00000,211.00000,211.00000,310.00000,304.00000,479.00000,500.00000,0.44000,0.43000,1.91200,0.53060,1.13040,100.00000,47.95450,69.09090,47.95450,47.95450,0.02150,3.30830,27.20460,2.24970,2.24970,1.03110,1.05600,19.02430,0.96200,0.96200
2021-12-31,529.00000,529.00000,10.00000,-164.00000,250.00000,,250.00000,8.00000,242.00000,,382.00000,382.00000,364.00000,355.00000,446.00000,446.00000,0.82000,0.82000,0.84490,0.55580,1.25100,100.00000,47.25900,67.10780,47.25900,72.21170,0.02540,2.38290,37.76940,4.30760,4.30760,1.83280,1.91360,18.94870,-3.9859,-3.9859
2021-09-30,442.00000,442.00000,11.00000,-148.00000,189.00000,,189.00000,5.00000,184.00000,,334.00000,334.00000,292.00000,283.00000,453.00000,453.00000,0.73000,0.73000,2.33620,0.53930,1.17040,100.00000,42.76020,64.02720,42.76020,75.56560,0.02310,3.27410,27.48870,3.91240,3.91240,1.74380,1.80260,18.51840,0.0565,0.0565
2021-06-30,459.00000,459.00000,9.00000,-181.00000,182.00000,,182.00000,11.00000,171.00000,,478.00000,478.00000,274.00000,269.00000,440.00000,440.00000,1.09000,1.09000,1.32500,0.53600,1.15520,100.00000,39.65140,58.60570,39.65140,104.13940,0.02550,1.47120,61.17650,5.91730,5.91730,2.65170,2.74550,18.15280,-2.724,-2.724
2021-03-31,390.00000,390.00000,9.00000,-146.00000,149.00000,,149.00000,5.00000,144.00000,-43.00000,373.00000,373.00000,243.00000,235.00000,429.00000,429.00000,0.87000,0.87000,1.39020,0.51190,1.04890,100.00000,38.20510,60.25640,38.20510,95.64100,0.02430,3.90000,23.07690,4.88730,4.88730,2.32820,2.38540,17.46450,1.13990,1.13990
2020-12-31,440.00000,440.00000,9.00000,-113.00000,236.00000,,236.00000,7.00000,229.00000,,378.00000,378.00000,327.00000,318.00000,424.00000,424.00000,0.87000,0.87000,1.22820,0.54260,1.18650,100.00000,53.63640,72.27270,53.63640,85.90910,0.02720,1.97310,45.61360,5.26760,5.26760,2.33390,2.40920,16.96450,-1.7745,-1.7745
2020-09-30,352.00000,352.00000,10.00000,-95.00000,170.00000,,170.00000,4.00000,166.00000,,441.00000,441.00000,255.00000,247.00000,423.00000,423.00000,1.04000,1.04000,1.25230,0.52020,1.08430,100.00000,48.29550,70.17050,48.29550,125.28410,0.02350,2.58820,34.77270,6.33350,6.33350,2.94980,3.03870,16.46100,0.0094,0.0094
2020-06-30,350.00000,350.00000,10.00000,-94.00000,170.00000,,170.00000,5.00000,165.00000,,277.00000,277.00000,253.00000,246.00000,423.00000,423.00000,0.65000,0.65000,1.53650,0.52510,1.10570,100.00000,48.57140,70.28570,48.57140,79.14290,0.02410,1.91260,47.05710,4.13990,4.13990,1.90810,1.96610,15.81800,0.3623,0.3623
2020-03-31,369.00000,369.00000,9.00000,-41.00000,237.00000,,237.00000,3.00000,234.00000,,-612.00000,-612.00000,326.00000,319.00000,430.00000,430.00000,-1.42000,-1.42000,1.35030,0.55410,1.24240,100.00000,64.22760,86.44990,64.22760,-165.85370,0.02330,2.75370,32.68290,-9.29670,-9.29670,-3.87190,-4.14580,15.56270,0.03490,0.03490
2019-12-31,386.00000,386.00000,9.00000,-105.00000,193.00000,,193.00000,3.00000,190.00000,,204.00000,204.00000,279.00000,272.00000,427.00000,427.00000,0.48000,0.48000,0.88730,0.48280,0.93360,100.00000,50.00000,70.46630,50.00000,52.84970,0.02590,2.94660,30.54400,2.73200,2.73200,1.36870,1.41290,17.32480,-0.822,-0.822
2019-09-30,387.00000,387.00000,11.00000,-83.00000,217.00000,,217.00000,5.00000,212.00000,,175.00000,175.00000,300.00000,293.00000,427.00000,427.00000,0.41000,0.41000,1.05290,0.47230,0.89490,100.00000,56.07240,75.71060,56.07240,45.21960,0.02680,3.09600,29.06980,2.37350,2.37350,1.21040,1.25260,17.26700,-1.6783,-1.6783
2019-06-30,382.00000,382.00000,13.00000,-88.00000,212.00000,,212.00000,4.00000,208.00000,,200.00000,200.00000,287.00000,281.00000,426.00000,426.00000,0.47000,0.47000,2.09600,0.44980,0.81760,100.00000,55.49740,73.56020,55.49740,52.35600,0.02760,3.63810,24.73820,2.71440,2.71440,1.44450,1.49340,17.25530,0.8169,0.8169
2019-03-31,373.00000,373.00000,12.00000,-89.00000,205.00000,,205.00000,4.00000,201.00000,,214.00000,214.00000,278.00000,272.00000,426.00000,426.00000,0.50000,0.50000,2.47060,0.45780,0.84440,100.00000,54.95980,72.92230,54.95980,57.37270,0.02670,2.62680,34.26270,2.91590,2.91590,1.53270,1.58100,17.22770,-1.20890,-1.20890
2018-12-31,345.00000,345.00000,9.00000,-71.00000,205.00000,,205.00000,2.00000,203.00000,,153.00000,153.00000,270.00000,265.00000,426.00000,426.00000,0.35000,0.35000,1.14660,0.41670,0.71420,100.00000,59.42030,76.81160,59.42030,44.34780,0.02680,3.34950,26.86960,2.09590,2.09590,1.18650,1.22260,17.13620,-2.331,-2.331
2018-09-30,342.00000,342.00000,8.00000,-84.00000,191.00000,,191.00000,6.00000,185.00000,,209.00000,209.00000,256.00000,250.00000,426.00000,426.00000,0.49000,0.49000,2.40660,0.38330,0.62160,100.00000,55.84800,73.09940,55.84800,61.11110,0.02790,2.22080,40.52630,2.85790,2.85790,1.70540,1.76240,17.16670,1.0728,1.0728
2018-06-30,333.00000,333.00000,11.00000,-93.00000,168.00000,,168.00000,6.00000,162.00000,,254.00000,254.00000,240.00000,229.00000,426.00000,426.00000,0.60000,0.60000,1.34850,0.38450,0.62480,100.00000,50.45050,68.76880,50.45050,76.27630,0.02710,2.29660,39.18920,3.49380,3.49380,2.06550,2.15040,17.06570,2.2277,2.2277
2018-03-31,317.00000,317.00000,14.00000,-94.00000,149.00000,,149.00000,5.00000,144.00000,,242.00000,242.00000,210.00000,209.00000,426.00000,426.00000,0.57000,0.57000,0.99500,0.41620,0.71300,100.00000,47.00320,65.93060,47.00320,76.34070,0.02500,3.40860,26.40380,3.37140,3.37140,1.90660,1.96810,16.84980,-0.25590,-0.25590
2017-12-31,307.00000,307.00000,56.00000,-89.00000,145.00000,,145.00000,5.00000,140.00000,,232.00000,232.00000,209.00000,204.00000,425.00000,425.00000,0.54000,0.54000,1.03800,0.40610,0.68390,100.00000,47.23130,66.44950,47.23130,75.57000,0.02490,3.26600,27.55700,3.26850,3.26850,1.87900,1.94110,16.66200,-0.185,-0.185
2017-09-30,294.00000,294.00000,14.00000,-66.00000,158.00000,,158.00000,5.00000,153.00000,,139.00000,139.00000,221.00000,214.00000,426.00000,426.00000,0.33000,0.33000,1.28690,0.39770,0.66020,100.00000,53.74150,72.78910,53.74150,47.27890,0.02440,2.11510,42.55100,1.97780,1.97780,1.15440,1.19130,16.49770,0.4038,0.4038
2017-06-30,284.00000,284.00000,24.00000,-74.00000,131.00000,,131.00000,7.00000,124.00000,-4.00000,178.00000,178.00000,194.00000,186.00000,426.00000,426.00000,0.42000,0.42000,1.54670,0.40690,0.68610,100.00000,46.12680,65.49300,46.12680,62.67610,0.02300,1.98600,45.31690,2.52450,2.52450,1.44390,1.49720,16.55160,0.5098,0.5098
2017-03-31,275.00000,275.00000,37.00000,-87.00000,96.00000,,96.00000,2.00000,94.00000,,118.00000,118.00000,155.00000,151.00000,422.00000,422.00000,0.28000,0.28000,1.21620,0.39460,0.65170,100.00000,34.90910,54.90910,34.90910,42.90910,0.02290,1.35470,66.43640,1.67730,1.67730,0.98420,1.01550,16.51410,-5.54740,-5.54740
2016-12-31,261.00000,261.00000,14.00000,-53.00000,146.00000,,146.00000,8.00000,138.00000,,75.00000,75.00000,191.00000,194.00000,314.00000,314.00000,0.24000,0.24000,1.76700,0.42860,0.75000,100.00000,55.93870,74.32950,55.93870,28.73560,0.02820,1.85110,48.62070,1.45210,1.45210,0.81120,0.82970,16.44910,0.2166,0.2166
2016-09-30,258.00000,258.00000,12.00000,-61.00000,142.00000,,142.00000,4.00000,138.00000,,110.00000,110.00000,191.00000,185.00000,314.00000,314.00000,0.35000,0.35000,1.29840,0.41670,0.71430,100.00000,55.03880,71.70540,55.03880,42.63570,0.02820,1.81270,49.64970,2.11170,2.11170,1.20400,1.23180,16.59150,0.5987,0.5987
2016-06-30,245.00000,245.00000,18.00000,-73.00000,109.00000,,109.00000,4.00000,105.00000,,157.00000,157.00000,159.00000,154.00000,314.00000,314.00000,0.50000,0.50000,1.23270,0.42040,0.72540,100.00000,44.48980,62.85710,44.48980,64.08160,0.02660,1.94680,46.23060,3.00880,3.00880,1.70510,1.74380,16.62040,1.1847,1.1847
2016-03-31,248.00000,248.00000,12.00000,-68.00000,118.00000,,118.00000,5.00000,113.00000,,132.00000,132.00000,174.00000,168.00000,314.00000,314.00000,0.42000,0.42000,1.19130,0.43480,0.76930,100.00000,47.58060,67.74190,47.58060,53.22580,0.02650,1.53070,58.79760,2.54830,2.54830,1.40940,1.44030,16.49910,0.25160,0.25160
