Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-09-30,71.80000,104.54800,-32.74800,13.42800,57.65000,71.07800,-103.82600,10.44200,-93.38400,1.83500,-95.21900,-95.21900,-95.21900,-64.66800,-103.82600,343.10200,343.10200,-0.28000,-0.28000,1.68040,0.76610,3.27590,-45.61000,-144.60440,-144.60440,-130.06130,-132.61700,0.03020,0.19160,-28.14270,-86.93830,-4.00700,-6.58160,0.98570,-0.8779,-0.9653
2023-06-30,0.82500,0.76000,0.06500,45.98200,42.26700,88.24900,-88.18400,5.85600,-82.32800,0.27900,-82.60700,-82.60700,-82.60700,-68.75300,-88.18400,335.88800,335.88800,-0.25000,-0.25000,1.44350,0.60920,1.55900,7.87880,-10688.97000,-10688.97000,-9979.15200,-10012.97000,0.00050,0.00440,-19.46320,-44.04980,-4.77420,-7.60580,1.23910,-0.3697,-0.6353
2023-03-31,0.19800,0.16400,0.03400,76.99900,44.64800,121.64700,-121.61300,1.11700,-120.49600,0.05900,-120.55500,-120.55500,-120.55500,-110.53100,-121.61300,320.98400,320.98400,-0.38000,-0.38000,2.03410,0.61860,1.62190,17.17170,-61420.71000,-61420.71000,-60856.57000,-60886.36000,0.00010,,-29.57030,-72.46280,-8.01270,-11.27800,1.23470,-0.26090,-0.40340
2022-12-31,0.30600,0.23800,0.06800,133.40200,44.80200,178.20410,-178.13610,8.21700,-169.91900,,-170.10400,-170.10400,-170.10400,-170.22710,-178.13600,303.36600,303.36600,-0.54000,-0.54000,2.51280,0.57900,1.37530,22.22220,-58214.39000,-58214.39000,-55529.07000,-55589.53000,0.00020,0.05570,-35.40110,-72.82380,-11.22480,-14.90410,1.50180,-0.3657,-0.4767
2022-09-30,0.01400,0.00600,0.00800,117.88500,22.10200,139.98700,-139.97900,-9.36300,-149.34200,,-149.34200,-149.34200,-149.34200,-137.91800,-139.97900,303.22500,303.22500,-0.49000,-0.49000,6.99190,0.52790,1.11800,57.14290,-999849.90000,-999849.90000,-1066729.00000,-1066729.00000,0.00000,,-25.28270,-44.04340,-10.57620,-11.93700,1.89420,-0.2695,-0.4531
2022-06-30,0.01000,0.00800,0.00200,71.16000,17.52100,88.68100,-88.67900,-17.29700,-105.97600,,-105.97600,-105.97600,-105.97600,-86.91000,-88.67900,298.27000,298.27000,-0.36000,-0.36000,10.52050,0.52120,1.08840,20.00000,-886790.10000,-886790.10000,-1059760.00000,-1059760.00000,0.00000,,-17.47710,-29.31920,-7.63000,-8.36870,2.03050,-0.499,-0.6798
2022-03-31,0.01200,0.01100,0.00100,101.46000,21.99200,123.45200,-123.45100,1.37700,-122.07400,,-122.07400,-122.07400,-122.07400,-121.96800,-123.45100,296.50900,296.50900,-0.41000,-0.41000,9.11740,0.48870,0.95580,8.33330,-1028758.00000,-1028758.00000,-1017283.00000,-1017283.00000,0.00000,,-17.69120,-27.01910,-8.17900,-9.04530,2.32180,-0.35750,-0.51170
2021-12-31,0.04200,0.04100,0.00100,115.04900,18.38500,133.43400,-133.43300,-4.98400,-138.41700,,-138.43200,-138.43200,-138.43200,-132.01800,-133.43300,292.00400,292.00400,-0.45000,-0.45000,10.97550,0.45180,0.82410,2.38100,-317697.60000,-317697.60000,-329564.30000,-329600.10000,0.00000,,-17.30310,-24.34970,-8.69030,-9.48560,2.69620,-0.4901,-0.6741
2021-09-30,0.01500,0.01600,-0.00100,99.29100,10.27300,109.56400,-109.56500,-0.27900,-109.84400,,-109.84400,-109.84400,-109.84400,-108.35900,-109.56500,296.13400,296.13400,-0.37000,-0.37000,18.39730,0.42140,0.72830,-6.66670,-730433.40000,-730433.40000,-732293.40000,-732293.40000,0.00000,,-12.13700,-15.58190,-6.60740,-7.02250,3.05580,-0.3488,-0.4016
2021-06-30,0.02700,0.01400,0.01300,45.24500,7.90800,53.15300,-53.14000,6.91800,-46.22200,,-46.22200,-46.22200,-46.22200,-52.38800,-53.14000,295.27600,295.27600,-0.16000,-0.16000,16.64710,,,48.14820,-196814.80000,-196814.80000,-171192.60000,-171192.60000,0.00000,,-4.16190,-4.96920,-3.87950,-4.16190,3.75120,-0.0898,-0.0787
2021-03-31,0.02200,0.01700,0.00500,27.27100,5.83200,33.10300,-33.09800,-143.74500,-176.84300,0.00000,-176.84300,-176.84300,-176.84300,-32.82300,-33.09800,279.83760,279.83760,-0.63000,-0.63000,85.59130,,,22.72730,-150445.50000,-150445.50000,-803831.80000,-803831.80000,0.00000,,-16.49170,-18.61610,-15.77630,-16.49170,3.65280,-0.10300,-0.33760
2020-12-31,,,,17.09000,14.21600,,-31.30600,-56.09400,-87.40000,,-87.40000,-87.40000,-87.40000,-30.60900,-31.30600,135.03500,135.03500,-0.55000,-0.55000,75.70940,,,,,,,,,,-9.63480,-10.29340,-8.21510,-9.63480,3.27170,-0.2063,-0.2091
2020-09-30,,,,3.40200,6.52100,,-9.92300,-29.74100,-39.66400,0.00000,-39.66400,-39.66400,-39.66400,-9.23500,-9.92300,105.54980,105.54980,-0.38000,-0.38000,0.04670,,,,,,,,,,-793.27840,-793.28000,-6.96780,-793.27840,0.33470,-0.0644,-0.0666
2020-06-30,,,,0.19200,1.10300,,-1.29500,-0.52000,-1.81500,,-1.81500,-1.81500,-1.81500,-1.00100,-1.29500,105.43310,105.43310,-0.02000,-0.02000,0.22180,,,,,,,,,,-36.29990,-36.29960,-0.31840,-36.29990,0.34220,-0.0133,-0.0133
2020-03-31,,,,0.36800,0.43200,,-0.80000,-0.32500,-1.12500,,-1.12500,-1.12500,-1.12500,-0.56400,-0.80000,105.40950,105.40950,-0.01000,-0.01000,0.58330,,,,,,,,,,-22.50000,-22.50000,-0.19740,-22.50000,0.34430,0.00250,0.00250
2019-12-31,,,,,2.51420,,-9.47620,-10.23740,-19.71370,,-17.66040,-17.66040,-17.66040,-9.47620,-9.47620,105.34400,105.34400,-0.21000,-0.15000,0.54280,-0.28450,-0.23610,,,,,,,,103.01810,103.01810,-850.69310,132.32720,-0.16260,-0.0193,-0.0194
2019-09-30,,,,,0.45580,,-0.45580,3.15190,2.69610,0.65020,2.04580,2.04580,2.04580,-0.45580,-0.45580,69.00000,69.00000,0.03000,0.03000,2.53640,,,,,,,,,,40.91650,40.91660,0.36270,40.91650,0.33180,-0.0146,-0.0146
2019-06-30,,,,,0.26290,,-0.26290,3.56720,3.30430,0.73730,2.56700,2.56700,2.56700,-0.26290,-0.26290,69.00000,69.00000,0.05000,-0.01000,4.49760,,,,,,,,,,51.33930,51.33940,0.45690,51.33930,0.32740,-0.0268,-0.0268
2019-03-31,,,,,0.39300,,-0.39300,3.22730,2.83430,0.66570,2.16860,2.16860,2.16860,-0.39300,-0.39300,69.00000,69.00000,0.03000,0.03000,1.09130,,,,,,,,,,43.37170,43.37180,0.38710,43.37170,0.32200,-0.00820,-0.00820
2018-12-31,,,,,0.87800,,-2.81700,-1.18770,-4.00440,,-3.78970,-3.78970,-5.01210,-2.81700,-2.81700,105.23800,105.23800,-0.05000,-0.05000,2.84530,,,,,,,,,,-75.79440,-75.79460,-0.67980,-75.79440,0.31750,-0.0232,-0.0236
2018-09-30,,,,,0.59800,,-0.59800,1.17170,0.57340,0.21470,0.35870,0.35870,0.35910,-0.59800,-0.59800,69.00000,69.00000,0.01000,0.01000,3.97460,,,,,,,,,,7.17460,7.17460,0.06460,7.17460,0.31300,-0.0093,-0.0093
2018-06-30,,,,,,,,,,0.00000,,,,,,13.80000,13.80000,,0.00000,,,,,,,,,,,,,,,,0,0
2018-03-31,,,,,,,,,,0.00000,,,,,,13.80000,13.80000,,0.00000,,,,,,,,,,,,,,,,0.00000,
2017-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
