Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.34570,0.19690,0.14880,1.82930,-0.63340,2.46280,-2.31400,0.03060,-2.28340,-2.28340,-2.28340,-0.81130,-3.09470,-2.51870,-2.31400,6.39600,6.39600,-0.48000,-0.48000,1.19670,,0.09950,43.03530,-669.38680,-669.38680,-660.54550,-895.23150,0.04610,0.39040,0.74530,120.76010,-116.13500,-130.81740,-30.45270,-116.08790,0.29500,0.0285,0.029
2024-06-30,0.27870,0.15300,0.12580,2.42160,-0.89340,3.31500,-3.18920,0.00800,-3.18130,-3.18130,-3.18130,,-3.18130,-3.02510,-3.18920,4.66500,4.66500,-0.68000,-0.68000,1.49070,,0.06760,45.11810,-1144.23900,-1144.23900,-1141.37400,-1141.37400,0.02630,0.26920,0.72010,124.97620,-77.72120,-82.51790,-30.04840,-77.70600,0.71710,-0.5813,-0.5826
2024-03-31,0.41960,0.18740,0.23220,3.36680,-1.10220,4.46900,-4.23680,0.01790,-4.21880,-4.21880,-4.21880,,-4.21880,-4.07420,-4.23680,4.06300,4.06300,-1.04000,-1.04000,1.45270,,0.00940,55.33970,-1009.60600,-1009.60600,-1005.33400,-1005.33400,0.03960,0.42430,0.82370,109.25890,-104.09480,-110.78670,-39.79600,-104.07460,0.99770,-0.84080,-0.84150
2023-12-31,0.37350,0.25700,0.11640,2.42040,-1.61700,4.03750,-3.92100,0.03060,-3.89040,-3.89040,-3.89040,,-3.47530,-3.38860,-3.92100,4.01500,4.01500,-0.86000,-0.86000,2.55080,,0.01820,31.17700,-1049.91300,-1049.91300,-1041.72000,-930.57570,0.02590,0.53460,1.34510,66.90830,-47.03700,-48.44600,-26.98450,-47.03260,2.03590,-1.0373,-1.0971
2023-09-30,0.67660,0.09790,0.57880,2.67910,-0.63870,3.31770,-2.73900,-0.00940,-2.74840,-2.74840,-2.74840,-0.41510,-3.16350,-2.95010,-2.73900,4.03100,4.03100,-0.78000,-0.78000,3.24090,,0.02230,85.53590,-404.80220,-404.80220,-406.18700,-467.53300,0.03720,0.22240,1.24210,72.45960,-23.59000,-24.12530,-15.12850,-23.58840,2.88900,-0.4959,-0.435
2023-06-30,0.49010,0.15980,0.33030,3.13360,-1.15590,4.28950,-3.95920,0.03590,-3.92340,-3.92340,-3.92340,,-3.92340,-3.77910,-3.95920,3.99700,3.99700,-0.98000,-0.98000,4.24340,,,67.40300,-807.82430,-807.82430,-800.50760,-800.50760,0.02340,0.40580,1.13750,79.11780,-26.68180,-27.17230,-18.71210,-26.68040,3.67080,-0.8879,-0.9518
2023-03-31,0.23990,0.12010,0.11980,2.70620,-0.87850,3.58480,-3.46500,0.04320,-3.42180,-3.42180,-3.42180,,-3.42180,-3.22710,-3.46500,3.96800,3.96800,-0.86000,-0.86000,5.05840,,,49.92020,-1444.37500,-1444.37500,-1426.37500,-1426.37500,0.00960,0.31590,0.84840,106.08250,-18.44360,-18.71740,-13.65360,-18.44200,4.67360,-0.86390,-0.87000
2022-12-31,0.36350,0.15340,0.21000,3.49750,-1.32660,8.17350,-7.96340,0.04730,-7.91610,-7.91610,-7.91610,,-7.91610,-11.51250,-7.96340,3.68600,3.68600,-2.03000,-2.03000,6.01650,,,57.78560,-2190.92800,-2190.92800,-2177.90900,-2177.90900,0.01410,0.35640,1.09750,82.00790,-36.37070,-36.79850,-30.76050,-36.36930,5.52710,-1.025,-1.0466
2022-09-30,0.45580,0.10820,0.34770,3.62130,-0.85710,4.47840,-4.13070,0.07130,-4.05950,-4.05950,-4.05950,,-4.05950,3.43130,-4.13070,3.91900,3.91900,-1.04000,-1.04000,7.74420,0.00020,0.00020,76.27370,-906.20980,-906.20980,-890.57550,-890.57560,0.01370,0.21910,1.40380,64.11140,-13.71810,-15.67900,-12.23980,-13.71520,7.54850,-0.5407,-0.568
2022-06-30,0.37160,0.13410,0.23750,2.62270,-0.90910,10.76290,-10.52540,0.13410,-10.39130,-10.39130,-10.39130,,-10.39130,-10.19960,-10.52540,3.59000,3.59000,-2.89000,-2.89000,10.55630,,,63.91870,-2832.52500,-2832.52500,-2796.44100,-2796.44100,0.01020,0.28250,1.10460,81.47600,-30.98690,-34.93500,-28.47270,-30.98610,8.58180,-0.8507,-0.9019
