,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-11-07,2024-09-30,$0.74,$0.65
1,2024-08-08,2024-06-30,$0.59,$0.04
2,2024-05-29,2024-03-31,$0.72,$0.42
3,2024-02-08,2023-12-31,$1.74,$1.20
4,2023-11-09,2023-09-30,$1.49,$1.13
5,2023-08-10,2023-06-30,$0.69,$0.74
6,2023-05-31,2023-03-31,$0.94,$0.97
7,2023-02-08,2022-12-31,$2.21,$1.84
8,2022-11-09,2022-09-30,$1.55,$1.79
9,2022-08-09,2022-06-30,$1.34,$1.50
10,2022-06-01,2022-03-31,$0.82,$1.02
11,2022-02-02,2021-12-31,$1.68,$2.22
12,2021-11-03,2021-09-30,$0.95,$1.53
13,2021-07-30,2021-06-30,$0.79,$1.42
14,2021-05-26,2021-03-31,$-0.01,$0.38
15,2021-02-03,2020-12-31,$1.04,$1.65
16,2020-11-05,2020-09-30,$0.07,$0.90
17,2020-08-05,2020-06-30,$-1.10,$-1.04
18,2020-07-01,2020-03-31,$0.32,$0.11
19,2020-02-05,2019-12-31,$1.58,$1.66
20,2019-11-06,2019-09-30,$1.25,$1.16
21,2019-08-07,2019-06-30,$0.90,$0.95
22,2019-05-29,2019-03-31,$0.61,$0.63
23,2019-02-06,2018-12-31,$1.57,$1.76
24,2018-11-07,2018-09-30,$1.09,$1.27
25,2018-08-08,2018-06-30,$0.94,$1.32
26,2018-05-30,2018-03-31,$0.60,$0.63
27,2018-02-07,2017-12-31,$1.29,$1.77
28,2017-11-06,2017-09-30,$0.83,$1.33
29,2017-08-08,2017-06-30,$0.62,$0.80
30,2017-05-31,2017-03-31,$0.70,$0.73
31,2017-02-07,2016-12-31,$1.62,$1.64
32,2016-11-10,2016-09-30,--,$0.95
33,2016-08-10,2016-06-30,$0.74,$0.88
34,2016-06-01,2016-03-31,$0.96,$0.98
35,2016-02-02,2015-12-31,$1.46,$1.59
36,2015-11-04,2015-09-30,$0.89,$1.01
37,2015-08-06,2015-06-30,--,$0.87
38,2015-05-27,2015-03-31,$0.90,$0.90
39,2015-02-05,2014-12-31,$1.34,$1.48
