Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1101.70000,901.10000,200.60000,127.00000,134.20000,66.39990,-8.70000,57.70000,12.80000,44.90000,44.90000,,44.90000,102.79990,66.39990,137.40000,138.00000,0.33000,0.33000,1.48030,0.68030,2.53340,18.20820,6.02700,6.02700,5.23740,4.07550,0.29140,1.19450,1.72650,52.12760,6.05280,-20.01780,1.18780,1.93530,5.52370,0.6888,0.6823
2024-06-30,1128.60000,942.10000,186.50000,131.50000,136.20000,50.29990,-684.60000,-634.30000,-32.20000,-602.10000,-602.10000,,-602.20000,758.19990,50.29990,137.30000,137.30000,-4.39000,-4.39000,1.53150,0.71810,2.99730,16.52490,4.45680,4.45680,-56.20240,-53.35810,0.29400,1.24720,1.73980,51.73050,-90.09430,206.26930,-15.68460,-25.40080,4.98110,0.6846,0.63
2024-03-31,1096.90000,910.50000,186.40000,125.90000,130.80000,55.60000,-13.20000,42.40000,10.80000,31.60000,31.60000,,31.60000,88.50000,55.60000,136.80000,137.30000,0.23000,0.23000,1.56550,0.57890,1.61050,16.99330,5.06880,5.06880,3.86540,2.88080,0.23770,1.12770,1.72710,52.10960,2.45060,-8.92910,0.68480,1.03190,9.62050,-0.04440,-0.12240
2023-12-31,1115.10000,915.29990,199.80000,121.10000,138.50010,61.30030,-447.60010,-386.30000,-88.90000,-297.40000,-297.40000,,-297.30000,106.10030,61.29990,136.30000,136.30000,-2.18000,-2.18000,1.49010,0.55730,1.49000,17.91770,5.49730,5.49730,-34.64260,-26.66130,0.24060,1.11660,1.74970,51.43670,-22.29390,91.98890,-6.41710,-9.86860,10.00000,1.0813,0.9824
2023-09-30,1175.40000,961.10000,214.30000,109.10000,127.00000,87.30010,-16.40000,70.90000,18.00000,52.90000,52.90000,,52.80000,132.30000,87.30010,136.40000,136.80000,0.39000,0.39000,1.86920,0.54540,1.20540,18.23210,7.42730,7.42730,6.03200,4.49210,0.23150,1.15120,1.65250,54.46400,3.23370,-11.45020,1.04180,1.46990,12.27050,1.0489,0.9451
2023-06-30,1221.20000,1000.10000,221.10000,119.20000,136.00000,85.10000,-11.40000,73.70000,19.50000,54.20000,54.20000,,54.20000,129.80000,85.10000,136.20000,136.60000,0.40000,0.40000,1.99430,0.54720,1.21340,18.10510,6.96860,6.96860,6.03500,4.43830,0.23740,1.16590,1.73790,51.78760,3.24820,-11.95940,1.05360,1.47080,12.52760,0.8081,0.6206
2023-03-31,1213.60000,995.00000,218.60000,116.00000,132.90000,85.70000,-17.40000,68.30000,14.80000,53.50000,53.50000,,53.50000,131.09990,85.70000,135.90000,136.30000,0.39000,0.39000,2.08010,0.55850,1.27040,18.01250,7.06160,7.06160,5.62790,4.40840,0.23030,1.11460,1.68980,53.26140,3.20920,-11.45860,1.01520,1.41680,12.52410,0.70950,0.43650
2022-12-31,1195.80000,985.20000,210.60030,109.80000,126.60000,84.00070,-15.00000,69.00000,16.20000,52.80000,52.80000,,52.80000,129.50070,84.00070,136.10000,136.50000,0.39000,0.39000,2.02250,0.55820,1.26940,17.61160,7.02460,7.02460,5.77020,4.41550,0.23060,1.08560,1.77160,50.80280,3.21680,-10.38550,1.01810,1.42100,12.37860,1.8061,1.5613
2022-09-30,1294.40000,1063.90000,230.50000,100.40000,117.00000,113.50000,-20.00000,93.50000,22.00000,71.50000,71.50000,,71.40000,157.60000,113.50000,135.70000,136.10000,0.53000,0.52000,2.07360,0.57720,1.37000,17.80750,8.76850,8.76850,7.22340,5.51610,0.25010,1.09010,1.77240,50.77800,4.57510,-12.41540,1.38160,1.93430,11.78780,0.4854,0.3049
2022-06-30,1334.20000,1065.80000,268.39990,105.40000,121.80000,146.59990,-23.60000,123.00000,27.80000,95.20000,95.20000,,95.20000,191.09990,146.59990,136.30000,136.70000,0.70000,0.70000,1.57110,0.52570,1.29490,20.11690,10.98790,10.98790,9.21900,7.13540,0.25510,1.03790,1.84640,48.74380,5.89620,-19.77980,1.82010,2.79660,12.17480,0.6573,0.5152
