Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,2.43840,0.51530,1.92310,1.12050,1.67860,-0.03330,2.95800,-1.03490,0.02070,-1.01420,-1.01420,-1.01420,-1.01420,-0.78390,-1.03490,18.16420,18.16420,-0.06000,-0.06000,0.82730,,,78.86690,-42.44240,-42.44240,-41.59300,-41.59310,0.16080,2.79790,32.16670,-9.31220,308.35300,-6.68760,-9.31220,0.59950,-0.02340,-0.02390
2024-06-30,1.72730,0.53500,1.19230,1.24610,1.59800,-0.04540,5.22170,-4.02950,0.03520,-3.99420,-3.99420,-3.99420,-3.99420,-4.60980,-4.02950,16.68120,16.68120,-0.24000,-0.24000,1.45010,,,69.02700,-233.28740,-233.28740,-231.24780,-231.24780,0.11100,2.38890,37.67430,-34.61660,-2069.36600,-25.67220,-34.61660,0.63540,-0.0632,-0.064
2024-03-31,1.89560,0.56950,1.32620,1.13680,1.79360,0.29200,2.92950,-1.60330,0.06110,-1.54230,-1.54230,-1.54230,-1.54230,-0.38180,-1.60330,17.19530,17.19530,-0.09000,-0.09000,1.57990,,,69.95950,-84.57850,-84.57850,-81.35790,-81.35790,0.09200,1.94390,46.29850,-10.22180,-109.36400,-7.48510,-10.22180,0.83170,-0.0476,-0.0482
2023-12-31,2.07640,0.65550,1.42090,1.39190,1.81030,1.26800,2.23350,-0.81260,0.07420,-0.73840,-0.73840,-0.73840,-0.73840,-1.47970,-0.81260,16.66870,16.66870,-0.04000,-0.04000,1.18730,,,68.43090,-39.13330,-39.13330,-35.55950,-35.55950,0.09410,1.66690,53.99410,-4.98990,-89.12720,-3.34490,-4.98990,0.88490,-0.0872,-0.0873
2023-09-30,3.10490,1.18150,1.92340,1.68080,1.90980,2.75750,2.09410,-0.17070,0.05130,-0.11940,-0.11940,-0.11940,-0.11940,1.21690,-0.17070,14.73040,14.73040,-0.01000,-0.01000,1.58420,,,61.94670,-5.49840,-5.49840,-3.84690,-3.84690,0.12840,0.74170,121.34860,-0.79440,-15.38230,-0.49380,-0.79440,1.01510,-0.11430,-0.11470
2023-06-30,2.90840,0.95260,1.95580,2.10170,3.81590,0.01960,21.27970,-19.32390,0.05760,-19.26630,-19.26630,-19.26630,-19.26630,-19.25600,-19.32390,13.92910,13.92910,-1.37000,-1.35000,0.95910,,,67.24650,-664.41730,-664.41730,-662.43680,-662.43660,0.11980,2.00060,44.98670,-171.65550,448.37130,-79.35580,-171.65550,0.76340,-0.1187,0.0597
2023-03-31,3.67240,1.22350,2.44890,2.15730,2.59410,-1.94800,7.72940,-5.28050,0.05790,-5.22260,-5.22260,-5.22260,-5.22260,-4.21160,-5.28050,14.09360,14.09360,-0.37000,-0.37000,1.44160,,,66.68300,-143.78970,-143.78970,-142.21250,-142.21250,0.08970,2.36720,38.01940,-18.63660,475.68790,-12.74990,-18.63660,1.95420,-0.202,-0.3847
2022-12-31,2.95050,0.87530,2.07530,2.53260,2.99780,5.22850,0.84360,1.23160,0.07670,1.30840,1.30840,1.30840,1.30840,1.81080,1.23160,13.78000,19.26430,0.09000,0.07000,2.68010,,,70.33500,41.74280,41.74280,44.34310,44.34310,0.06760,1.57270,57.22540,4.23040,168.57500,2.99550,4.23040,2.21450,-0.1059,-0.1058
2022-09-30,3.95100,1.21460,2.73640,2.00240,3.11960,-2.60340,8.16930,-5.43290,0.05020,-5.38270,-5.38270,-5.38270,-5.38270,-4.95590,-5.43290,13.31720,13.31720,-0.40000,-0.40000,1.71150,,,69.25870,-137.50560,-137.50560,-136.23630,-136.23630,0.08400,3.21640,27.98160,-19.63490,175.45720,-11.43780,-19.63490,2.01670,-0.23120,-0.23750
2022-06-30,2.50280,0.51300,1.98970,2.06620,2.52550,,2.98370,-0.99390,0.01140,-0.98250,-0.98250,-0.98250,-0.98250,-0.73540,-0.99390,11.73140,11.73140,-0.06000,-0.06000,4.30510,,,79.50220,-39.71340,-39.71340,-39.25760,-39.25760,0.06520,1.87760,47.93250,-3.40950,-8.70360,-2.55880,-3.40950,2.26060,-0.1293,-0.1094
2022-03-31,2.05230,0.37050,1.68180,1.91230,1.98530,,4.05830,-2.37650,0.62490,-1.75160,-1.75160,-1.75160,-1.75160,-2.19770,-2.37650,12.60430,12.60430,-0.14000,-0.14000,6.90670,,,81.94740,-115.79540,-115.79540,-85.34760,-85.34760,0.05220,1.50200,59.92150,-6.04560,-14.07420,-4.45680,-6.04560,2.27370,-0.0891,-0.1219
2021-12-31,1.69000,0.21230,1.47770,1.19050,1.79610,,3.05320,-1.57550,0.00010,-1.57540,-1.57540,-1.57540,-1.57540,-1.50040,-1.57550,11.63730,11.63730,-0.14000,-0.14000,25.43010,0.02010,0.02050,87.44060,-93.22640,-93.22640,-93.21850,-93.21850,0.05240,1.31240,68.57750,-5.17720,-5.40130,-4.88230,-5.07320,2.43820,-0.0971,-0.0996
2021-09-30,1.02250,0.14540,0.87710,0.98940,1.28440,,2.27380,-1.39670,-0.26010,-1.65680,-1.65680,-1.65680,-1.65680,-1.36890,-1.39670,9.96780,9.96780,-0.17000,-0.17000,11.93230,0.04640,0.04860,85.78170,-136.58770,-136.58770,-162.02520,-162.02520,0.07000,1.70460,52.79940,-12.90910,-13.68680,-11.34000,-12.31070,1.24700,-0.10570,-0.10750
2021-06-30,0.98690,0.18330,0.80360,1.18850,1.12070,,3.55920,-2.75560,-0.08750,-2.84310,-2.84310,-2.84310,-2.84310,-2.66450,-2.75560,7.25920,7.25920,-0.38000,-0.38000,1.35910,2.32850,-1.75270,81.42720,-279.20480,-279.20470,-288.06980,-288.06980,0.30640,1.57600,57.10760,242.63020,242.63020,-88.26610,-322.34440,-0.15460,-0.0262,-0.0278
2021-03-31,0.91480,0.59460,0.32020,0.66900,0.91350,,1.58250,-1.26230,0.03210,-1.23020,-1.23020,-1.23020,-1.23020,-1.25470,-1.26230,7.38790,7.38790,-0.17000,-0.17000,8.19130,0.71060,2.45590,35.00170,-137.98650,-137.98650,-134.47920,-134.47930,0.28300,2.55980,35.15950,-149.54840,-149.54830,-38.05570,-43.27290,0.08610,-0.0304,-0.0305
2020-12-31,1.25980,0.54620,0.71370,0.58880,0.81830,,1.40700,-0.69340,-0.04770,-0.74110,-0.74110,-0.74110,-0.74110,-0.64430,-0.69340,7.05400,7.05400,-0.11000,-0.11000,,,,56.64610,-55.03710,-55.03710,-58.82380,-58.82370,,,,,,,,,-0.0872,-0.0873
2020-09-30,0.25990,0.13710,0.12280,0.73680,0.62550,,1.36220,-1.23940,-0.03790,-1.27730,-1.27730,-1.27730,-1.27730,-1.17950,-1.23940,7.03990,7.03990,-0.18000,-0.18000,,,,47.24520,-476.83420,-476.83420,-491.41640,-491.41640,,,,,,,,,-0.02280,-0.02490
2020-06-30,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0.221,0.2226
2020-03-31,1.40380,0.88310,0.52070,1.73970,2.34100,,4.08060,-3.56000,-0.02300,-3.58300,-3.58300,-3.58300,-3.58300,-3.56000,-3.56000,6.89630,6.89630,-0.52000,-0.52000,,,,37.09040,-253.60370,-253.60370,-255.24450,-255.24450,,,,,,,,,-0.221,-0.2226
