Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,200.39300,114.84100,85.55200,19.54400,106.21600,-20.66400,-84.16600,-104.83000,2.18300,-107.01300,-107.01300,,-97.91800,71.95300,-20.66400,141.23200,141.23200,-0.69000,-0.69000,0.56140,1.27980,-10.31170,-10.31170,-52.31220,-48.86300,0.02410,-3.74000,-3.96690,-1.28660,-1.42830,23.26890,0.4511,0.0507
2024-06-30,218.00000,113.25600,104.74400,20.70500,107.50300,-2.75900,-44.28800,-47.04700,0.51000,-47.55700,-47.55700,,-47.02700,90.69800,-2.75900,141.18100,141.18100,-0.33000,-0.33000,0.55180,1.23100,-1.26560,-1.26560,-21.58120,-21.57200,0.02610,-1.60080,-1.69700,-0.56940,-0.62770,24.04420,0.2521,-0.0916
2024-03-31,214.02300,110.05600,103.96700,19.71000,111.56400,-7.59700,-45.75800,-53.35500,,-53.35500,-53.35500,,-52.20200,90.20400,-7.59700,141.12200,141.12200,-0.37000,-0.37000,0.54750,1.21010,-3.54960,-3.54960,-24.92960,-24.39080,0.02590,-1.80040,-1.90200,-0.64660,-0.71240,24.00770,0.46150,0.10800
2023-12-31,223.42300,115.54500,107.87800,19.78100,122.97300,-15.09500,-72.64300,-87.73800,0.91900,-88.65700,-88.65700,,-97.99600,94.31300,-15.09500,140.95300,140.95300,-0.69000,-0.69000,0.53450,1.14800,-6.75630,-6.75630,-39.26990,-43.86120,0.02700,-2.88860,-3.05390,-1.07050,-1.18120,24.77520,0.0653,4.3586
2023-09-30,231.44300,112.17600,119.26700,17.51200,116.09200,3.17500,-39.35200,-36.17700,-0.42500,-35.75200,-35.75200,,-37.59700,106.74600,3.17500,140.93800,140.93800,-0.27000,-0.27000,0.55460,1.24500,1.37180,1.37180,-15.63110,-16.24460,0.02580,-1.12580,-1.20080,-0.39780,-0.44230,25.54900,0.506,0.4385
2023-06-30,245.16800,111.44600,133.72200,18.94100,117.87600,15.84600,-41.01800,-25.17200,6.30200,-31.47400,-31.47400,,-36.16300,120.45400,15.84600,140.91000,140.91000,-0.26000,-0.26000,0.55460,1.24520,6.46330,6.46330,-10.26730,-14.75030,0.02690,-0.97730,-1.04560,-0.34560,-0.38460,25.86490,0.4205,-0.1498
2023-03-31,252.26300,111.29800,140.96500,18.72400,115.86300,25.10200,-39.91900,-14.81700,,-14.81700,-14.81700,,-20.42500,126.85600,25.10200,141.02500,141.02500,-0.14000,-0.14000,0.54880,1.21650,9.95070,9.95070,-5.87360,-8.09670,0.02760,-0.45260,-0.48530,-0.16240,-0.18070,26.25390,0.65600,0.82060
2022-12-31,269.92700,116.93200,152.99500,17.32300,113.84090,39.15410,-42.74100,-3.58700,,-5.65600,-5.65600,,-11.98400,141.52510,39.15400,143.73200,143.73200,-0.09000,-0.09000,0.55370,1.24060,14.50540,14.50540,-1.32890,-4.43970,0.02900,-0.17010,-0.18290,-0.06070,-0.06730,26.58440,0.2426,0.1355
2022-09-30,260.35400,105.02800,155.32600,19.79500,112.86500,42.46100,-50.55900,-8.09800,-1.30600,-6.79200,-6.79200,,-17.28600,141.37000,42.46100,141.11700,141.11700,-0.12000,-0.12000,0.54350,1.19070,16.30900,16.30900,-3.11040,-6.63940,0.02790,-0.20170,-0.21730,-0.07290,-0.08180,26.91070,1.0061,0.7794
2022-06-30,251.43000,99.24400,152.18600,21.87100,113.30900,38.87700,-36.09400,2.78300,-0.76300,3.54600,3.54600,,-7.43600,135.47300,38.87700,143.81700,143.81700,-0.05000,-0.05000,0.52890,1.12290,15.46240,15.46240,1.10690,-2.95750,0.02780,0.10360,0.10420,0.03920,0.04340,27.17860,0.6823,-0.3853
