Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,162.14000,39.30200,122.83800,64.88700,103.10300,167.99000,-45.15200,38.43900,-6.71300,0.04500,-6.75800,-6.75800,-6.75800,-39.76200,-45.15200,90.11950,90.11950,-0.07000,-0.07000,0.60080,1.76060,75.76050,-27.84750,-27.84750,-4.14020,-4.16800,0.08960,-1.13480,-1.27880,-0.37360,-1.13480,6.54450,1.9651,1.9383
2024-06-30,127.63000,38.68400,88.94600,58.45300,85.97900,144.43200,-55.48600,1.03100,-54.45500,0.01500,-54.47000,-54.47000,-54.47000,-50.65800,-55.48600,88.43590,88.43590,-0.62000,-0.62000,0.51480,1.83600,69.69050,-43.47410,-43.47410,-42.66630,-42.67810,0.07010,-9.15910,-10.32320,-2.99250,-9.15910,6.67580,0.7288,0.7028
2024-03-31,127.79400,39.40800,88.38600,63.09100,92.76300,155.85400,-67.46800,2.88400,-64.58400,0.01400,-64.59800,-64.59800,-64.59800,-61.83600,-67.46800,87.03070,87.03070,-0.74000,-0.74000,0.38260,1.94750,69.16290,-52.79430,-52.79430,-50.53760,-50.54850,0.06630,-10.54150,-11.83690,-3.35110,-10.54150,6.97910,0.60460,0.58450
2023-12-31,140.31200,36.11700,104.19500,57.15200,94.54400,151.69610,-47.50110,5.16600,-42.33500,0.06300,-42.39800,-42.39800,-42.39800,-38.39810,-47.50100,83.76600,83.76600,-0.47000,-0.47000,0.38580,1.94460,74.25950,-33.85390,-33.85390,-30.17200,-30.21700,0.06960,-6.67360,-7.46120,-2.10190,-6.67360,7.35900,-2.3175,-2.3383
2023-09-30,134.55700,36.91400,97.64300,54.94100,86.54700,141.48800,-43.84500,3.54000,-40.30500,0.01000,-40.31500,-40.31500,-40.31500,-38.91100,-43.84500,84.40500,84.40500,-0.48000,-0.48000,0.51770,1.88650,72.56630,-32.58470,-32.58470,-29.95390,-29.96130,0.06720,-6.29170,-7.02720,-2.01400,-6.29170,7.53620,-1.3018,-1.3354
2023-06-30,135.76600,36.79700,98.96900,57.97400,74.33900,132.31300,-33.34400,5.19700,-28.14700,0.01800,-28.16500,-28.16500,-28.16500,-28.91900,-33.34400,83.13060,83.13060,-0.34000,-0.34000,0.53540,1.52740,72.89680,-24.55990,-24.55990,-20.73200,-20.74530,0.07700,-4.41360,-4.93190,-1.59690,-4.41360,7.61410,2.6278,2.6045
2023-03-31,102.92700,40.59000,62.33700,110.07100,84.10100,194.17200,-131.83500,2.59700,-129.23800,0.01600,-129.25400,-129.25400,-129.25400,-125.39400,-131.83500,81.91140,81.91140,-1.58000,-1.58000,0.45010,1.66120,60.56430,-128.08590,-128.08590,-125.56280,-125.57830,0.05650,-20.60780,-23.69100,-7.09520,-20.60780,7.59320,-0.92450,-0.99110
2022-12-31,146.91300,43.48700,103.42600,64.02900,97.89500,161.92400,-58.49810,2.77100,-55.72700,-0.46400,-55.26300,-55.26300,-55.26300,-54.84410,-58.49800,82.77100,82.77100,-0.65000,-0.60000,0.49340,1.60190,70.39950,-39.81820,-39.81820,-37.93200,-37.61620,0.07590,-8.21830,-9.12880,-2.85440,-8.21830,8.27510,-2.9866,-3.0439
2022-09-30,157.23300,45.02800,112.20500,66.18200,104.11400,170.29600,-58.09100,1.88000,-56.21100,0.01200,-56.22300,-56.22300,-56.22300,-54.36700,-58.09100,81.67210,81.67210,-0.69000,-0.69000,0.79370,1.40940,71.36220,-36.94580,-36.94580,-35.75010,-35.75780,0.08210,-7.82430,-8.85670,-2.93550,-7.82430,8.78110,-1.3423,-1.4138
2022-06-30,228.16200,51.07200,177.09000,57.04500,152.15200,209.19700,-32.10700,2.26000,-29.84700,0.02400,-29.87100,-29.87100,-29.87100,-28.75300,-32.10700,83.83400,83.83400,-0.36000,-0.36000,0.90130,1.27100,77.61590,-14.07200,-14.07200,-13.08150,-13.09200,0.11900,-3.94560,-4.44350,-1.55820,-3.94560,9.21150,-1.0274,-1.12
