Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,3973.77500,2063.95200,1909.82300,125.26100,175.14800,1734.67500,1734.67500,102.01200,1632.66300,1632.66300,,1155.79400,1984.10300,1758.48400,50.95900,51.10400,22.68000,22.62000,0.14690,0.17220,43.65310,44.25220,43.65310,29.08550,0.07530,15.56020,15.51210,3.09470,12.38880,216.45330,29.6673,29.6673
2024-06-30,2828.52000,1953.94000,874.58010,108.03900,166.80700,707.77320,707.77300,-20.84800,728.62100,728.62100,,487.72400,741.34320,731.38220,51.68000,51.81400,9.44000,9.41000,0.16150,0.19260,25.02270,25.85740,25.02270,17.24310,0.05490,7.72750,7.71730,1.41290,6.00230,194.17590,23.4008,23.4008
2024-03-31,2599.42500,1797.04400,802.38100,106.18400,168.54000,633.84110,633.84100,15.37200,618.46900,618.46900,,359.52500,672.97310,656.94510,51.67800,51.82800,6.96000,6.94000,0.16140,0.19240,24.38390,25.27270,24.38390,13.83090,0.05100,6.83940,6.84610,1.21400,5.29640,185.09080,13.18710,13.18710
2023-12-31,3240.29000,1574.00900,1666.28100,134.46600,231.95200,1434.32900,1434.32900,-554.20600,1988.53500,1988.53500,,1553.75400,1443.84500,1457.53000,47.49300,47.60700,31.54000,31.47000,0.17160,0.20720,44.26540,44.98150,44.26550,47.95110,0.06610,22.84370,22.91040,4.05760,17.42250,179.43140,12.3706,12.3706
2023-09-30,1835.98700,1287.32100,548.66600,82.75100,122.84500,425.82100,425.82100,9.29500,416.52600,416.52600,,191.35100,400.93600,448.77200,50.26100,50.35800,3.81000,3.80000,0.19880,0.24810,23.19300,24.44310,23.19300,10.42220,0.04500,6.09080,5.66340,1.01980,4.39770,148.29050,14.1576,14.1576
2023-06-30,1853.23100,1353.75600,499.47500,80.49100,118.75700,380.71800,380.71800,5.94200,374.77600,374.77600,,188.13600,355.32900,395.61300,45.89800,45.99000,4.10000,4.09000,0.20270,0.25420,20.54350,21.34720,20.54350,10.15180,0.04480,5.63330,5.22880,0.90530,4.03640,144.63700,3.495,3.495
2023-03-31,2205.10000,1233.45700,971.64310,77.47400,102.45100,869.19200,869.19200,28.90200,840.29000,840.29000,,555.20800,848.37800,881.32600,42.87600,43.00600,12.95000,12.91000,0.16280,0.19450,39.41740,39.96760,39.41740,25.17840,0.05760,16.42620,14.92780,2.19570,11.99300,133.51400,10.13130,10.13130
2022-12-31,2030.52000,1236.15400,794.36670,71.70400,95.62400,698.74180,698.74100,5.40800,693.33300,693.33300,,447.82600,685.39580,711.12570,43.04000,43.04000,10.40000,10.40000,0.18020,0.21980,34.41200,35.02180,34.41190,22.05470,0.05560,15.15390,13.62830,1.89680,10.67370,121.80960,16.9394,16.9394
2022-09-30,1286.50400,2385.57500,-1099.07100,64.56000,87.04500,-1186.11600,-1186.11600,2.81400,-1188.93000,-1188.93000,,-825.65000,-1184.81800,-1174.01500,42.83700,42.83700,-19.27000,-19.27000,0.19330,0.23960,-92.19680,-91.25620,-92.19680,-64.17780,0.03580,-28.77460,-25.60870,-3.30850,-19.64590,111.70820,14.0858,14.0858
2022-06-30,866.97200,1067.47700,-200.50510,72.52000,96.76700,-297.27220,-297.27200,-30.53400,-266.73800,-266.73800,,-325.18500,-266.45720,-285.37720,43.17000,43.17000,-7.53000,-7.53000,0.16930,0.20380,-34.28860,-32.91650,-34.28850,-37.50810,0.02470,-5.34690,-4.85150,-0.76140,-3.86130,130.77780,2.355,2.355
