Date,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,285.12900,179.80500,105.32400,-26.34800,62.36400,42.96000,-15.98500,26.97500,0.41800,26.55700,26.55700,,23.97800,71.72700,42.96000,209.33980,210.20810,0.11000,0.11000,0.39820,0.66180,15.06690,15.06690,9.46060,8.40950,0.08960,1.60190,1.60190,0.83480,0.96390,7.99840,0.2969,0.1877
2024-06-30,309.28000,184.69400,124.58600,-27.18800,83.58000,41.00600,-15.00700,25.99900,1.36800,24.63100,24.63100,,22.07600,69.31900,41.00600,211.19550,212.01640,0.10000,0.10000,0.41560,0.71100,13.25850,13.25850,8.40630,7.13790,0.09520,1.49370,1.49370,0.75820,0.87300,7.93120,0.263,0.1832
2024-03-31,256.42300,170.14300,86.28000,-26.61800,63.83500,22.44500,-15.17700,7.26800,-1.09000,8.35800,8.35800,,5.87400,51.19600,22.44500,211.66930,212.34250,0.03000,0.03000,0.41600,0.71230,8.75310,8.75310,2.83440,2.29070,0.07920,0.50680,0.50680,0.25810,0.29600,7.85110,0.14710,0.05820
2023-12-31,263.54690,175.05100,88.49600,-25.42200,62.09990,26.39600,-15.51600,10.88000,-0.10300,10.98300,10.98300,,8.49200,55.15000,26.39600,211.51700,212.30410,0.04000,0.04000,0.41650,0.71380,10.01570,10.01570,4.12830,3.22220,0.08140,0.66610,0.66600,0.33910,0.38860,7.86630,0.2487,0.3102
2023-09-30,276.52000,173.38900,103.13100,-25.16700,60.37600,42.75500,-15.20100,27.55400,0.22400,27.33000,27.33000,,24.81800,70.89500,42.75500,211.49060,212.20500,0.12000,0.12000,0.41670,0.71440,15.46180,15.46180,9.96460,8.97510,0.08490,1.65580,1.65580,0.83930,0.96580,7.87400,0.331,0.0888
2023-06-30,291.24700,172.75700,118.49000,-27.76500,63.88900,54.60100,-15.04500,39.55600,0.42200,39.13400,39.13400,,36.51100,82.89600,54.60100,211.67380,212.16200,0.17000,0.17000,0.42020,0.72480,18.74730,18.74730,13.58160,12.53610,0.09030,2.40080,2.40080,1.21360,1.39190,7.77740,0.2651,0.1414
2023-03-31,243.55300,158.38600,85.16700,-24.11700,59.45600,25.71100,-16.74900,8.96200,-0.22600,9.18800,9.18800,,6.70200,53.63800,25.71100,211.41150,211.81470,0.03000,0.03000,0.42590,0.74190,10.55660,10.55660,3.67970,2.75180,0.07650,0.57600,0.57600,0.28860,0.33060,7.60420,0.27420,0.17200
2022-12-31,255.05500,165.63400,89.42100,-16.26200,53.52890,35.89200,-15.84500,20.04700,1.65800,18.38900,18.38900,,15.87200,64.11500,35.89200,212.42400,213.18900,0.07000,0.08000,0.42620,0.74290,14.07230,14.07230,7.85990,6.22300,0.07950,1.15210,1.15210,0.57330,0.66100,7.62350,0.2278,0.1191
2022-09-30,268.20800,164.80300,103.40500,-21.04700,55.61600,47.78900,-18.92200,28.86700,0.31200,28.55500,28.55500,,26.00200,75.43900,47.78900,212.87800,213.65700,0.12000,0.12000,0.46010,0.85220,17.81790,17.81790,10.76290,9.69470,0.07920,1.78090,1.78080,0.84330,0.96150,7.60130,0.3861,0.3087
2022-06-30,281.40700,160.64200,120.76500,-20.97700,57.09200,63.67300,-10.28100,53.39200,0.69100,52.70100,52.70100,,50.06300,91.66700,63.67300,212.83420,213.52070,0.24000,0.23000,0.42520,0.73960,22.62670,22.62670,18.97320,17.79030,0.08950,3.33160,3.33150,1.67580,1.91510,7.50000,0.2918,0.215
