Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.62450,0.68650,-0.06210,3.44190,3.44190,-3.50400,0.14060,-3.36340,-3.36340,-3.36340,-3.36340,-3.50400,-3.50400,5.39100,5.39100,-0.62000,-0.62000,5.92580,-9.93670,-561.11510,-561.11510,-538.60280,-538.60270,0.06360,1.44370,62.33810,-36.92970,-36.97030,-34.27300,-36.92970,1.65200,-0.1507,-0.1507
2024-06-30,0.55790,0.71010,-0.15220,2.12220,2.12220,-2.27440,0.06510,-2.20930,-2.20930,-2.20930,-2.20930,-2.27440,-2.27440,4.99100,4.99100,-0.44000,-0.44000,13.48640,-27.27830,-407.65770,-407.65770,-395.98950,-395.98950,0.04580,1.62140,55.50710,-18.89030,-18.90650,-18.13710,-18.89030,2.16940,-0.2148,-0.2148
2024-03-31,0.48110,0.56060,-0.07950,2.39290,2.39290,-2.47240,0.04500,-2.42740,-2.42740,-2.42740,-2.42740,-2.47240,-2.47240,4.64500,4.64500,-0.52000,-0.52000,25.68150,-16.52420,-513.90640,-513.90640,-504.55670,-504.55670,0.03740,1.37850,65.28980,-19.62910,-19.64500,-18.86570,-19.62910,2.66570,-0.29580,-0.29580
2023-12-31,0.60850,0.51370,0.09480,4.54770,6.42280,-6.32790,,-6.32790,-6.32790,-6.32790,-6.32790,-6.30710,-6.32790,0.92600,0.92600,18.26000,18.26000,32.09130,15.57500,-1039.87800,-1039.87800,-1039.87900,-1039.87800,0.04030,1.73950,51.73970,-43.28190,-43.31150,-41.92760,-43.28190,3.02760,5.6981,5.6981
2023-09-30,0.17050,0.16290,0.00760,5.37780,5.37780,-5.37020,-0.17100,-5.54120,-5.54120,-5.54120,-5.54120,-5.30770,-5.37020,0.29400,0.29400,-18.88000,-18.88000,5.24020,4.46830,-3149.49000,-3149.49000,-3249.77700,-3249.77700,0.03170,0.53510,168.17830,-117.41340,-196.24790,-102.88530,-117.41330,11.57460,-11.7746,-11.7746
2023-06-30,0.19100,0.13600,0.05510,3.61160,3.61150,-3.55650,,-3.55650,-3.55650,-3.55650,-3.55650,-3.49400,-3.55650,0.23700,0.23700,-14.99000,-14.99000,0.50400,28.82440,-1861.82300,-1861.82300,-1861.82300,-1861.82300,0.06630,0.65410,137.59370,-169.51210,-2545.02500,-123.44440,-169.51200,8.24770,-2.7508,-2.7508
2023-03-31,0.15060,0.10300,0.04760,0.36960,0.36960,-0.32210,,-0.32210,-0.32210,-0.32210,-0.32210,-0.25960,-0.32210,0.23000,0.23000,-1.40000,-1.40000,,31.59210,-213.91310,-213.91310,-213.91310,-213.91310,,,,,,,,,-1.01490,-1.01490
2022-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,4.568,4.568
2022-09-30,0.12960,0.08950,0.04000,0.49130,0.49130,-0.45120,,-0.45120,-0.45120,-0.45120,-0.45120,-0.38870,-0.45120,0.22670,0.22670,-1.99600,-1.99600,,30.89290,-348.25530,-348.25530,-348.25530,-348.25530,,,,,,,,,-0.0808,-0.0808
2022-06-30,0.07500,0.20410,-0.12910,0.41800,0.41800,-0.54710,,-0.54710,-0.54710,-0.54710,-0.54710,-0.54710,-0.54710,0.22640,0.22640,-2.39520,-2.39520,,-172.17610,-729.75260,-729.75260,-729.75260,-729.75260,,,,,,,,,-4.4872,-4.4872
