Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.01000,,0.01000,0.95000,1.23700,,-2.17700,0.01000,-2.16700,-0.21000,-1.95700,-1.95700,,-1.95700,-2.17600,-2.17700,-10.87200,-10.87200,-0.18000,-0.18000,0.77360,100.00000,-21770.00000,-21770.00000,-21670.00000,-19570.00000,0.00190,,201.75650,201.75260,-36.36870,201.75260,-0.45070,1.3988,1.3988
2024-06-30,0.00400,,0.00400,2.02300,1.62500,,-3.64400,-0.02500,-3.66900,-0.41200,-3.25700,-3.25700,,-3.25700,-3.64200,-3.64400,4.52300,4.52300,-0.72000,-0.72000,1.07250,100.00000,-91100.00000,-91100.00000,-91724.99000,-81424.99000,0.00050,,-326.01560,-326.02620,-39.76800,-326.02600,0.55350,-0.4165,-0.4165
2024-03-31,0.02900,,0.02900,2.80200,1.58200,,-4.35500,0.05500,-4.30000,-1.35400,-2.94600,-2.94600,,-2.94600,-4.35300,-4.35500,1.29800,1.29800,-2.27000,-2.27000,0.57900,100.00000,-15017.24000,-15017.24000,-14827.59000,-10158.62000,0.00470,,133.54590,133.54490,-47.78590,133.54490,-1.67370,-0.37210,-0.37210
2023-12-31,0.03100,,0.03100,3.51800,1.87300,,-5.36000,-0.33300,-5.69300,-0.42200,-5.27100,-5.27100,,-5.32200,-5.35200,-5.36000,0.85080,0.85080,-12.70000,-12.70000,0.91210,100.00000,-17290.33000,-17290.34000,-18364.53000,-17167.75000,0.00350,,-868.39190,-868.36870,-59.86370,-868.36920,0.57320,-19.9002,-19.9077
2023-09-30,0.01600,,0.01600,5.23600,1.62500,,-6.84500,0.14500,-6.70000,-0.66800,-6.03200,-6.03200,,-6.08200,-6.83800,-6.84500,-12.67000,-12.67000,-0.48000,-0.48000,1.36390,100.00000,-42781.25000,-42781.25000,-41875.00000,-38012.50000,0.00130,,-140.37710,-140.37700,-48.26760,-140.37700,5.09550,10.7194,10.7269
2023-06-30,0.37300,,0.37300,4.72700,1.57500,,-5.92900,-0.10500,-6.03400,-0.58600,-5.44800,-5.44800,,-5.49800,-5.92100,-5.92900,0.83700,0.83700,-6.57000,-6.57000,2.26710,100.00000,-1589.54400,-1589.54400,-1617.69400,-1473.99500,0.02270,,-106.07470,-106.07480,-33.13470,-106.07480,6.09040,-1.5494,-1.5493
2023-03-31,,,,5.67400,1.64500,,-7.31900,0.19500,-7.12400,-1.32000,-5.80400,-5.80400,,-5.85400,-7.31100,-7.31900,0.83600,0.83600,-7.00000,-7.00000,2.58570,,,,,,,,-57.19350,-57.19350,-26.31010,-57.19350,12.13370,-8.20690,-8.21410
2022-12-31,,,,6.70200,2.14300,,-8.84500,-0.15500,-9.00000,-1.58100,-7.41900,-7.41900,,-7.47000,-8.83700,-8.84500,0.65760,0.65760,-9.05980,-9.80940,3.25000,,,,,,,,-46.54620,-46.54620,-26.44920,-46.54620,25.38060,-8.8145,-8.8149
2022-09-30,,,,4.41300,2.05400,,-6.46700,0.35700,-6.11000,-1.01400,-5.09600,-5.09600,,-5.14600,-6.46000,-6.46700,0.68510,0.68510,-6.44680,-5.69720,6.41280,,,,,,,,-23.09330,-23.09330,-16.42760,-23.09330,26.38490,-10.0021,-10.002
2022-06-30,,,,4.20500,1.58000,,-5.78500,0.22600,-5.55900,-0.98400,-4.57500,-4.57500,,-4.62500,-5.77700,-5.78500,0.67610,0.67610,-6.89660,-6.89660,6.38220,,,,,,,,-15.14550,-15.14550,-12.94350,-15.14550,39.90120,-2.6892,-2.6935
2022-03-31,,,,4.95400,1.60500,,-6.55900,1.31300,-5.24600,-1.13800,-4.10800,-4.10800,,-4.15800,-6.55000,-6.55900,0.66650,0.66650,-6.29690,-6.29690,5.89570,,,,,,,,-12.29570,-12.29570,-10.36620,-12.29570,50.12510,-10.16450,-10.17050
2021-12-31,,,,4.04400,1.94200,,-5.98600,0.04200,-5.94400,-1.07900,-4.86500,-4.86500,,-4.91600,-5.97900,-5.98600,0.59540,0.59540,-7.34630,-7.34630,7.56360,,,,,,,,-12.90690,-12.90690,-11.27830,-12.90690,56.55080,-8.7489,-8.7543
2021-09-30,,,,4.21700,1.78100,,-5.99800,0.01300,-5.98500,-0.99800,-4.98700,-4.98700,,-5.03700,-5.98800,-5.99800,0.62480,0.62480,-8.09600,-8.09600,12.07880,,,,,,,,-12.05640,-12.05640,-11.08250,-12.05640,63.29350,-9.7577,-9.7717
2021-06-30,,,,4.10100,1.99900,,-6.10000,0.00900,-6.09100,-0.96400,-5.12700,-5.12700,,-5.17700,-6.08300,-6.10000,0.61590,0.61590,-8.39580,-8.39580,14.81820,,,,,,,,-11.86370,-11.86370,-11.06530,-11.86370,70.16630,-5.0056,-4.8648
2021-03-31,,,,2.56600,1.73900,,-4.30500,0.14000,-4.16500,-0.68700,-3.47800,-3.47800,,-3.52800,-4.29600,-4.30500,0.46750,0.46750,-7.49630,-7.49630,18.20460,,,,,,,,-7.23840,-7.23840,-6.71210,-7.23840,78.01330,-7.62780,-7.79460
2020-12-31,,,,1.41500,1.75300,,-3.16800,-0.01400,-3.18200,-0.37900,-2.80300,-2.80300,,-6.62900,-3.16400,-3.16800,0.24230,0.24230,-13.34330,-13.34330,14.26750,,,,,,,,-8.42780,-8.42780,-7.61640,-8.42780,79.82000,-11.8373,-12.067
2020-09-30,,,,1.07500,1.49700,,-2.57200,0.03500,-2.53700,-0.28100,-2.25600,-2.25600,,-2.30600,-2.56600,-2.57200,0.32440,0.32440,-7.04650,-7.04650,15.14840,,,,,,,,-9.23150,-9.23150,-8.29020,-9.23150,75.32650,-2.7849,-2.9358
2020-06-30,,,,1.16300,1.30900,,-2.47200,0.02000,-2.45200,-0.28600,-2.16600,-2.16600,,-2.21600,-2.46700,-2.47200,0.25680,0.25680,-8.69570,-8.69570,18.47420,,,,,,,,-8.14960,-8.14960,-7.42520,-8.14960,81.92250,30.8153,30.8695
2020-03-31,,,,1.10600,1.31800,,-2.42400,0.91400,-1.51000,-0.29000,-1.22000,-1.22000,,-1.27000,-2.41900,-2.42400,0.05740,0.05740,-22.18890,-22.18890,7.75510,,,,,,,,-11.74090,-11.74090,-9.39400,-11.74090,181.14820,-48.93480,-49.00460
2019-12-31,,,,1.43000,1.36300,,-2.79300,0.04100,-2.75200,-0.44800,-2.30400,-2.30400,,-2.35500,-2.78800,-2.79300,0.05440,0.05440,-40.03000,-40.03000,5.79210,,,,,,,,-19.69740,-19.69740,-15.05100,-19.69740,203.91550,-28.3532,-28.2223
2019-09-30,,,,1.06300,1.28500,,-2.34800,0.17400,-2.17400,-0.27300,-1.90100,-1.90100,,-1.95100,-2.34300,-2.34800,0.05740,0.05740,-34.03300,-34.03300,7.64650,,,,,,,,-13.72360,-13.72370,-11.13190,-13.72370,241.48390,-35.0578,-35.1276
2019-06-30,,,,1.15300,1.18400,,-2.33700,0.24700,-2.09000,-0.30700,-1.78300,-1.78300,,-1.83300,-2.33300,-2.33700,0.05740,0.05740,-31.93400,-31.93400,7.26000,,,,,,,,-11.33430,-11.33430,-9.16050,-11.33430,274.24080,-29.1637,-29.304
2019-03-31,,,,1.01200,1.19200,,-2.20400,0.09400,-2.11000,-0.26800,-1.84200,-1.84200,,-1.89200,-2.19800,-2.20400,0.04550,0.04550,-41.52920,-41.52920,8.09170,,,,,,,,-10.49270,-10.49270,-8.56350,-10.49270,306.03880,-80.99660,-80.40300
2018-12-31,,,,1.14200,1.47400,,-2.61600,0.09500,-2.37100,-0.35200,-2.01900,-2.01900,,-2.12000,-2.60900,-2.46600,0.04030,0.04030,-47.97600,-47.97600,4.44550,,,,,,,,-13.22030,-13.22030,-10.18510,-13.22030,366.43280,-49.544,-49.6861
2018-09-30,,,,1.20500,1.25000,,-2.45500,0.08600,-2.36900,-0.30100,-2.06800,-2.06800,,-2.11800,-2.44800,-2.45500,0.04000,0.04000,-53.97300,-53.97300,5.16340,,,,,,,,-12.45930,-12.45930,-9.98700,-12.45930,414.84640,-18.0705,-18.1205
2018-06-30,,,,1.18200,1.28300,,-2.46500,0.11100,-2.35400,-0.50200,-1.85200,-1.85200,,-1.90200,-2.45700,-2.46500,0.04000,0.04000,-47.97600,-47.97600,5.68030,,,,,,,,-9.94420,-9.94420,-8.14780,-9.94420,465.48380,-45.0637,-45.2887
2018-03-31,,,,0.79800,1.36400,,-2.16200,0.63100,-1.53100,-0.18200,-1.34900,-1.34900,,-1.34900,-2.15500,-2.16200,0.04000,0.04000,-35.98200,-35.98200,5.80840,,,,,,,,-6.61440,-6.61440,-5.44460,-6.61440,509.74770,-53.46170,-54.01150
2017-12-31,,,,0.74500,1.45200,,-2.19700,0.12600,-2.07100,-0.20000,-1.87100,-1.87100,,-2.08600,-2.19000,-2.19700,0.02540,0.02540,-47.97600,-47.97600,6.31510,,,,,,,,-8.59600,-8.59600,-7.19530,-8.59600,544.01420,-133.5495,-133.725
2017-09-30,,,,0.95800,1.15400,,-2.11200,0.03600,-2.07600,-0.21900,-1.85700,-1.85700,,-8.91800,-2.10400,-2.11200,0.03280,0.03280,-272.86360,-272.86360,6.52220,,,,,,,,-7.91630,-7.91630,-6.66760,-7.91630,601.34090,110.8775,110.6773
2017-06-30,,,,1.22200,1.26700,,-2.48900,0.03400,-2.45500,-0.26800,-2.18700,-2.18700,,-2.23700,-2.48100,-2.48900,0.01480,0.01480,-149.92500,-149.92500,3.71640,,,,,,,,-18.79510,-18.79510,-13.59820,-18.79510,785.82330,-3.7596,-3.7544
2017-03-31,,,,1.31200,1.38100,,-2.69300,0.83200,-1.86100,-0.30600,-1.55500,-1.55500,,-1.60500,-2.68400,-2.69300,0.01420,0.01420,-113.94300,-113.94300,4.12650,,,,,,,,-12.13140,-12.13140,-9.10790,-12.13140,899.48010,-267.48510,-267.62550
2016-12-31,0.27700,,0.27700,1.93200,1.51400,,-3.16900,-0.08000,-3.24900,-0.41000,-2.83900,-2.83900,,-2.88900,-3.14500,-3.16900,0.01140,0.01140,-176.91160,-176.91160,3.73020,100.00000,-1144.04300,-1144.04300,-1172.92400,-1042.96000,0.01410,,-19.89070,-19.89070,-14.43900,-19.89070,1005.34700,-266.464,-265.6761
2016-09-30,0.20500,,0.20500,2.40900,1.27300,,-3.47700,0.07700,-3.40000,-0.45400,-2.94600,-2.94600,,-2.99600,-3.44300,-3.47700,0.01160,0.01160,-257.87110,-257.87110,4.05370,100.00000,-1696.09800,-1696.09800,-1658.53700,-1461.46400,0.00900,,-17.38980,-17.38980,-13.00550,-17.38980,1194.95700,-197.836,-197.836
