Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1366.00000,1366.00000,278.00000,-563.00000,335.00000,-91.00000,244.00000,64.00000,180.00000,180.00000,,171.00000,534.00000,335.00000,32.02000,32.44100,5.34000,5.27000,1.67970,0.74900,3.03990,100.00000,24.52420,24.52420,17.86240,12.51830,0.11680,1.34450,66.94000,8.16700,-3.21720,1.53940,2.05010,70.02160,12.2834,11.3261
2024-06-30,1269.00000,1269.00000,269.00000,-552.00000,240.00000,-91.00000,149.00000,43.00000,106.00000,106.00000,,118.00000,448.00000,240.00000,32.81600,33.28700,3.59000,3.54000,1.77780,0.74490,2.97410,100.00000,18.91250,18.91250,11.74150,9.29870,0.10740,1.21090,74.32620,4.64910,-1.90070,0.89690,1.18610,70.18410,5.467,4.3268
2024-03-31,1284.00000,1284.00000,271.00000,-548.00000,275.00000,-47.00000,228.00000,61.00000,167.00000,167.00000,,175.00000,465.00000,275.00000,33.44900,34.02400,5.25000,5.16000,1.79780,0.74030,2.90280,100.00000,21.41740,21.41740,17.75700,13.62930,0.10750,1.22170,73.66820,7.11850,-2.99230,1.39810,1.84900,71.00920,8.11190,6.81870
2023-12-31,1304.00000,1304.00000,287.00000,-541.00000,231.00000,-84.00000,147.00000,48.00000,99.00000,99.00000,,114.00000,444.00000,231.00000,35.31700,35.83400,3.36000,3.33000,1.52550,0.74370,2.95590,100.00000,17.71470,17.71470,11.27300,8.74230,0.10800,1.19090,75.57520,4.28020,-1.75810,0.81970,1.09680,68.83720,4.778,3.8149
2023-09-30,1132.00000,1132.00000,281.00000,-537.00000,94.00000,-80.00000,14.00000,6.00000,8.00000,8.00000,,25.00000,322.00000,94.00000,34.93100,35.36700,0.71000,0.70000,1.57280,0.74190,2.92670,100.00000,8.30390,8.30390,1.23670,2.20850,0.09400,1.27050,70.83920,0.34100,-0.13890,0.06640,0.08800,68.60850,4.4026,3.328
2023-06-30,1240.00000,1240.00000,262.00000,-537.00000,179.00000,-69.00000,110.00000,35.00000,75.00000,75.00000,,96.00000,441.00000,179.00000,35.78800,36.31400,2.68000,2.64000,1.88160,0.72540,2.69020,100.00000,14.43550,14.43550,8.87100,7.74190,0.10070,1.31360,68.51610,2.92630,-1.34050,0.60930,0.80350,72.44000,5.5064,4.3473
2023-03-31,1257.00000,1257.00000,266.00000,-538.00000,204.00000,-74.00000,130.00000,42.00000,88.00000,88.00000,,111.00000,453.00000,204.00000,36.71800,37.44800,3.03000,2.97000,1.96530,0.71930,2.60950,100.00000,16.22910,16.22910,10.34210,8.83050,0.10090,1.24700,72.17180,3.31700,-1.57730,0.70600,0.93100,73.72720,13.19160,12.23030
2022-12-31,1487.00000,1487.00000,328.00000,-501.00000,293.00000,-48.00000,245.00000,68.00000,177.00000,177.00000,,203.00000,527.00000,293.00000,39.34900,40.18700,5.42000,5.31000,1.80850,0.71140,2.51030,100.00000,19.70410,19.70410,16.47610,13.65170,0.11730,1.37690,65.36650,6.39220,-3.19730,1.39600,1.84450,75.22410,4.9573,2.4409
2022-09-30,1269.00000,1269.00000,260.00000,-511.00000,356.00000,14.00000,370.00000,82.00000,288.00000,288.00000,,289.00000,509.00000,356.00000,38.76700,39.56000,7.45000,7.30000,1.82090,0.70520,2.43430,100.00000,28.05360,28.05360,29.15680,22.77380,0.09690,1.28580,69.99290,9.76800,-5.21340,2.19880,2.87960,77.02600,10.1881,9.2376
2022-06-30,1245.00000,1245.00000,266.00000,-502.00000,334.00000,-36.00000,298.00000,72.00000,226.00000,226.00000,,227.00000,477.00000,334.00000,40.20300,40.92800,5.66000,5.56000,1.95140,0.71250,2.52130,100.00000,26.82730,26.82730,23.93570,18.23290,0.09640,1.30890,68.76150,7.87700,-3.99230,1.74980,2.26480,72.77550,7.4045,7.6555
