Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.71100,0.71100,0.38400,-0.03580,0.29120,0.29810,0.58930,0.12550,0.46380,0.46380,0.46380,0.29120,0.29120,6.38500,6.50200,0.07000,0.07000,6.82900,,100.00000,40.95160,40.95160,82.87830,65.22770,0.03500,4.66240,19.30320,2.33650,2.33650,2.28010,2.33650,3.10870,-0.3525,-0.3525
2024-06-30,0.88860,0.88860,0.36390,-0.03410,0.49060,0.05710,0.54770,0.13470,0.41290,0.41290,0.41290,0.49060,0.49060,6.38500,6.50200,0.06000,0.06000,21.82960,,100.00000,55.20530,55.20530,61.63140,46.46890,0.04520,4.99810,18.00670,2.13020,2.13020,2.10060,2.13020,3.03610,0.7567,0.7567
2024-03-31,0.83270,0.83270,0.32320,-0.03760,0.47160,0.07620,0.54780,0.16570,0.38210,0.38210,0.38210,0.47190,0.47190,6.38500,6.50200,0.06000,0.06000,383.83160,,100.00000,56.63490,56.67330,65.79170,45.88910,0.04380,0.04790,1880.07200,2.01400,2.01400,2.00890,2.01400,2.97140,0.01980,0.01980
2023-12-31,0.80190,0.80190,0.79590,-0.04150,-0.03550,-1.27090,-1.30640,-0.41870,-0.88770,-0.88770,-0.88770,-0.03550,-0.03550,6.36600,6.36600,-0.13000,-0.13000,2.06230,,100.00000,-4.42330,-4.42330,-162.90310,-110.69840,0.04200,3.03290,29.67420,-4.77530,-4.77530,-4.64620,-4.77530,2.91160,-0.0921,-0.0921
2023-09-30,0.72520,0.72520,0.38000,-0.04130,0.30380,0.00220,0.30600,-0.06360,0.36960,0.36960,0.36960,0.30380,0.30380,6.24200,6.35800,0.06000,0.06000,11.99010,,100.00000,41.89230,41.89230,42.19220,50.96270,0.03700,3.30810,27.20570,1.89730,1.89730,1.88390,1.89730,3.05060,-0.0885,-0.0885
2023-06-30,0.90750,0.90750,0.47910,-0.04760,0.33750,0.02030,0.35770,0.28700,0.07070,0.07070,0.07070,0.38080,0.38080,6.18500,6.18500,0.01000,0.01000,18.79140,,100.00000,37.18530,41.96020,39.41820,7.79290,0.04830,2.93410,30.67420,0.37850,0.37850,0.37650,0.37850,3.02090,0.5516,0.5516
2023-03-31,0.86400,0.86400,1.80910,-0.04600,-1.02580,0.04840,-0.97730,-0.25930,-0.71800,-0.71800,-0.71800,-0.99110,-0.99110,6.18500,6.18500,-0.12000,-0.12000,0.46110,0.14770,100.00000,-118.71920,-114.70700,-113.11490,-83.10430,0.04020,2.35820,38.16450,-3.85760,-3.85760,-3.33850,-3.85760,3.00950,-0.54970,-0.54970
2022-12-31,0.84750,0.84750,1.09100,-0.04560,-0.32350,-0.80070,-1.12420,-0.33720,-0.78700,-0.78700,-0.78700,-0.28910,-0.28910,5.33300,5.33300,-0.17000,-0.17000,2.11460,,100.00000,-38.16960,-34.11300,-132.64460,-92.86350,0.04520,3.37820,26.64150,-4.40380,-4.40380,-4.20090,-4.40380,2.88950,0.2496,0.2496
2022-09-30,1.11520,1.11520,1.08740,-0.04560,-0.06460,,-0.06460,-0.02840,-0.03610,-0.03610,-0.03610,-0.01780,-0.01780,5.51300,5.51300,-0.01000,-0.01000,1.22770,0.12400,100.00000,-5.78970,-1.59510,-5.78970,-3.23930,0.05250,1.18730,75.80260,-0.19360,-0.19360,-0.17000,-0.19360,3.01670,-0.4648,-0.4648
2022-06-30,1.23650,1.23650,0.40830,-0.04610,0.73430,,0.73430,0.21620,0.51800,0.51800,0.51800,0.78200,0.78200,4.82100,4.82100,0.11000,0.11000,0.61800,0.14380,100.00000,59.38110,63.24630,59.38110,41.89290,0.07350,2.81390,31.98370,3.59060,3.59060,3.07960,3.59060,1.32900,0.7978,0.7978
2022-03-31,1.00020,1.00020,0.43200,-0.04690,0.45440,0.11670,0.57110,0.15900,0.41210,0.41210,0.41210,0.52130,0.52130,4.79600,4.79600,0.09000,0.09000,0.12730,0.38510,100.00000,45.42940,52.12200,57.09930,41.20260,0.04760,1.77660,50.65890,2.98070,2.98070,1.96230,2.98070,1.28140,-1.49920,-1.49920
2021-12-31,0.67820,0.67820,0.27680,-0.04490,0.34710,-0.03010,0.31690,0.04370,0.27320,0.27320,0.27320,0.34710,0.35660,4.79500,4.79500,0.35000,0.35000,0.80250,,100.00000,51.17220,52.57450,46.73100,40.28460,0.04060,2.09100,43.04210,2.03840,2.03680,1.63620,2.03680,2.79690,-0.1208,-0.1208
2021-09-30,0.75560,0.75560,0.19500,-0.04460,0.51600,-0.48500,0.03100,-0.00030,0.03130,0.03130,0.03130,0.51600,0.51600,4.79600,4.79600,0.01000,0.01000,1.85700,,100.00000,68.29250,68.29250,4.10110,4.14080,0.04850,1.42190,63.29770,0.23810,0.23810,0.20090,0.23810,1.21790,0.0413,0.0413
2021-06-30,0.67550,0.67550,0.20600,-0.04420,0.42540,0.70470,1.13010,0.34860,0.78150,0.78150,0.78150,0.42540,0.42540,10.79000,10.79000,0.07000,0.07000,1.78730,,100.00000,62.97000,62.97000,167.28510,115.68460,0.04350,1.58510,56.77960,5.50800,5.50800,5.03280,5.50800,1.31500,0.0943,0.0943
2021-03-31,0.54680,0.54680,0.49290,-0.04100,0.01300,2.39470,2.40770,0.66270,1.74500,1.74500,1.74500,0.01300,0.01300,10.78600,10.78600,0.16000,0.16000,1.33040,,100.00000,2.37440,2.37440,440.29780,319.11270,0.03760,2.60340,34.56980,13.03080,13.03080,11.99270,13.03080,1.24150,-0.40810,-0.40810
2020-12-31,0.54220,0.54220,0.19530,-0.04010,0.30660,1.30050,1.60720,,1.31880,1.31880,1.31880,0.30680,0.30660,10.86900,10.86900,0.13000,0.13000,6.71610,,100.00000,56.55550,56.55550,296.43490,243.24090,0.04330,6.36170,14.14720,11.32880,11.32880,10.54100,11.32880,1.07930,0.3145,0.3145
2020-09-30,0.28700,0.28700,0.14310,-0.03720,0.10610,0.47730,0.58330,,0.58330,0.58330,0.58330,0.10670,0.10610,10.69700,10.69700,0.05000,0.05000,47.14490,,100.00000,36.96010,36.96010,203.23170,203.23170,0.02640,1.22450,73.49720,5.39880,5.39880,5.37050,5.39880,1.01010,-0.2234,-0.2234
2020-06-30,0.28350,0.28350,0.17600,-0.03720,0.06950,0.52380,0.59340,,0.59340,0.59340,0.59340,0.07020,0.06950,10.88200,10.88200,0.05000,0.05000,2.89280,,100.00000,24.53500,24.53500,209.33410,209.33410,0.02370,1.24440,72.32650,5.80500,5.80500,4.96060,5.80500,0.95560,-0.0431,-0.0431
