Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1272.04500,1272.04500,0.86100,56.72900,-343.91600,346.61000,42.50200,389.11200,93.30900,295.80300,295.80300,,295.80300,884.07700,346.61000,97.90500,98.22400,3.02000,3.01000,0.45390,0.42060,0.72600,100.00000,27.24830,27.24830,30.58950,23.25410,0.08480,1.69540,53.08370,4.43580,4.43580,1.97100,2.57000,68.68280,8.7419,2.8475
2024-06-30,1312.69400,1312.69400,1.34000,59.13500,-344.26200,386.86690,-103.88500,282.98200,66.99300,215.98900,215.98900,,215.98900,921.00090,386.86690,99.42600,100.24500,2.17000,2.15000,0.41650,0.42610,0.74240,100.00000,29.47120,29.47120,21.55740,16.45390,0.08730,1.66800,53.95560,3.27950,3.27950,1.43600,1.88220,66.96650,3.6708,-0.9105
2024-03-31,1329.20300,1329.20300,11.53400,57.87800,-366.11900,426.83200,-215.99200,210.84000,35.01900,175.82100,175.82100,,175.82100,906.01700,426.83200,100.54600,101.29300,1.75000,1.74000,0.37020,0.40080,0.66880,100.00000,32.11190,32.11190,15.86210,13.22760,0.08810,1.60150,56.19880,2.64990,2.64990,1.16560,1.58790,66.29360,8.02180,3.29580
2023-12-31,1126.77600,1126.77600,0.63200,54.52400,-315.20500,339.78100,39.11500,378.89590,76.02800,302.86800,302.86800,,302.86800,760.00200,339.78090,86.24000,86.98800,3.31000,3.28000,1.15800,0.43640,0.77420,100.00000,30.15520,30.15510,33.62660,26.87920,0.07990,1.49600,60.16020,4.89970,4.89970,2.14840,2.76160,65.91650,10.1662,3.1993
2023-09-30,1035.91600,1035.91600,0.42900,36.15400,-299.66600,379.19810,-209.84000,169.35800,29.68600,139.67200,139.67200,,139.67200,703.06810,379.19810,88.91100,89.63100,1.57000,1.56000,0.46980,0.38060,0.61450,100.00000,36.60510,36.60510,16.34860,13.48300,0.08070,1.37810,65.30920,2.31990,2.31990,1.08770,1.43690,64.20500,4.7742,2.3881
2023-06-30,660.52600,660.52600,0.54600,33.54100,-214.20900,179.44400,4.20600,183.65000,44.36300,139.28700,139.28700,,139.28700,413.38500,179.44400,80.39300,81.14400,1.73000,1.72000,2.79520,0.37660,0.60410,100.00000,27.16680,27.16680,27.80360,21.08730,0.06490,2.18780,41.13700,2.76000,2.76000,1.36950,1.72060,62.90980,4.2589,0.6454
2023-03-31,656.02200,656.02200,0.57100,36.85800,-176.23300,241.05700,26.49300,267.55000,65.08900,202.46100,202.46100,,202.46100,443.50990,241.05700,81.71900,82.43000,2.48000,2.46000,0.90380,0.07160,0.07720,100.00000,36.74530,36.74530,40.78370,30.86190,0.08550,1.93990,46.39300,3.96850,3.96850,2.63790,3.68420,63.53520,6.53710,3.19470
2022-12-31,814.27300,814.27300,0.54500,40.79500,-202.05900,355.87710,19.52600,375.40300,93.53500,281.86800,281.86800,,281.86790,572.01910,355.87700,85.00500,85.60400,3.31000,3.29000,1.12780,0.06820,0.07320,100.00000,43.70490,43.70490,46.10280,34.61590,0.10210,1.69880,52.97790,5.24510,5.24510,3.53600,4.88740,63.13350,5.9696,5.7051
2022-09-30,1007.95100,1007.95100,4.35500,37.29600,-225.78400,528.44600,13.64400,542.09000,136.33800,405.75200,405.75200,,405.75200,741.65490,528.44600,85.06900,85.55400,4.77000,4.74000,0.93610,0.06960,0.07480,100.00000,52.42780,52.42780,53.78140,40.25510,0.13110,2.29420,39.22930,7.72340,7.72340,5.27720,7.18600,61.72990,8.3,5.1582
2022-06-30,1151.36400,1151.36400,1.55300,29.66600,-217.88800,697.73800,-76.45300,621.28500,152.46400,468.82100,468.82100,,468.82100,903.35900,697.73800,84.99300,85.55400,5.52000,5.48000,0.69160,0.07290,0.07860,100.00000,60.60100,60.60100,53.96080,40.71880,0.15530,2.18080,41.26870,9.39040,9.39040,6.32310,8.70600,58.71380,8.4251,5.9892
2022-03-31,817.81000,817.81000,0.52800,35.72000,-194.72300,401.97900,-286.97900,115.00000,23.36100,91.63900,91.63900,,91.63900,587.91700,401.97900,84.84000,85.32600,1.08000,1.07000,0.50470,0.09590,0.10610,100.00000,49.15310,49.15310,14.06200,11.20540,0.11630,1.69210,53.18780,1.97600,1.97600,1.30280,1.78650,54.59650,6.24130,-0.33140
2021-12-31,510.45700,510.45700,2.78100,32.01300,-174.86600,163.29890,68.09900,231.39800,67.69800,163.70000,163.70000,,163.70000,301.72390,163.29900,37.15500,37.74600,4.34000,4.27000,0.64310,0.09550,0.10560,100.00000,31.99070,31.99070,45.33150,32.06930,0.07570,1.19080,75.57680,3.51670,3.51670,2.42840,3.18070,55.04120,1.101,0.5195
2021-09-30,189.96300,189.96300,1.51300,11.72400,-47.25600,93.86600,-37.61100,56.25500,15.59600,40.65900,40.65900,,40.65900,129.90700,93.86600,30.84900,31.13800,1.32000,1.31000,0.61010,0.10140,0.11290,100.00000,49.41280,49.41280,29.61370,21.40360,0.09810,1.88220,47.81640,2.86890,2.86890,2.09900,2.57780,45.92660,3.5786,2.0971
2021-06-30,156.03500,156.03500,3.54700,12.14400,-63.92700,41.41100,-77.12200,-35.71100,-10.39200,-25.31900,-25.31900,,-25.31900,76.85000,41.41100,30.65500,30.65500,-0.83000,-0.83000,0.61660,0.12560,0.14370,100.00000,26.53960,26.53960,-22.88650,-16.22650,0.08140,1.59850,56.30370,-1.82790,-1.82790,-1.32130,-1.59830,44.90560,0.5336,0.0354
2021-03-31,74.15900,74.15900,0.09600,9.25100,-22.50200,23.48700,-23.65000,-0.16300,-0.04400,-0.11900,-0.11900,,-0.11900,42.40300,23.48700,20.83900,20.83900,-0.01000,-0.01000,1.11270,,,100.00000,31.67110,31.67110,-0.21980,-0.16050,0.06140,1.39560,64.49000,-0.01140,-0.01140,-0.00980,-0.01140,50.22840,2.06170,0.67260
2020-12-31,62.63500,62.63500,0.04500,9.09100,-28.50200,1.06100,-5.66900,-4.60800,-65.23600,60.62800,60.62800,,60.62800,25.08900,1.06100,20.77400,20.91200,2.89000,2.86000,1.24060,,,100.00000,1.69390,1.69400,-7.35690,96.79570,0.05300,1.32080,68.13910,5.80030,5.80030,5.12580,5.80030,50.15850,2.262,1.9624
2020-09-30,58.85800,58.85800,0.06600,8.03100,-8.29100,19.03100,-11.09100,7.94000,4.68900,3.25100,3.25100,,3.25100,42.56200,19.03100,20.83200,20.90300,0.16000,0.16000,1.25610,0.01990,0.02030,100.00000,32.33380,32.33380,13.49010,5.52350,0.05120,1.22360,73.55450,0.33070,0.33070,0.28300,0.32410,47.18020,2.0475,1.8001
2020-06-30,36.19200,36.19200,0.11200,8.38500,-16.66800,-11.25600,-27.64600,-38.90200,,-38.90200,-38.90200,,-38.90200,11.58400,-11.25600,20.77600,20.77600,-1.87000,-1.87000,1.74020,0.05600,0.05930,100.00000,-31.10080,-31.10080,-107.48780,-107.48780,0.03040,0.75640,118.97800,-3.97760,-3.97760,-3.26840,-3.75490,46.96240,0.9637,-0.241
2020-03-31,60.40500,60.40500,0.37300,9.42900,-49.00000,-19.98100,98.53200,78.55100,,78.55100,78.55100,,78.55100,1.72600,-19.98100,20.64900,20.68400,3.80000,3.80000,1.71070,0.05490,0.05800,100.00000,-33.07840,-33.07840,130.04060,130.04060,0.04780,0.96390,93.37180,7.72820,7.72820,6.21410,7.30420,49.20930,2.32030,1.02120
2019-12-31,79.66700,79.66700,0.25900,9.66700,-29.82200,18.02300,-20.87800,-2.85500,,-2.85500,-2.85500,,-2.85500,40.03500,18.02300,20.61200,20.68100,-0.14000,-0.15000,1.05520,0.07870,0.08540,100.00000,22.62290,22.62290,-3.58370,-3.58370,0.06600,0.97330,92.46610,-0.30480,-0.30480,-0.23670,-0.28080,45.37350,2.9793,0.1311
2019-09-30,75.17600,75.17600,0.03300,9.92000,-22.00700,23.31600,12.57700,35.89300,,35.89300,35.89300,,35.89300,43.33900,23.31600,20.63400,20.67800,1.74000,1.74000,1.14850,0.07860,0.08530,100.00000,31.01520,31.01520,47.74530,47.74530,0.06270,0.92440,97.36030,3.82690,3.82690,2.99170,3.52610,45.45310,2.8286,-0.7507
2019-06-30,85.78300,85.78300,0.40800,9.80300,-22.01900,34.65500,6.36700,41.02200,,41.02200,41.02200,,41.02200,53.67600,34.65500,20.61800,20.66400,1.99000,1.99000,1.05480,0.06740,0.07220,100.00000,40.39850,40.39850,47.82070,47.82070,0.07490,1.33440,67.44730,4.55800,4.55800,3.58170,4.25100,43.61970,3.0251,-1.0957
2019-03-31,72.59400,72.59400,0.09700,10.27800,-16.89600,29.56400,-36.55700,-6.99300,,-6.99300,-6.99300,,-6.99300,45.44800,29.56400,20.55700,20.55700,-0.34000,-0.34000,1.19010,0.07040,0.07570,100.00000,40.72510,40.72510,-9.63300,-9.63300,0.06580,0.99250,90.67570,-0.81490,-0.81490,-0.63380,-0.75750,41.74070,2.02950,0.24000
2018-12-31,66.21200,66.21200,0.04700,12.10400,-10.83500,29.40200,76.69200,106.09400,,106.09400,106.09400,,106.09400,43.25600,29.40200,20.50700,20.60300,5.17000,5.14000,1.35520,0.05470,0.05790,100.00000,44.40590,44.40590,160.23380,160.23380,0.06240,0.83420,107.89340,12.28060,12.28060,9.99440,11.60880,42.05180,2.4107,-2.8554
2018-09-30,74.38000,74.38000,-0.00600,10.89900,-19.86400,32.63600,10.72700,43.36300,,43.36300,43.36300,,43.36300,43.62300,32.63600,20.54100,20.63100,2.11000,2.10000,0.86380,,,100.00000,43.87740,43.87740,58.29930,58.29930,0.07930,0.98910,90.99580,5.73890,5.73890,4.62080,5.73890,36.77940,1.2028,3.0063
2018-06-30,71.87200,71.87200,0.22100,9.91700,-24.77100,27.39900,-22.54000,4.85900,,4.85900,4.85900,,4.85900,36.96300,27.39900,20.48800,20.60300,0.24000,0.24000,0.82650,0.07790,0.08450,100.00000,38.12190,38.12190,6.76060,6.76060,0.07750,1.36230,66.06240,0.68400,0.68400,0.52390,0.63070,34.59600,1.2689,-1.398
2018-03-31,64.19300,64.19300,0.02900,9.53300,-24.16600,22.95700,-9.08700,13.87000,,13.87000,13.87000,,13.87000,30.46500,22.95700,20.45400,20.47000,0.68000,0.68000,0.56750,0.02090,0.02130,100.00000,35.76250,35.76250,21.60670,21.60670,0.07360,1.33350,67.49050,1.97240,1.97240,1.58990,1.93120,34.38020,0.77690,-1.07190
2017-12-31,50.18900,50.18900,3.38600,11.35600,-18.12800,8.19300,-14.33700,-6.14400,,-5.76800,-5.76800,,-5.76800,17.31900,8.19300,69.98600,71.39800,-2.91000,-2.91000,0.59580,,,100.00000,16.32430,16.32430,-12.24170,-11.49260,0.06040,1.55000,58.06450,-0.83800,-0.83800,-0.69460,-0.83800,33.65280,0.5217,1.9266
2017-09-30,45.23200,45.23200,,15.18100,-15.34200,7.35900,-3.03100,4.32800,,4.32800,4.32800,,4.32800,14.70900,7.35900,20.43900,20.44700,0.21000,0.21000,0.95400,,,100.00000,16.26950,16.26950,9.56840,9.56840,0.05630,1.51120,59.55500,0.62450,0.62450,0.53830,0.62450,33.88580,0.7504,-1.107
2017-06-30,44.14400,44.14400,0.65100,19.13700,-15.71400,-3.04700,96.40300,93.35600,,93.35600,93.35600,,93.35600,9.01600,-3.04700,20.36900,20.36900,4.58000,4.58000,1.65630,,,100.00000,-6.90240,-6.90240,211.48060,211.48060,0.05610,2.05480,43.79920,13.60060,13.60060,11.86910,13.60060,33.59820,-1.4809,-2.188
2017-03-31,52.55900,52.55900,3.40700,12.09400,-17.94200,-2.09600,-92.18000,-94.27600,,-94.27600,-94.27600,,-94.27600,19.11600,-2.09600,49.45200,49.45200,-1.91000,-1.91000,0.44340,,-2.59620,100.00000,-3.98790,-3.98790,-179.37180,-179.37180,0.04630,2.09590,42.94090,127.70200,127.70210,-8.30500,127.70200,-1.47770,0.31650,0.23430
2016-12-31,47.26600,47.26600,0.00300,27.47400,-43.37100,-50.19500,-17.13900,-67.33400,,-67.33400,-67.33400,,-67.33400,-23.10700,-50.19500,49.26800,49.26800,-1.37000,-1.37000,0.10500,,51.69530,100.00000,-106.19670,-106.19680,-142.45760,-142.45760,0.04170,2.22290,40.48720,-353.25580,-353.25470,-5.93520,-353.25530,0.38380,-0.3243,-0.4122
2016-09-30,49.32500,49.32500,,18.67100,-26.23700,-22.87900,-12.02300,-34.90200,,-34.90200,-34.90200,,-34.90200,4.84300,-22.87900,49.32400,49.32400,-0.71000,-0.71000,0.16040,,12.06690,100.00000,-46.38420,-46.38420,-70.75930,-70.75930,0.04030,1.81980,49.45480,-41.17940,-41.17940,-2.85050,-41.17940,191.65120,0.3204,0.2202
2016-06-30,54.53000,54.53000,0.67700,13.23500,-28.42400,-18.73300,-30.74400,-49.47700,,-49.47700,-49.47700,,-49.47700,13.86500,-18.73300,49.27700,49.27700,-1.00000,-1.00000,0.19320,,9.05320,100.00000,-34.35360,-34.35360,-90.73350,-90.73350,0.04200,1.64590,54.68160,-41.99940,-41.99940,-3.81130,-41.99940,266.76080,-0.2405,-0.4043
