Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1.04500,2.00300,,-3.04800,0.34000,-2.70800,,-2.70800,-2.70800,-2.70800,-2.98900,-3.04800,5.31000,5.31000,-0.51000,-0.51000,0.05140,,44.70860,44.70860,-133.72840,44.70860,-1.14070,-0.516,-0.516
2024-06-30,0.92200,2.06000,,-2.98200,0.44100,-2.54100,,-2.54100,-2.54100,-2.54100,-2.91800,-2.98200,4.75000,4.75000,-0.59970,-0.59970,0.49620,,72.04430,72.04420,-44.71230,72.04420,-0.66390,-0.2898,-0.2898
2024-03-31,0.96100,1.51300,,-2.47400,-0.92700,-3.40100,,-3.40100,-3.40100,-3.40100,-2.41000,-2.47400,4.31810,4.31810,-0.74960,-0.74960,0.18430,,61.27920,61.27930,-101.58300,61.27930,-1.21570,-0.70930,-0.70930
2023-12-31,1.69800,3.10600,,-4.80400,-0.77400,-5.57800,,-5.57800,-5.57800,-5.57800,-4.73800,-4.80400,2.87320,2.87320,-1.49900,-1.49900,0.24350,,114.82080,114.82090,-132.55700,114.82090,-1.20460,-1.299,-1.2991
2023-09-30,3.33000,2.70500,,-6.03500,4.80900,-1.22600,,-1.22600,-1.22600,-1.22600,-5.97000,-6.03500,2.95000,2.95000,-0.45000,-0.45000,0.24350,,47.48250,47.48260,-21.57690,47.48260,-0.85430,-1.7561,-1.7622
2023-06-30,2.79400,2.65500,,-5.44900,0.12000,-5.32900,,-5.32900,-5.32900,-5.32900,-5.38200,-5.44900,2.64780,2.64780,-1.94900,-1.94900,0.15770,,137.27440,137.27460,-92.72660,137.27460,-1.42210,-2.4385,-2.4385
2023-03-31,2.92400,2.22700,,-5.15100,0.09200,-5.05900,,-5.05900,-5.05900,-5.05900,-5.08400,-5.15100,2.45020,2.45020,-2.09900,-2.09900,0.28100,,104.52450,104.52480,-64.26580,104.52480,-1.88600,-1.62680,-1.62680
2022-12-31,2.45100,2.46400,,-4.91500,-0.10300,-5.01800,,-5.01800,-5.01800,-5.01800,-4.84500,-4.91500,2.43520,2.43520,-1.94900,-1.94900,0.35300,,166.43440,166.43450,-59.37760,166.43450,-1.23190,-1.9061,-1.9061
2022-09-30,3.77600,3.06500,,-6.84100,-0.01700,-6.85800,,-6.85800,-6.85800,-6.85800,-6.77100,-6.84100,2.43410,2.43410,-2.84860,-2.84860,0.83840,,-494.09300,-494.09240,-51.74290,-494.09220,0.56950,-1.9917,-1.9921
2022-06-30,5.11300,2.47800,,-7.59100,0.55000,-7.04100,,-7.04100,-7.04100,-7.04100,-7.52000,-7.59100,2.43360,2.43360,-2.84860,-2.84860,1.63220,,-89.68310,-89.68280,-37.13410,-89.68280,3.22610,-2.5185,-2.5263
2022-03-31,2.61600,2.85900,,-5.47500,0.11500,-5.36000,,-5.36000,-5.36000,-5.36000,-5.40100,-5.47500,2.43030,2.43030,-2.24890,-2.24890,2.61260,,-36.99870,-36.99870,-20.78240,-36.99870,5.95290,-1.51750,-1.52120
2021-12-31,3.67700,2.53500,,-6.21200,0.02200,-6.19000,,-6.19000,-6.19000,-6.19000,-6.14200,-6.21200,2.41330,2.41330,-2.54870,-2.54870,3.68530,,-32.00290,-32.00290,-21.14290,-32.00290,7.96640,-2.3115,-2.3264
2021-09-30,3.61800,1.65900,,-5.27700,-0.05900,-5.33600,,-5.33600,-5.33600,-5.33600,-5.21000,-5.27700,2.42150,2.42150,-2.24890,-2.24890,4.78000,,-21.40740,-21.40740,-15.44970,-21.40740,10.30110,-2.67,-2.7678
2021-06-30,3.59900,2.52200,,-6.12100,-0.14800,-6.26900,,-6.26900,-6.26900,-6.26900,-6.05900,-6.12100,2.42250,2.42250,-2.54870,-2.54870,4.36620,,-20.77760,-20.77750,-14.84310,-20.77750,12.45500,-2.1452,-2.1566
2021-03-31,4.34100,2.58800,,-6.92900,0.26700,-6.66200,,-6.66200,-6.66200,-6.66200,-6.86800,-6.92900,2.38730,2.38730,-2.84860,-2.84860,5.00920,,-18.40280,-18.40280,-13.71600,-18.40280,14.94380,-3.75660,-3.76920
2020-12-31,8.82000,2.67100,,-11.49100,-0.33000,-11.81500,,-11.81500,-11.81500,-11.81500,-11.42700,-11.49100,1.99090,1.99090,-5.39730,-5.39730,3.84960,,-33.31550,-33.31550,-23.04960,-33.31550,15.12210,-4.3879,-4.5079
2020-09-30,1.86700,2.61800,,-4.48500,0.00300,-4.48800,,-4.48800,-4.48800,-4.48800,-4.42900,-4.48500,2.07800,2.07800,-2.09900,-2.09900,4.71880,,-17.27620,-17.27620,-13.72860,-17.27620,12.33770,-2.6926,-2.7332
2020-06-30,5.69400,1.70600,,-7.40000,0.00600,-7.39400,,-7.39400,-7.39400,-7.39400,-7.35000,-7.40000,1.95260,1.95260,-3.74810,-3.74810,1.88100,,-75.28010,-75.28000,-38.46830,-75.28000,4.95810,-2.6696,-2.6951
2020-03-31,5.94800,2.36000,,-8.30800,0.19400,-8.11400,,-8.11400,-8.11400,-8.11400,-8.25900,-8.30800,1.89590,1.89590,-4.79760,-4.79760,1.84260,,-90.04550,-90.04550,-44.90070,-90.04550,4.75290,-7.92720,-7.93090
2019-12-31,6.18600,1.47900,,-7.66500,-0.02700,-7.69200,,-7.69200,-7.69200,-7.69200,-7.61500,-7.66500,1.46110,1.46110,-5.09750,-5.09750,0.19030,,62.93050,62.93050,-117.72270,62.93050,-7.90770,-2.329,-2.5672
