Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.09300,0.04700,0.04600,0.74100,1.52400,2.31700,-2.27100,-0.42900,-2.70000,-2.70000,-2.70000,-2.37000,-5.07000,-2.75200,-2.27100,3.31100,3.31100,-1.53000,-1.53000,0.33740,-0.39610,49.46240,-2441.93600,-2441.93600,-2903.22600,-5451.61300,0.00100,0.18270,492.58070,3.26530,3.26530,-2.92600,3.26530,-23.67930,1.4509,-23.726
2024-06-30,3.84700,1.64400,2.20300,,3.25400,3.79700,-1.59400,-5.24300,-6.83700,-6.83700,-6.83700,,-6.83700,-0.43700,-1.59400,2.64550,2.64550,-2.50000,-2.50000,0.08960,-1.55530,57.26540,-41.43490,-41.43490,-177.72290,-177.72290,0.04440,2.04850,43.93550,8.87140,8.87140,-7.89390,8.87140,-23.54600,-0.8142,-1.467
2024-03-31,2.18000,0.83400,1.34600,0.00700,3.74700,4.32200,-2.97600,-4.67900,-7.65500,-7.65500,-7.65500,1.07600,-6.57900,-1.71000,-2.97600,2.60310,2.60310,-3.00000,-3.00000,0.09110,-1.66280,61.74310,-136.51380,-136.51380,-351.14680,-301.78900,0.02560,1.84280,48.83950,10.79780,10.79780,-8.98700,10.79780,-21.77410,-2.56930,22.80610
2023-12-31,8.96200,2.11800,6.84400,0.04300,6.73700,13.72800,-6.88400,-38.42500,-45.30900,-45.32400,-45.32400,-2.64000,-47.96400,-0.07800,-6.88400,2.31450,2.31450,-14.15500,-14.15500,0.64220,-0.49940,76.36690,-76.81320,-76.81320,-505.56790,-535.19300,0.04840,20.04920,4.48900,71.65400,71.65400,-24.46170,71.65400,-21.99370,9.7296,16.0926
2023-09-30,1.26100,0.29100,0.97000,,0.87200,1.31600,-0.34600,-1.73700,-2.08300,-2.08300,-2.08300,-12.51000,-14.59300,-3.63500,-0.34600,2.30000,2.30000,-6.34500,-6.34500,,,76.92310,-27.43850,-27.43850,-165.18630,-1157.25600,,,,,,,,,-6.0517,-6.0596
2023-06-30,6.01500,1.04400,4.97100,0.64400,1.89400,3.46200,1.50900,-4.39900,-2.89000,-2.89000,-2.89000,1.23500,-1.65500,4.54900,1.50900,2.30000,2.30000,-1.25000,-1.25000,,,82.64340,25.08730,25.08730,-48.04660,-27.51460,,,,,,,,,1.8678,0.9757
2023-03-31,3.84600,1.01500,2.83100,0.11100,1.72500,2.67800,0.15300,-3.50800,-3.35500,-3.35500,-3.35500,-1.89700,-5.25200,2.11200,0.15300,2.30000,2.30000,-1.50000,-1.50000,,,73.60890,3.97820,3.97820,-87.23350,-136.55750,,,,,,,,,0.16260,0.15520
2022-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
