Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,,0.55170,0.81000,,-1.36160,-0.12040,-1.48200,-1.48200,-1.48200,-1.48200,-1.30800,-1.36160,0.19110,0.19110,-8.00000,-8.00000,6.25940,,,,,,,,,-20.68500,-20.68490,-17.74080,-20.68490,20.09430,397.6098,427.6179
2024-06-30,,,,1.03250,0.86280,,-1.89530,-0.58010,-2.47540,-2.47540,-2.47540,-2.47540,-1.84150,-1.89530,0.00970,0.00970,-256.00000,-256.00000,4.38450,0.01710,,,,,,,,-28.64670,-28.64670,-22.79520,-28.64670,167.19970,-40.0975,-65.6967
2024-03-31,,,,1.33480,1.09330,,-2.42810,0.09960,-2.32850,-2.32850,-2.32850,-2.32850,-2.37380,-2.42810,0.00590,0.00590,-396.00000,-396.00000,2.26100,,,,,,,,,-69.15080,-69.15080,-45.88040,-69.15080,501.07530,-389.33040,-395.33860
2023-12-31,,,,1.28650,1.10030,,-2.38670,0.08400,-2.30270,-2.30270,-2.30270,-2.30270,-2.33040,-2.38670,0.00270,0.00270,-702.50000,-702.50000,1.81830,,,,,,,,,-79.54620,-79.54620,-47.29850,-79.54620,934.46710,-1026.936,-1060.527
2023-09-30,,,,1.39730,0.94390,,-2.34120,0.04320,-2.29800,-2.29800,-2.29800,-2.29800,-2.07040,-2.34120,0.00280,0.00280,-833.50000,-833.50000,2.33120,,,,,,,,,-44.08080,-44.08080,-27.86600,-44.08080,1683.02000,-281.162,-292.622
2023-06-30,,,,1.67630,1.22740,,-2.90370,0.09040,-2.81330,-2.81330,-2.81330,-2.81330,-2.61020,-2.90370,0.00260,0.00260,-1100.00000,-1100.00000,3.59160,,,,,,,,,-44.12100,-44.12100,-33.18230,-44.12100,2493.19200,-573.215,-651.315
2023-03-31,,,,1.35450,1.32500,,-2.67960,0.13970,-2.53980,-2.53980,-2.53980,-2.53980,-2.51920,-2.67960,0.00250,0.00250,-996.00000,-996.00000,6.26830,,,,,,,,,-27.71720,-27.71720,-23.32600,-27.71720,3583.13400,-1151.56300,-1285.29000
2022-12-31,,,,1.32140,1.13220,,-2.45360,0.06740,-2.38630,-2.38630,-2.38630,-2.38630,-2.38470,-2.45360,0.00250,0.00250,-912.00020,-912.00020,7.18700,,,,,,,,,-20.67580,-20.67580,-17.64820,-20.67580,4566.28000,-1167.753,-1262.188
2022-09-30,,,,1.37970,1.43050,,-2.81020,-0.14970,-2.95990,-2.95990,-2.95990,-2.95990,-2.72350,-2.81020,0.00250,0.00250,-1176.00000,-1176.00000,9.15230,,,,,,,,,-21.43130,-21.43130,-18.84590,-21.43130,5482.66300,-499.176,-813.19
2022-06-30,0.24900,0.20010,0.04890,0.75630,1.27840,2.03470,-1.98570,0.04830,-1.93740,-1.93740,-1.93740,-1.93740,-1.90320,-1.98570,0.00250,0.00250,-800.00000,-800.00000,17.40550,,19.63980,-797.35190,-797.35190,-777.94810,-777.94810,0.01380,0.29810,-11.63060,-11.63060,-10.72320,-11.63060,6612.72400,-658.9259,-707.8783
2022-03-31,,,,0.69480,1.37350,,-2.06830,0.05490,-2.01340,-2.01340,-2.01340,-2.01340,-2.00010,-2.06830,0.00250,0.00250,-800.00000,-800.00000,14.75430,,,,,,,,,-10.88970,-10.88970,-10.02650,-10.88970,7340.19000,-745.60810,-764.01570
2021-12-31,,,,0.45530,0.91770,,-1.37290,-0.08760,-1.46050,-1.46050,-1.46050,-1.46050,-1.33370,-1.37290,0.00110,0.00110,-719.99980,-719.99980,32.42580,,,,,,,,,-7.16570,-7.16570,-6.94850,-7.16570,8107.28200,-0.337,-0.3392
2021-09-30,,,,0.44250,0.51550,,-0.95800,-0.23540,-1.19340,-1.19340,-1.19340,-1.19340,-0.91990,-0.95800,0.00130,0.00130,-879.99990,-879.99990,0.69390,-3.67680,,,,,,,,110.40400,110.40400,-32.94180,110.40400,-0.10270,-0.0023,-0.0024
2021-06-30,,,,0.22600,0.44010,,-0.66610,0.02580,-0.64020,-0.64020,-0.64020,-0.64020,-0.63850,-0.66610,0.00050,0.00050,-1200.00000,-1200.00000,,,,,,,,,,,,,,,-0.0551,-0.0556
2021-03-31,,,,0.02420,0.20900,,-0.23320,0.03900,-0.19420,-0.19420,-0.19420,-0.19420,-0.19240,-0.23320,0.00040,0.00040,-480.00000,-480.00000,,,,,,,,,,,,,,,-0.11850,-0.11850
2020-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0.1126,0.1126
2020-09-30,,,,0.00270,0.14540,,-0.14820,0.02020,-0.12800,-0.12800,-0.12800,-0.12800,-0.14820,-0.14820,0.00040,0.00040,-320.00000,-320.00000,,,,,,,,,,,,,,,-0.1126,-0.1126
2019-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
