Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2016-12-31,5.78660,3.30940,2.47720,,2.06870,,2.41120,0.06610,-0.05100,0.01510,-0.00350,0.01860,0.01860,,0.01860,0.41400,0.06610,0.02180,0.02180,0.00000,0.00000,1.23310,0.61520,1.96460,42.80960,1.14180,1.14190,0.26100,0.32110,0.31340,2.74330,3.06010,29.41050,0.56580,-1.74440,0.10060,0.21770,146.07370,233.4801,229.9909
2016-09-30,4.97950,2.87450,2.10500,,1.71010,,2.05930,0.04570,-0.06770,-0.02200,0.00470,-0.02670,-0.02670,,-0.02670,0.40020,0.04570,0.02160,0.02160,0.00000,0.00000,0.51770,0.40520,2.37870,42.27300,0.91850,0.91850,-0.44180,-0.53700,0.35940,2.41890,2.39640,37.55690,-0.96050,1.54130,-0.19300,-0.57130,128.83360,20.8433,17.8827
2016-06-30,4.07250,2.33020,1.74230,,1.63750,,1.97730,-0.23500,-0.07810,-0.31310,0.00470,-0.31780,-0.31780,,-0.31780,0.11000,-0.23500,0.02160,0.02160,-12.01200,-12.01200,0.50900,0.41950,2.47590,42.78170,-5.77050,-5.77050,-7.68790,-7.80420,0.28850,2.00340,1.92210,46.82480,-11.36050,16.85120,-2.25150,-6.59440,129.48170,0.0957,-3.4577
2016-03-31,4.33900,2.60570,1.73330,,1.90970,,2.27020,-0.53690,-0.08240,-0.61930,0.00470,-0.62400,-0.62400,,-0.62400,-0.17110,-0.53690,0.02160,0.02160,-30.03000,-30.03000,0.53020,0.47120,2.44330,39.94770,-12.37320,-12.37320,-14.27260,-14.38180,0.29020,2.63140,2.26700,39.70030,-20.06080,27.88740,-4.17360,-10.60750,144.03940,-3.17960,-5.57950
2015-12-31,5.45950,3.45940,2.00010,,2.20040,,12.67720,-10.67710,-0.07390,-10.75110,0.00800,-10.75900,-10.75900,,-10.75900,-10.29310,-10.67710,0.01990,0.01990,-534.53450,-534.53450,0.53790,0.37800,2.10940,36.63510,-195.57050,-195.57050,-196.92450,-197.07060,0.34990,3.68870,2.60290,34.57630,-291.78860,603.21440,-68.96450,-181.49920,170.74630,10.7581,8.8899
2015-09-30,4.42000,2.55600,1.86390,,2.22630,,2.63110,-0.76720,-0.08860,-0.85570,0.00470,-0.86040,-0.86040,,-0.86040,-0.36240,-0.76720,0.01950,0.01950,-42.04200,-42.04200,1.07660,0.32260,0.57090,42.17090,-17.35640,-17.35640,-19.35980,-19.46700,0.16760,2.06160,2.15430,41.77770,-6.12520,70.75060,-3.26350,-4.14930,666.67540,-11.7556,-14.8803
2015-06-30,4.19610,2.66340,1.53270,,2.23670,,2.62720,-1.09450,0.05600,-1.03860,0.00470,-1.04330,-1.04330,,-1.04330,-0.70930,-1.09450,0.01930,0.01930,-48.04800,-48.04800,0.97950,0.32900,0.60260,36.52730,-26.08430,-26.08430,-24.75090,-24.86380,0.16170,2.37710,2.51640,35.76600,-7.53230,63.60890,-4.02040,-5.05410,718.66840,-20.6467,-19.7841
2015-03-31,3.42950,1.98630,1.44320,,2.60810,,2.98770,-1.54450,-0.09750,-1.64200,0.00470,-1.64670,-1.64670,,-1.64670,-1.15960,-1.54450,0.01920,0.01920,-96.09610,-96.09610,1.34650,0.33340,0.54880,42.08240,-45.03470,-45.03470,-47.87700,-48.01510,0.13090,1.85320,2.37220,37.93990,-11.31160,142.46960,-6.28280,-7.54050,755.32330,-27.48180,-28.92570
2014-12-31,4.81210,3.18380,1.62830,,2.61760,-25.28530,29.25400,-27.62570,-0.06220,-27.68790,0.00150,-27.68940,-27.68940,,-27.68940,-26.28190,-27.62570,0.01750,0.01750,-1585.58500,-1585.58500,1.60770,0.31930,0.51680,33.83780,-574.09070,-574.09070,-575.38370,-575.41420,0.17340,3.66260,2.29400,39.23260,-174.63260,28026.60000,-99.78120,-118.86500,825.00230,-46.4136,-47.7713
2014-09-30,4.96430,3.11110,1.85320,,2.46190,-11.74950,15.53290,-13.67970,-0.08880,-13.76860,-0.99960,-12.76900,-12.76900,,-8.06900,-12.32820,-13.67970,0.01760,0.01760,-456.45640,-456.45640,1.35060,0.14320,0.19840,37.33120,-275.56250,-275.56250,-277.35150,-162.54030,0.09130,2.66830,2.67590,33.63370,-30.36230,3815.68700,-23.47720,-26.01480,2393.37700,-26.8952,-32.5478
