Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,469.99500,319.92900,150.06600,3.99400,-28.86800,32.86200,117.20400,-0.37900,116.82500,21.79800,95.02700,95.02700,95.02700,117.20400,117.20400,45.78000,46.22000,2.08000,2.06000,,0.05720,24.93730,24.93730,24.85670,20.21870,0.08110,5.43520,5.60700,1.64070,5.43520,38.16530,4.7421,4.7346
2024-06-30,416.44200,281.72000,134.72200,4.14000,-27.32100,31.46100,103.26100,0.04200,103.30300,21.31100,81.99200,81.99200,81.99200,103.26100,103.26100,45.73700,46.17900,1.79000,1.78000,,0.06310,24.79600,24.79600,24.80610,19.68870,0.07560,5.17400,5.35490,1.48760,5.17400,34.64140,3.0706,3.0111
2024-03-31,444.83100,254.27800,190.55300,5.01000,-28.70300,33.71300,156.84000,3.15100,159.99100,32.09100,127.90000,127.90000,127.90000,156.84000,156.84000,45.68400,46.16300,2.80000,2.77000,,0.06580,35.25830,35.25830,35.96670,28.75250,0.08330,8.41030,8.71730,2.39580,8.41030,33.26970,1.53690,1.51330
2023-12-31,433.51500,257.66600,175.84900,5.11200,-28.38100,33.49310,142.35600,1.06800,143.42400,28.81200,114.61200,114.61200,114.61200,142.35600,142.35590,45.59600,46.07700,2.51000,2.48000,,0.07070,32.83760,32.83760,33.08400,26.43780,0.08370,8.10830,8.42760,2.21250,8.10830,30.97090,2.6472,2.6378
2023-09-30,331.69400,292.57100,39.12300,2.37200,-21.59100,23.96300,15.16000,-0.14100,15.01900,1.48300,13.53600,13.53600,13.53600,15.16000,15.16000,45.62200,46.06500,0.30000,0.29000,,0.07700,4.57050,4.57050,4.52800,4.08090,0.06520,1.04200,1.08680,0.26630,1.04200,28.47280,2.138,2.0802
2023-06-30,381.86200,256.56900,125.29300,4.21900,-24.51000,28.72900,96.56400,-0.53300,96.03100,18.37900,77.65200,77.65200,77.65200,96.56400,96.56400,45.59100,46.04400,1.70000,1.69000,,0.14790,25.28770,25.28770,25.14810,20.33510,0.07540,5.74390,5.98080,1.53290,5.74390,29.64980,3.7869,3.754
2023-03-31,364.92300,215.93200,148.99100,4.21400,-23.90100,28.11500,120.87600,1.91500,122.79100,23.98000,98.81100,98.81100,98.81100,120.87600,120.87600,45.53000,46.03500,2.17000,2.15000,,0.15330,33.12370,33.12370,33.64850,27.07720,0.07550,7.57800,7.90260,2.04310,7.57800,28.62320,1.50360,1.47590
2022-12-31,360.59300,223.60200,136.99100,4.34700,-23.41800,27.76490,109.22600,4.77900,114.00500,16.17100,97.83400,97.83400,97.83400,109.22600,109.22600,45.36800,45.79400,2.16000,2.13000,0.14510,0.16980,30.29070,30.29070,31.61600,27.13140,0.07560,8.30970,8.70580,2.05230,7.10380,25.89280,-0.7109,-0.7345
2022-09-30,859.49400,262.06600,597.42800,2.75500,-20.60600,23.36100,574.06700,-19.36500,554.70200,114.80900,439.89300,439.89300,439.89300,574.06700,574.06700,45.37900,45.77500,9.69000,9.61000,0.03460,0.14330,66.79130,66.79130,64.53820,51.18050,0.16490,31.55630,32.81730,8.44050,30.46370,30.71950,2.4174,2.3873
2022-06-30,213.09200,207.52900,5.56300,2.43500,-19.32500,21.76000,-16.19700,9.64300,-6.55400,-4.31500,-2.23900,-2.23900,-2.23900,-16.19700,-16.19700,45.35400,45.35400,-0.05000,-0.05000,0.16060,0.19130,-7.60090,-7.60090,-3.07570,-1.05070,0.04840,-0.21440,-0.22600,-0.05090,-0.18000,23.01560,2.9091,2.8849
