,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2025-04-30,2025-03-31,--,$-0.06
1,2025-04-15,2024-12-31,--,$0.04
2,2024-11-14,2024-09-30,--,$-0.02
3,2024-08-14,2024-06-30,--,$-0.09
4,2024-05-17,2024-03-31,--,$-0.40
5,2024-03-13,2023-12-31,--,$-0.35
6,2023-11-15,2023-09-30,--,$-0.82
7,2023-08-14,2023-06-30,--,$-0.68
8,2023-05-15,2023-03-31,$-0.50,$-0.60
9,2023-03-31,2022-12-31,$-1.90,$-1.50
10,2022-11-14,2022-09-30,$-2.00,$-1.10
11,2022-08-15,2022-06-30,$-2.00,$-0.60
12,2022-05-16,2022-03-31,--,$-2.00
13,2022-03-31,2021-12-31,$-0.40,$-3.10
14,2021-11-15,2021-09-30,$-0.40,$-0.70
15,2021-08-12,2021-06-30,$-0.40,$-0.80
16,2020-11-17,2020-09-30,--,$-0.90
17,2020-08-14,2020-06-30,--,$-0.50
18,2020-06-29,2020-03-31,--,$-0.60
19,2020-05-15,2019-12-31,--,$-0.60
20,2019-11-18,2019-09-30,--,$-0.70
21,2019-08-09,2019-06-30,--,$-0.30
22,2019-05-28,2019-03-31,--,$-0.50
23,2019-04-15,2018-12-31,--,$-1.80
24,2018-11-14,2018-09-30,--,$0.00
25,2018-08-20,2018-06-30,--,$0.00
26,2018-05-15,2018-03-31,--,$0.00
27,2018-04-13,2017-12-31,--,$0.00
28,2017-08-21,2017-06-30,--,$0.00
29,2017-05-22,2017-03-31,--,$0.00
30,2017-02-21,2016-12-31,--,$0.00
31,2016-08-15,2016-06-30,--,$0.00
32,2016-02-23,2015-12-31,--,$0.00
