Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.00010,0.00010,0.36350,0.87480,,-1.23820,0.05470,-1.18350,-1.18350,-1.18350,-1.27180,-1.21350,-1.23820,3.00930,3.00930,-0.42000,-0.42000,8.95770,,,,,,,0.00000,-27.61870,-27.61740,-24.57220,-27.61740,1.42400,-0.3179,-0.3179
2024-06-30,0.00020,0.00020,0.22610,1.04120,0.00000,-1.26710,0.06300,-1.20410,-1.20410,-1.20410,-0.98320,-1.24330,-1.26710,3.00930,3.00930,-0.33000,-0.33000,13.20390,,,,,,,0.00000,-23.92580,-23.92490,-22.14080,-23.92490,1.67240,-0.3211,-0.3211
2024-03-31,0.00010,0.00010,0.23390,1.42960,,-1.66340,0.10150,-1.56180,-1.56180,-1.56180,-1.13780,-1.64050,-1.66340,2.80620,2.80620,-0.56000,-0.56000,14.07160,,,,,,,0.00000,-26.13720,-26.13630,-24.31010,-26.13630,1.98570,-0.52640,-0.52640
2023-12-31,0.00020,0.00020,0.35120,1.09790,-0.04370,-1.49260,0.13870,-1.35390,-1.35390,-1.35390,-1.35390,-1.46810,-1.49260,2.02860,2.02860,-0.75000,-0.75000,15.68300,,,,,,,0.00000,-22.19660,-22.19590,-20.80900,-22.19590,2.99550,-0.7482,-0.7489
2023-09-30,0.00020,0.00020,0.38000,2.16230,,-2.54220,0.17760,-2.36460,-2.36460,-2.36460,-2.36460,-2.51890,-2.54220,2.08850,2.08850,-1.13000,-1.13000,16.55550,,,,,,,0.00000,-31.60000,-31.59910,-29.64750,-31.59910,3.57310,-0.9371,-0.9453
2023-06-30,0.00020,0.00020,0.33750,1.98950,0.00000,-2.32680,0.03950,-2.28720,-2.28720,-2.28720,-2.28720,-2.30490,-2.32680,2.07400,2.07400,-1.10000,-1.10000,18.91250,,,,,,,0.00000,-24.91300,-24.91300,-23.51060,-24.91300,4.42670,-0.6794,-0.6949
2023-03-31,0.00020,0.00020,0.28280,2.11650,-0.02340,-2.42250,0.02330,-2.39920,-2.39920,-2.39920,-2.39920,-2.40270,-2.42250,2.06070,2.06070,-1.16000,-1.16000,21.26290,,,,,,,0.00000,-22.41370,-22.41370,-21.25000,-22.41370,5.16120,-0.85390,-0.85390
2022-12-31,0.00390,0.00390,0.25600,2.33640,-1.02310,-3.61160,0.06650,-3.53430,-3.53430,-3.53430,-3.53430,-3.53800,-3.61160,2.01040,2.01040,-1.75000,-1.75000,27.19690,,100.00000,-92180.20000,-92180.19000,-90207.00000,-90207.00000,0.00030,-28.14710,-28.14710,-26.95130,-28.14710,6.09630,-0.8299,-0.8304
2022-09-30,0.00350,0.00350,0.25900,2.41950,0.00700,-2.66790,0.02520,-2.65670,-2.65670,-2.65670,-2.65670,-2.59570,-2.66790,2.05970,2.05970,-1.29000,-1.29000,32.25170,,100.00000,-75363.33000,-75363.33000,-75048.16000,-75048.16000,0.00020,-17.43140,-18.70210,-16.82340,-17.43140,7.39960,-0.8967,-0.9053
2022-06-30,0.03790,0.03790,,2.53350,-0.08420,-2.57980,-0.00190,-2.58170,-2.58170,-2.58170,-2.58170,-2.56340,-2.57980,1.96080,1.96080,-1.30000,-1.30000,32.61520,,100.00000,-6798.34000,-6798.34000,-6803.46800,-6803.46800,0.00210,-15.13420,-16.16720,-14.60440,-15.13420,8.28220,-0.7457,-0.7474
2022-03-31,0.00080,0.00080,,3.36830,,-3.36750,-0.00160,-3.36580,-3.36580,-3.36580,-3.36580,-3.35240,-3.36750,1.95970,1.95970,-1.70000,-1.70000,43.47770,,,,,,,0.00000,-18.97000,-18.97000,-18.39900,-18.97000,9.05380,-1.13830,-1.14960
2021-12-31,,,,7.34890,,-7.34890,0.00840,-7.33610,-7.33610,-7.33610,-7.33610,-7.32440,-7.34450,1.53340,1.53340,-4.60000,-4.60000,35.47820,,,,,,,,-36.52710,-36.52710,-35.24430,-36.52710,10.24850,-3.8713,-3.9079
2021-09-30,,,,1.85130,,-1.85130,0.00100,-1.85040,-1.85040,-1.85040,-1.85040,-1.84400,-1.85130,1.53340,1.53340,-1.20000,-1.20000,93.08670,0.00020,,,,,,,-7.18050,-7.18050,-7.10340,-7.18050,13.16850,-0.7684,-0.7684
2021-06-30,,,,0.64590,,-0.64590,0.00010,-0.64580,-0.64580,-0.64580,-0.64580,-0.63890,-0.64590,1.33900,1.33900,-0.50000,-0.50000,6.46170,0.00550,,,,,,,-58.81350,-58.81350,-49.81670,-58.81350,0.82010,-0.3721,-0.3721
2021-03-31,,,,0.99680,,-0.99680,0.00000,-0.99680,-0.99680,-0.99680,-0.99680,-0.99010,-0.99680,1.29630,1.29630,-0.80000,-0.80000,,,,,,,,,,,,,,-0.50160,-0.50160
2020-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,0.5727,0.5727
2020-09-30,,,,0.31580,,-0.31580,-0.01410,-0.32980,-0.32980,-0.32980,-0.32980,-0.30970,-0.31580,1.34890,1.34890,-0.20000,-0.20000,,,,,,,,,,,,,,-0.239,-0.239
2020-06-30,,,,0.19840,,-0.19840,-0.00720,-0.20550,-0.20550,-0.20550,-0.20550,-0.19840,-0.19840,1.33710,1.33710,-0.20000,-0.20000,,,,,,,,,,,,,,-0.3337,-0.3337
2019-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,0,0
