Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1.04900,1.04900,26.26200,7.40900,-32.62200,2.73500,-29.88700,-29.88700,-29.88700,-29.88700,-31.59500,-32.62200,118.70000,118.70000,-0.25000,-0.25000,9.56330,0.11800,0.13380,100.00000,-3109.81900,-3109.81900,-2849.09400,-2849.09400,0.00300,,,-13.04610,-13.04610,-8.58760,-11.50680,4.29360,-0.2135,-0.2243
2024-06-30,0.53600,0.53600,26.87700,7.77300,-34.11400,2.45300,-31.66100,-31.66100,-31.66100,-31.66100,-32.99800,-34.11400,113.42500,113.42500,-0.28000,-0.28000,7.76550,0.07300,0.11930,100.00000,-6364.55200,-6364.55200,-5906.90300,-5906.90300,0.00140,,,-12.40530,-12.40530,-8.44580,-11.49920,4.82170,-0.1807,-0.1872
2024-03-31,0.56600,0.56600,24.85700,7.08200,-31.37300,1.23100,-30.14200,-30.14200,-30.14200,-30.14200,-30.11900,-31.37300,94.87600,94.87600,-0.32000,-0.32000,5.23270,0.16020,0.24600,100.00000,-5542.93300,-5542.93300,-5325.44200,-5325.44200,0.00240,,,-24.51230,-24.51230,-12.51580,-20.58660,2.56690,-0.30850,-0.31590
2023-12-31,7.21100,7.21100,22.40600,6.16200,-21.35700,1.74400,-19.61300,-19.61300,-19.61300,-19.61300,-20.07700,-21.35700,65.60000,65.60000,0.32000,0.32000,6.51360,0.15040,0.19920,100.00000,-296.17270,-296.17260,-271.98730,-271.98730,0.02650,,,-13.00020,-13.00020,-7.20670,-11.04540,3.15420,-0.5389,-0.5587
2023-09-30,3.88700,3.88700,22.74100,5.89400,-24.74800,1.75100,-22.99700,-22.99700,-22.99700,-22.99700,-23.46200,-24.74800,94.83000,94.83000,-0.24000,-0.24000,6.56290,0.14580,0.17720,100.00000,-636.68630,-636.68630,-591.63870,-591.63870,0.01330,,,-13.61080,-13.61080,-7.89250,-11.62660,3.53300,0.5697,0.5682
2023-06-30,3.14800,3.14800,21.22700,6.53100,-24.61000,0.56500,-24.04500,-24.04500,-24.04500,-24.04500,-23.31400,-24.61000,47.20900,47.20900,-0.51000,-0.51000,6.89730,0.13490,0.15590,100.00000,-781.76620,-781.76620,-763.81830,-763.81830,0.00990,0.09860,912.75100,-12.61500,-12.61500,-7.58700,-10.91320,3.98600,0.0075,0.0154
2023-03-31,6.80300,6.80300,21.77900,7.76700,-22.74300,0.18000,-22.56300,-22.56300,-22.56300,-22.56300,-21.24400,-22.74300,24.22600,24.22600,-0.93000,-0.93000,7.18350,0.27440,0.37820,100.00000,-334.30840,-334.30840,-331.66250,-331.66250,0.03920,,,-28.92030,-28.92030,-12.99880,-20.98450,3.22040,-0.97360,-1.00820
2022-12-31,3.09500,3.09500,15.60400,6.14000,-18.64900,-0.07400,-18.72300,-18.72300,-18.72300,-18.72300,-17.16500,-18.64900,24.04800,24.04800,-0.78000,-0.78000,7.17290,0.22750,0.29460,100.00000,-602.55240,-602.55270,-604.94340,-604.94340,0.01550,,,-18.82960,-18.82960,-9.40420,-14.54510,4.10440,-0.668,-0.7254
2022-09-30,3.36300,3.36300,15.03100,4.91000,-16.57800,0.33300,-16.24500,-16.24500,-16.24500,-16.24500,-15.32700,-16.57800,24.07400,24.07400,-0.67000,-0.67000,8.50770,0.19950,0.24920,100.00000,-492.95270,-492.95270,-483.05090,-483.05090,0.02030,,,-13.92530,-13.92530,-9.81840,-11.14720,4.84560,-0.7057,-0.7232
2022-06-30,4.05600,4.05600,14.49400,4.80800,-15.24600,0.14900,-15.09700,-15.09700,-15.09700,-15.09700,-14.03900,-15.24600,24.06400,24.06400,-0.63000,-0.63000,7.53410,,,100.00000,-375.88760,-375.88760,-372.21400,-372.21400,0.02660,,,-11.46740,-11.46740,-9.90520,-11.46740,5.46890,-0.5523,-0.631
2022-03-31,3.02100,3.02100,14.69000,4.49400,-16.16300,0.00700,-16.15600,-16.15600,-16.15600,-16.15600,-14.96800,-16.16300,23.97500,23.97500,-0.67000,-0.67000,7.89330,,,100.00000,-535.02150,-535.02150,-534.78990,-534.78990,0.01800,,,-11.08900,-11.08900,-9.60500,-11.08900,6.06280,-0.83940,-0.86150
2021-12-31,2.85400,2.85400,12.60800,4.44800,-14.20200,0.00200,-14.20000,-14.20000,-14.20000,-14.20000,-13.06000,-14.20200,11.66300,11.66300,10.81000,10.81000,7.76150,,,100.00000,-497.61730,-497.61740,-497.54720,-497.54720,0.01520,,,-8.83210,-8.83210,-7.54890,-8.83210,6.72510,-2.448,-2.9114
2021-09-30,2.41200,2.41200,14.20600,4.04800,-15.84200,0.00300,-15.83900,-15.83900,-15.83900,-15.83900,-14.78600,-15.84200,19.87500,19.87500,-0.80000,-0.80000,8.15040,,,100.00000,-656.79940,-656.79940,-656.67490,-656.67490,0.01180,,,-9.09900,-9.09900,-7.73050,-9.09900,9.34980,13.157,17.7226
2021-06-30,2.84800,2.84800,10.80100,2.72600,-10.67900,0.00500,-10.67400,-10.67400,-10.67400,-10.67400,-10.01800,-10.67900,1.38800,1.38800,-7.69000,-7.69000,5.33880,,,100.00000,-374.96480,-374.96480,-374.78930,-374.78930,0.02190,,,17.78110,17.78110,-8.21030,17.78110,-42.27470,-6.7144,-9.2416
2021-03-31,2.02700,2.02700,7.33900,2.60600,-7.91800,0.00600,-7.91200,-7.91200,-7.91200,-7.91200,-7.44900,-7.91800,1.21900,1.21900,-6.49000,-6.49000,6.57570,,,100.00000,-390.62660,-390.62660,-390.33060,-390.33060,0.01440,,,15.84870,15.84870,-5.61370,15.84870,-38.25440,-8.16820,-10.59560
2020-12-31,0.79500,0.79500,5.96400,2.64100,-7.81000,0.00300,-7.80700,-7.80700,-7.80700,-7.80700,-7.41400,-7.81000,0.91600,0.91600,-8.05000,-8.05000,2.08900,,,100.00000,-982.39000,-982.39000,-982.01260,-982.01260,0.01600,,,18.38590,18.38590,-15.69630,18.38590,-37.37850,-7.6186,-9.398
2020-09-30,0.29000,0.29000,5.81300,1.64800,-7.17100,0.00100,-7.17000,-7.17000,-7.17000,-7.17000,-6.82500,-7.17100,1.00200,1.00200,-7.16000,-7.16000,,,,100.00000,-2472.75900,-2472.75900,-2472.41400,-2472.41400,,,,,,,,,-6.8103,-7.9964
2020-06-30,,,4.50200,1.11400,-5.61600,0.00300,-5.61300,-5.61300,-5.61300,-5.61300,-5.35000,-5.61600,0.90900,0.90900,-6.18000,-6.18000,,,,,,,,,,,,,,,,,17.7297,17.5962
2020-03-31,,,4.29800,1.33800,-5.63600,0.09900,-5.53700,-5.53700,-5.53700,-5.53700,-5.41400,-5.63600,0.77700,0.77700,-7.13000,-7.13000,,,,,,,,,,,,,,,,,-6.60100,-8.12870
2019-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
