Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,17.13200,3.60100,13.53100,6.30600,2.72900,9.03500,4.49600,1.28400,5.78000,4.50400,1.27600,1.27600,,1.27600,4.49600,4.49600,89.53600,89.81900,0.01000,0.01000,4.13630,78.98090,26.24330,26.24330,33.73800,7.44810,0.13870,8.07350,11.14760,,2.10950,1.03310,2.10950,,-0.4435,-0.443
2024-06-30,6.70200,1.55200,5.15000,6.18300,2.37900,8.56200,-3.41200,1.30000,-2.11200,0.01100,-2.12300,-2.12300,,-2.12300,-3.41200,-3.41200,89.53200,89.53200,-0.02000,-0.02000,4.12340,76.84270,-50.91020,-50.91020,-31.51300,-31.67710,0.06080,0.68420,131.54880,-3.63900,-3.63900,-1.92710,-3.63900,0.65160,0.853,0.8545
2024-03-31,2.55900,2.10200,0.45700,6.41000,2.53900,8.94900,-8.49200,1.22800,-7.26400,0.00300,-7.26700,-7.26700,,-7.26700,,-8.49200,89.50600,89.50600,-0.08000,-0.08000,,,,,,,,,,,,,,,,
2023-12-31,,,,10.92800,2.54300,,-15.47500,0.73500,18.71900,9.00600,9.71300,9.71300,,9.71300,-15.47500,17.98400,87.63300,87.63300,0.12000,0.12000,4.36230,,,,,,,,,,14.81570,8.00520,14.81570,,-0.4095,-0.4115
2023-09-30,,,,8.33800,2.29000,,-10.62800,0.77600,-9.85200,,-9.85200,-9.85200,,-9.85200,-10.62800,-10.62800,88.31000,88.31000,-0.11000,-0.11000,,,,,,,,,,,,,,,0.213,0.2138
2023-06-30,,,,7.76100,2.45300,,-10.21400,0.88900,-9.32500,-0.04900,-9.27600,-9.27600,,-9.27600,-10.21400,-10.21400,87.18300,87.18300,-0.11000,-0.11000,6.42520,,,,,,,,,-14.96100,-14.96110,-12.03820,-14.96110,0.70270,-0.213,-0.2138
2023-03-31,,,,7.44500,2.68900,,-10.13400,0.80800,-9.32600,0.01300,-9.33900,-9.33900,,-9.33900,-10.13400,-10.13400,86.62500,86.62500,-0.11000,-0.11000,7.13140,,,,,,,,,,-13.49290,-11.07580,-13.49290,,0.00000,
2022-12-31,,,,7.32700,2.72700,,-11.02900,0.49500,-3.03400,,-3.09200,-3.09200,,-3.09200,-11.02900,-3.52900,86.55600,86.55600,-0.03000,-0.03000,7.22590,,,,,,,,,-3.98040,-3.98040,-3.28320,-3.98040,0.89670,-0.3941,-0.3996
2022-09-30,,,,9.33900,2.87300,,-12.21200,0.46400,-11.74800,,-11.74800,-11.74800,,-11.74800,-12.21200,-12.21200,86.62500,86.62500,-0.14000,-0.14000,6.16450,,,,,,,,,,-14.71830,-11.82280,-14.71830,0.92140,0.2391,0.242
2022-06-30,,,,6.81200,2.82500,,-9.63700,0.49300,-9.14400,,-9.14400,-9.14400,,-9.14400,-9.63700,-9.63700,86.51900,86.51900,-0.11000,-0.11000,7.28720,,,,,,,,,-10.11720,-10.11720,-8.28920,-10.11720,1.04340,-0.2391,-0.242
