,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-11-13,2024-09-30,--,$0.18
1,2024-08-13,2024-06-30,--,$0.24
2,2024-05-14,2024-03-31,--,$0.27
3,2024-03-28,2023-12-31,--,$0.36
4,2023-11-10,2023-09-30,--,$0.31
5,2023-08-11,2023-06-30,--,$0.35
6,2023-05-12,2023-03-31,$0.12,$0.23
7,2023-03-30,2022-12-31,--,$0.14
8,2022-11-14,2022-09-30,$0.04,$0.24
9,2022-08-12,2022-06-30,$-0.05,$0.31
10,2022-05-23,2022-03-31,$0.07,$0.00
11,2022-03-30,2021-12-31,$0.06,$0.16
12,2021-11-12,2021-09-30,$0.05,$-0.01
13,2021-08-12,2021-06-30,$0.07,$0.10
14,2021-05-12,2021-03-31,$0.03,$0.10
15,2021-03-30,2020-12-31,$0.01,$0.01
16,2020-11-12,2020-09-30,$0.01,$0.08
17,2020-08-14,2020-06-30,$-0.04,$-0.13
18,2020-06-23,2020-03-31,$-0.09,$0.00
19,2020-05-14,2019-12-31,--,$0.06
20,2019-11-12,2019-09-30,$0.01,$0.13
21,2019-08-08,2019-06-30,$0.01,$0.08
22,2019-05-09,2019-03-31,$0.02,$0.05
23,2019-03-28,2018-12-31,$0.05,$-0.10
24,2018-11-09,2018-09-30,$-0.01,$0.01
25,2018-08-09,2018-06-30,$0.17,$0.03
26,2018-05-10,2018-03-31,$0.18,$0.14
27,2018-03-29,2017-12-31,--,$0.02
28,2017-11-09,2017-09-30,$0.17,$0.16
29,2017-08-10,2017-06-30,$0.14,$0.28
30,2017-05-11,2017-03-31,$0.19,$0.18
31,2017-03-30,2016-12-31,$0.19,$0.18
32,2016-11-10,2016-09-30,$0.12,$0.18
33,2016-08-11,2016-06-30,$0.20,$0.17
34,2016-05-12,2016-03-31,$0.22,$0.18
35,2016-03-30,2015-12-31,$0.20,$0.22
36,2015-11-12,2015-09-30,$0.23,$0.13
37,2015-08-13,2015-06-30,$0.21,$0.24
38,2015-05-14,2015-03-31,$0.23,$0.26
39,2015-03-26,2014-12-31,$0.27,$0.28
