Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,105.82400,12.39500,93.42900,55.94400,-22.46000,78.40400,15.02500,0.67400,15.69900,0.98600,14.71300,14.71300,,14.71300,15.02500,15.02500,18.11300,18.27000,0.81000,0.81000,0.57950,88.28720,14.19810,14.19810,14.83500,13.90330,0.37420,1.92710,46.70260,-12.39440,-11.58040,5.20190,-12.39440,-6.55620,0.6402,0.6326
2023-12-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,-0.4033,-0.3844
2023-09-30,121.29500,12.19900,109.09600,49.95500,-28.43500,80.13900,28.95700,-3.69100,25.26600,1.58300,23.68300,23.68300,,23.68300,30.70600,28.95700,19.73900,19.73900,1.20000,1.20000,0.65910,89.94270,23.87320,23.87320,20.83020,19.52510,0.39440,2.52960,35.57930,-21.23810,-19.26090,7.70140,-21.23810,-5.64930,-5.4603,-5.429
2023-06-30,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,
2022-12-31,99.83600,21.14300,78.69300,47.05800,-114.57900,163.95500,-85.26200,-3.80000,-89.06200,-0.56300,-88.49900,-88.49900,,-76.96000,-83.72000,-85.26200,19.79710,19.79710,-3.90000,-3.90000,0.56820,78.82230,-85.40210,-85.40210,-89.20830,-77.08640,0.31000,2.17560,41.36800,59.48470,54.09840,-27.48040,59.48470,-7.54860,0.8487,0.8409
2022-09-30,128.01500,10.27300,117.74200,34.17800,-37.69300,73.61300,44.12900,-10.17800,33.95100,2.31900,31.63200,31.63200,,31.20000,45.87100,44.12900,19.79710,19.79710,1.60000,1.60000,0.56230,91.97520,34.47170,34.47170,26.52110,24.37210,0.33430,3.44990,26.08780,-42.97300,-23.06430,8.25990,-42.97300,-3.74560,3.0153,2.999
2022-06-30,125.76600,3.31000,122.45600,42.46800,-35.38800,79.23000,43.22600,-1.10800,42.11800,1.25200,40.86600,40.86600,-11.53800,29.63400,45.37600,43.22600,19.75600,19.75600,1.50000,1.50000,0.48480,97.36810,34.37020,34.37020,33.48920,23.56280,0.33690,2.69970,33.33690,-38.84680,-24.08830,10.94860,-38.84680,-5.35300,1.0697,1.0691
2022-03-31,126.07100,9.31000,116.76100,65.08900,-33.45100,100.00700,16.75400,7.40900,24.16300,0.75200,23.41100,23.41100,,23.42900,18.22100,16.75400,19.79710,19.79710,1.20000,1.20000,0.40630,92.61530,13.28930,13.28930,19.16620,18.58400,0.33920,2.58410,34.82820,-16.84890,-11.43090,6.29810,-16.84890,-7.07030,0.92990,0.90440
2021-12-31,122.58400,11.69700,110.88700,63.01300,-32.62400,97.50200,13.38500,-4.72900,8.65600,0.35400,8.30200,8.30200,,18.04300,14.21200,13.38500,18.35230,18.35230,1.30000,1.30000,0.59210,90.45800,10.91910,10.91910,7.06130,14.71890,0.39170,2.71140,33.19280,-5.15500,-5.09900,2.65250,-5.15500,-8.19490,2.2475,2.2278
2021-09-30,115.17700,1.74500,113.43200,68.55500,-156.15500,224.82000,-111.38800,12.83700,-98.55100,0.26400,-98.81500,-98.81500,-4.88600,-103.70100,-110.74300,-111.38800,17.65840,17.65840,-5.90000,-5.90000,0.49810,98.48490,-96.71030,-96.71030,-85.56480,-90.03620,0.42090,2.41620,37.24880,55.32320,54.82660,-36.10700,55.32320,-9.08870,2.9086,2.8931
2021-06-30,109.64400,1.56600,108.07800,93.99200,-29.51000,123.60800,-15.53000,0.71100,-14.81900,0.32500,-15.14400,-15.14400,-4.86600,-20.01000,-14.92100,-15.53000,18.19090,18.19090,-1.10000,-1.10000,0.36620,98.57170,-14.16400,-14.16400,-13.51560,-18.25000,0.50100,1.68260,53.48910,8.17000,8.10000,-6.91960,8.17000,-92680.49000,-0.438,-0.4555
2021-03-31,86.68900,3.93700,82.75200,67.53600,-24.48000,92.47500,-9.72300,-1.88000,-11.60300,0.18400,-11.78700,-11.78700,,-11.78700,-9.26400,-9.72300,17.65840,17.65840,-0.70000,-0.70000,0.29020,95.45850,-11.21590,-11.21590,-13.38460,-13.59690,0.34560,,,-235.73970,-235.74070,-4.69950,-235.73970,5.65420,1.03190,1.02470
2020-12-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,-4.4813,-4.4734
2020-09-30,64.50000,4.22000,60.28000,53.34500,-18.42200,71.93000,-11.65000,0.70200,-10.94800,0.22300,-11.17100,-11.17100,,-11.17100,-11.48700,-11.65000,17.65840,17.65840,-0.60000,-0.60000,3.67760,93.45740,-18.06200,-18.06200,-16.97360,-17.31940,0.25650,,,-223.41980,-223.42000,-4.44280,-223.41980,6.23440,-23326.1887,-23301.7166
2020-06-30,63.26000,3.61200,59.64800,31.27800,-18.41800,49.84600,9.80200,0.81600,10.61800,0.20900,10.40900,10.40900,,10.40900,9.80200,9.80200,0.00200,0.00200,5200.00000,5200.00000,,94.29020,15.49480,15.49480,16.78470,16.45430,,,,,,,,,23330.67,23306.19
2019-12-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
