Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,1287.34900,570.67780,716.67100,370.35350,408.75340,307.91750,,307.91750,65.20140,242.71610,242.71610,,239.49750,471.11500,471.11500,0.51040,0.51040,0.78240,3.59590,42.96500,33.41810,0.00950,5.13560,5.24600,0.32320,1.11740,10.03180,-0.7892,-0.8042
2024-03-31,1337.92900,737.16280,600.76620,386.46080,426.36220,174.40390,,174.40390,39.05550,135.34840,135.34840,,132.27610,471.11500,471.11500,0.28160,0.28160,0.80800,4.20860,29.03030,22.01790,0.00730,2.86780,2.92930,0.16450,0.55060,10.01800,-0.62370,-0.65250
2023-12-31,1631.26600,1047.98700,583.27970,171.45330,211.72700,371.55200,,369.25720,71.02420,298.23300,298.23300,,299.21050,471.11500,471.11500,0.63280,0.63280,0.77470,3.43800,63.30710,51.29800,0.00680,4.65190,4.73840,0.34960,1.04820,13.60810,2.7605,2.6569
2023-09-30,1453.78400,955.95360,497.83080,364.38360,407.95540,89.87520,,89.87520,15.93600,73.93920,73.93920,,67.93920,471.11500,471.11500,0.14400,0.14400,0.80270,4.06750,18.05340,13.64710,0.00570,1.42710,1.45930,0.08500,0.28160,10.99730,-1.2631,-1.3133
2023-06-30,1690.95700,1071.40400,619.55270,392.76510,438.17700,181.37600,,181.37600,8.69180,172.68420,172.68420,,165.34310,471.11500,471.11500,0.35360,0.35360,0.79910,3.97750,29.27530,26.68750,0.00690,3.09790,3.16760,0.19340,0.62240,11.83200,0.1616,0.1385
2023-03-31,1479.46400,897.78600,581.67830,349.26840,392.52500,189.15360,,189.15360,21.40560,167.74800,167.74800,,162.81960,471.11500,471.11500,0.34560,0.34560,0.80070,4.01830,32.51860,27.99130,0.00700,3.46500,3.55510,0.20110,0.69050,10.27590,1.69240,1.67880
2022-12-31,1384.29500,1051.27800,333.01770,269.85830,300.64700,32.37010,,32.36970,-11.97510,44.34490,44.34490,,41.84400,471.11530,471.11530,0.08900,0.08900,0.76360,3.22940,9.72010,12.56510,0.00440,0.81210,0.83020,0.05890,0.19200,11.59030,-1.0936,-1.1607
2022-09-30,1314.71400,727.64560,587.06880,331.32660,366.63040,220.43880,,220.43890,11.58630,208.85260,208.85260,,204.15120,471.11500,471.11500,0.43120,0.43120,0.80260,4.06460,37.54910,34.77470,0.00710,4.78370,4.90460,0.25300,0.94450,9.26720,-2.0044,-2.02
2022-06-30,1438.90000,636.90840,801.99130,373.59960,412.56260,389.42880,,389.42880,42.04320,347.38560,347.38560,,342.61680,471.11500,471.11500,0.72960,0.72960,0.81500,4.40490,48.55770,42.72080,0.00940,7.84370,8.04720,0.40840,1.45120,9.40080,-0.5275,-0.536
2022-03-31,1050.39700,352.36680,698.03040,311.11440,349.05120,348.97920,,348.97920,61.33200,287.64720,287.64720,,282.89160,471.11500,471.11500,0.60000,0.60000,0.79550,3.89090,49.99480,40.52710,0.00950,6.30190,6.45900,0.39000,1.28850,9.68860,2.78730,2.78580
