Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,9.37070,3.56260,5.80810,5.94460,5.94460,-0.13650,-0.26160,-0.39810,-0.11520,-0.28290,-0.28290,,-0.84620,0.69390,-0.13650,4.96450,4.96450,-0.17000,-0.17000,2.84750,0.12410,0.21550,61.98160,-1.45670,-1.45670,-4.24860,-9.03020,0.08740,0.11360,3.16190,28.46390,-1.09040,-0.39850,-0.26380,-0.34910,14.30060,0.0105,-0.0753
2024-06-30,10.33240,3.86070,6.47170,5.93480,5.93480,0.53690,-0.26120,0.27580,0.07980,0.19600,0.19600,,-0.36730,1.37270,0.53690,4.96450,4.96450,-0.07000,-0.07000,3.07730,0.12520,0.20850,62.63520,5.19640,5.19640,2.66880,-3.55460,0.09700,0.13090,2.81880,31.92870,0.73140,0.27490,0.18400,0.24050,14.35760,0.1613,0.0092
2024-03-31,8.80310,3.53040,5.27270,5.87530,5.87530,-0.60260,-0.13160,-0.73420,-0.21240,-0.52180,-0.52180,,-1.08500,0.23420,-0.60260,4.96450,4.96450,-0.22000,-0.22000,2.86640,0.11600,0.20790,59.89630,-6.84510,-6.84510,-8.34040,-12.32500,0.08290,0.12220,2.48320,36.24300,-1.92110,-0.73410,-0.49140,-0.64890,14.31810,-0.60690,-0.66860
2023-12-31,10.75290,4.60940,6.14350,6.40180,6.40180,-0.25830,-0.10140,-0.35970,-0.12450,-0.23520,-0.23520,,-0.74720,0.85150,-0.25830,4.96450,4.96450,-0.15000,-0.15000,2.33340,0.08970,0.16510,57.13370,-2.40240,-2.40240,-3.34520,-6.94870,0.10170,0.16280,3.45000,26.08710,-0.83280,-0.33300,-0.22250,-0.30320,14.22800,-0.3869,-0.5741
2023-09-30,9.34810,3.66350,5.68460,5.96730,5.96730,-0.28280,-0.16760,-0.45030,-0.12330,-0.32700,-0.32700,,-0.83870,0.49970,-0.28280,4.96450,4.96450,-0.17000,-0.17000,2.43930,0.09210,0.13790,60.81020,-3.02490,-3.02490,-4.81730,-8.97190,0.09190,0.14050,2.70550,33.26500,-1.12770,-0.46750,-0.32140,-0.42440,14.08970,0.016,-0.2807
2023-06-30,10.72620,4.47570,6.25060,5.94170,5.94170,0.30880,-0.15950,0.14940,0.04090,0.10850,0.10850,,-0.40330,1.08600,0.30880,4.96450,4.96450,-0.08000,-0.08000,3.11200,0.09320,0.14780,58.27370,2.87930,2.87930,1.39250,-3.75960,0.10830,0.19670,2.68470,33.52290,0.36350,0.15430,0.10950,0.13990,14.15560,0.2281,0.1425
2023-03-31,8.30890,3.83050,4.47850,5.45340,5.45340,-0.97490,-0.05080,-1.02580,-0.28100,-0.74480,-0.74480,,-1.25650,-0.20420,-0.97490,4.96450,4.96450,-0.25000,-0.25000,3.32460,0.09460,0.14970,53.89930,-11.73370,-11.73370,-12.34560,-15.12280,0.08470,0.16970,2.10420,42.77250,-2.46330,-1.06150,-0.75920,-0.96110,14.13370,-0.25780,-0.55610
2022-12-31,11.38800,5.01540,6.37260,6.00120,6.00120,0.37140,-0.04770,0.32370,0.17890,0.14490,0.14490,,-0.32170,1.05890,0.37140,4.96450,4.96450,-0.07000,-0.07000,2.79790,0.08390,0.11810,55.95900,3.26140,3.26140,2.84280,-2.82530,0.11540,0.22590,2.38040,37.80950,0.46000,0.20590,0.14680,0.18860,14.17290,-0.106,-0.4468
2022-09-30,7.60290,3.70870,3.89420,5.12020,5.12020,-1.22600,-0.08220,-1.30820,-0.35840,-0.94980,-0.94980,,-1.41640,-0.58350,-1.22600,4.96450,4.96450,-0.29000,-0.29000,2.83650,0.06210,0.09100,51.21990,-16.12590,-16.12590,-17.20710,-18.63020,0.08010,0.17780,1.88790,47.67100,-2.98550,-1.37510,-1.00030,-1.28960,13.91370,-0.2339,-0.9101
2022-06-30,8.70090,3.87360,4.82730,4.38280,4.38280,0.44440,-0.08980,0.35460,0.09720,0.25740,0.25740,,-0.20920,0.99050,0.44440,4.96450,4.96450,-0.04000,-0.04000,3.99280,0.06280,0.09170,55.48020,5.10800,5.10800,4.07570,-2.40450,0.09270,0.18960,3.03530,29.65090,0.77460,0.36760,0.27410,0.34450,14.10500,-0.0622,-1.0149
