Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,4.72340,1.59800,3.12540,1.62990,-0.69710,3.78300,-0.65760,-5.04680,-5.70440,-5.70440,-5.70440,-6.64550,0.87530,-0.65760,12.47660,12.47660,-0.53000,-0.53000,0.72870,2.68580,-13.92200,-13.92200,-120.76920,-140.69320,0.03240,-14.97740,-15.61880,-3.91130,-4.06250,3.07980,0.0665,0.18
2024-06-30,4.58650,1.49250,3.09400,2.20290,-0.10120,3.65550,-0.56150,-10.81720,-11.37870,-11.37870,-11.37870,-12.39140,0.91260,-0.56150,12.42900,12.42900,-1.00000,-1.00000,0.69390,2.26700,-12.24200,-12.24200,-248.08840,-270.16810,0.03050,-25.51430,-26.44160,-7.55870,-7.80790,3.59180,-0.0576,0.5141
2024-03-31,4.79010,1.56360,3.22650,2.08450,-0.09550,3.53100,-0.30450,-3.43330,-3.73780,-3.73780,-3.73780,-5.76370,1.13530,-0.30450,12.29300,12.29300,-0.47000,-0.47000,0.64760,1.83770,-6.35760,-6.35760,-78.03230,-120.32610,0.02930,-6.71620,-6.91050,-2.28640,-2.36640,4.47840,-0.09230,0.85220
2023-12-31,4.48610,1.51030,2.97580,1.37700,,5.99570,-3.02000,-5.14900,-8.16890,-8.16890,-8.16890,-9.56800,-1.57340,-3.02000,11.84800,11.84800,-0.81000,-0.81000,0.63720,1.75650,-67.31850,-67.31840,-182.09490,-213.28280,0.02550,-13.32330,-13.67230,-4.64240,-4.83270,4.99980,0.1558,0.0622
2023-09-30,4.48420,1.47850,3.00570,1.63560,,2.98730,0.01840,22.14130,22.15970,22.15970,22.15970,20.95850,1.45120,0.01840,11.85130,11.85130,1.77000,1.77000,0.60070,1.50440,0.40990,0.40990,494.17490,467.38840,0.02520,32.53100,33.72620,12.45390,12.98810,5.74430,0.1054,0.2365
2023-06-30,4.54390,1.39920,3.14470,1.81320,,3.18200,-0.03730,-0.16750,-0.20480,-0.20480,-0.20480,-1.83190,1.44470,-0.03730,11.83900,11.83900,-0.15000,-0.15000,0.68860,2.21130,-0.82090,-0.82090,-4.50610,-40.31560,0.02540,-0.43820,-0.46210,-0.11440,-0.13640,3.94360,0.0021,0.2324
2023-03-31,4.12150,1.57500,2.54650,1.96460,,3.29820,-0.75170,0.14320,-0.60850,-0.60850,-0.60850,-1.53100,0.65350,-0.75170,11.83500,11.83500,-0.13000,-0.13000,0.66740,2.00640,-18.23840,-18.23840,-14.76310,-37.14650,0.02330,-1.22660,-1.28930,-0.34380,-0.40790,4.19220,-0.13760,-0.06480
2022-12-31,4.47830,1.47560,3.00270,1.85700,,3.34840,-0.34570,0.68180,0.33610,0.33610,0.33610,-0.78010,1.19180,-0.34570,11.75300,11.75300,-0.07000,-0.07000,,1.83370,-7.72000,-7.72000,7.50550,-17.41880,0.01540,0.63620,0.66660,0.11540,0.63610,4.47520,-0.0813,0.3476
2022-09-30,4.39200,1.43420,2.95780,1.50910,,2.82730,0.13040,0.22070,0.35120,0.35120,0.35120,-1.30200,1.48930,0.13040,11.78000,11.78000,-0.11000,-0.11000,0.63510,1.74050,2.97010,2.97010,7.99580,-29.64590,0.01520,0.64940,0.67970,0.12170,0.23690,4.64050,0.1993,0.2574
2022-06-30,4.32090,1.34810,2.97280,1.21400,,2.53020,0.44260,-0.02450,0.41800,0.41800,0.41800,-0.83020,1.80590,0.44260,11.79900,11.79900,-0.07000,-0.07000,0.62390,1.65910,10.24280,10.24280,9.67510,-19.21410,0.01490,0.73850,0.77140,0.14460,0.27770,4.80040,0.0441,0.3436
