Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-03-31,629.18200,324.22600,304.95600,64.53600,218.93500,,283.47100,21.48500,61.18200,82.66800,28.80100,53.86700,53.86700,,53.86700,44.74600,21.48500,37.58500,37.58500,1.43000,1.43000,,,,,,,,,,,,,,,,,,,,
2023-03-31,572.95200,304.62900,268.32300,52.24300,198.36600,,250.60900,17.71400,20.49900,38.21300,12.76800,25.44500,25.44500,,25.44500,58.01300,17.71400,37.58500,37.58500,0.68000,0.68000,3.46630,,,46.83170,3.09170,3.09170,10.12530,6.66950,4.44100,0.26830,1.34390,2.20820,165.29580,1.47010,1.48490,1.19150,1.47010,46.05190,5.0609,4.9067
2022-03-31,561.34700,268.22500,293.12200,54.54000,113.67700,-61.44600,229.66300,63.45900,14.39900,77.85800,19.59200,58.26600,58.26600,,58.26600,102.71300,63.45900,37.64100,37.64100,1.55000,1.55000,3.09610,,,52.21760,11.30480,11.30480,18.29760,13.86990,10.37970,0.25790,1.27460,1.83030,199.42240,3.40450,3.42820,2.67720,3.40450,45.53530,-5.414,-5.283
2021-03-31,548.97000,252.31400,296.65600,60.15200,91.35500,-558.92400,710.43100,-413.77500,22.70200,-391.07300,9.66700,-400.74000,-400.74000,,-386.65300,-390.09500,-413.77500,38.21000,38.21000,-10.12000,-10.12000,2.17480,,,54.03870,-75.37300,-75.37300,-71.05950,-71.23760,-70.43250,0.22810,1.39950,2.05690,177.44760,-23.63610,-23.73680,-16.64980,-23.63610,44.70440,-5.8641,-5.6167
2020-03-31,644.76900,245.04400,399.72500,59.77700,93.41300,,153.19000,246.53500,51.50000,298.03500,53.48500,244.55000,244.55000,,244.24100,267.91800,246.53500,38.46000,38.46000,6.35000,6.35000,6.88090,,,61.99510,38.23620,38.23620,41.55260,46.22350,37.88040,0.27540,1.60080,2.38110,153.29150,11.59140,11.59140,10.44530,11.59140,55.14560,-1.2404,-1.2393
2019-03-31,669.89300,224.16900,445.72400,63.23800,89.97100,3.67800,149.53100,296.19300,60.66100,356.85400,74.73200,282.12200,282.12200,,281.77700,314.79000,296.19300,38.99000,38.99000,7.23000,7.23000,6.83850,,,66.53660,44.21500,44.21500,46.99110,53.27030,42.06300,0.31370,1.51380,2.34800,155.45330,14.76210,14.76210,13.21210,14.76210,49.58930,0.2414,0.1912
2018-03-31,661.91300,198.40500,463.50800,70.41800,88.19600,-1.88400,160.49800,303.01000,-10.64200,292.36800,81.95400,210.41400,210.41400,-0.33500,211.15000,319.50600,303.01000,40.15500,40.15500,5.26000,5.26000,8.79060,,,70.02550,45.77790,45.77790,48.27010,44.17020,31.90000,0.27200,1.37210,2.00930,181.65270,9.51930,9.51930,8.64760,9.51930,56.06170,-2.5328,-2.5159
2017-03-31,879.38700,208.13600,671.25100,70.64400,85.65600,,156.30000,514.95100,45.84700,560.79800,103.78000,457.01800,457.01800,-0.35200,456.35600,529.78000,514.95100,41.30100,41.30100,11.05000,11.05000,9.52660,,,76.33170,58.55800,58.55800,60.24420,63.77150,51.89480,0.38410,1.47570,1.87020,195.16370,22.03770,22.03770,19.95930,22.03770,51.18870,1.3687,1.152
2016-03-31,950.75100,171.78500,778.96590,71.16000,92.36500,-0.97300,164.49800,614.46800,22.35200,636.82000,95.31300,541.50700,541.50700,-0.23600,540.93200,629.31600,614.46800,42.83200,42.83200,12.62000,12.62000,7.64920,,,81.93170,64.62980,64.62980,66.19150,66.98070,56.89520,0.43450,1.23990,1.86670,195.53730,27.95390,27.95390,24.74860,27.95390,47.93010,-0.2717,-0.253
2015-03-31,862.94400,186.35900,676.58500,65.51000,87.64400,4.20000,148.95400,527.63100,54.04900,581.68000,96.05900,485.62100,485.62100,-0.78700,484.25700,543.42900,527.63100,42.83400,42.83400,11.31000,11.31000,4.88320,0.00350,0.00420,78.40430,61.14310,61.14310,62.97380,67.40650,56.11690,0.49660,1.54950,1.82310,200.20810,34.26180,34.26180,27.94550,34.14190,34.95370,1.4197,1.4378
