Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-09-30,13.29100,2.81300,10.47800,4.26700,7.01000,11.27700,-0.79900,-6.09900,-6.89800,0.19200,-7.09000,,-6.95800,,-6.85000,-0.74400,-0.79900,18.51500,18.51500,-0.37000,-0.37000,1.57200,,,78.83530,-6.01160,-6.01160,-51.89980,-51.53860,0.15370,,4.73490,19.00760,-13.90070,-14.67530,-8.04840,-13.90070,2.53010,-0.0176,-0.0267
2023-06-30,12.86800,2.62100,10.24700,4.91100,8.16700,13.07800,-2.83100,-6.10000,-8.93100,,-8.93100,,-8.76100,,-8.41100,-2.62500,-2.83100,22.38500,22.38500,-0.36000,-0.36000,1.77160,,,79.63170,-22.00030,-22.00030,-69.40470,-65.36370,0.15560,,4.62710,19.45060,-15.60040,-16.39930,-10.59640,-15.60040,3.04080,-0.1271,-0.1386
2023-03-31,12.14900,2.72300,9.42600,4.90200,7.94300,12.84500,-3.41900,8.60900,5.19000,,5.19000,,5.33400,,5.97000,-3.35500,-3.41900,25.42100,27.56100,0.23500,0.21700,1.96070,,,77.58660,-28.14220,-28.14220,42.71960,49.13990,0.12070,,4.77560,18.84600,7.44040,7.76170,5.30150,7.44040,2.83450,-0.10260,-0.13200
2022-12-31,12.50400,2.75700,9.74700,4.22300,9.29300,13.51600,-3.76900,-17.48600,-21.25500,,-18.91300,,-18.71500,,-18.43700,-3.18600,-3.76900,25.19900,25.19900,-0.93500,-0.93500,2.10080,,,77.95110,-30.14240,-30.14240,-169.98560,-147.44890,0.13070,,2.66950,33.71400,-28.05260,-29.36050,-19.56490,-28.05260,2.63780,-0.0875,-0.1204
2022-09-30,,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,,,
2022-06-30,10.98500,2.51400,8.47100,4.09200,8.12200,12.21400,-3.74300,13.34900,9.60600,,9.60600,,-1.54800,,-1.35600,-3.68200,-3.74300,25.28700,25.28700,-0.04500,-0.04500,,,,77.11430,-34.07370,-34.07370,87.44650,-12.34410,,,,,,,,,,0.009,0.0058
2022-03-31,10.32100,2.44700,7.87400,3.59800,9.06700,12.66500,-4.79100,1.59100,-3.20000,,-3.20000,,-3.68400,,-3.31700,-4.73900,-4.79100,24.91800,24.91800,-0.13300,-0.13300,,,,76.29110,-46.41990,-46.41990,-31.00480,-32.13840,,,,,,,,,,-0.07320,-0.25680
2019-06-30,104.76500,100.33600,4.42900,6.48300,13.29400,19.77700,-15.34800,108.99900,93.65100,-0.47200,94.12300,,93.64900,,95.67400,-15.34800,-15.34800,23.26440,24.05010,3.15030,2.52030,1.24400,0.00370,0.11260,4.22760,-14.64990,-14.64990,89.39150,91.32250,0.26700,2.23800,5.57790,16.13500,34.40210,50.14110,23.86270,34.27620,,0,0
2019-03-31,110.36300,101.53700,8.82600,6.76000,13.13200,19.89200,-11.06600,-15.45300,-26.51900,1.10000,-27.61900,,-28.05500,,-27.94700,-11.06600,-11.06600,23.19440,23.19440,-1.20010,-1.20010,1.10560,0.08790,0.39680,7.99720,-10.02690,-10.02690,-24.02890,-25.32280,0.26680,2.17560,4.39590,20.47370,-18.02850,-41.04670,-6.78170,-16.44350,,0.00000,
2018-12-31,117.65400,107.88500,9.76900,6.55100,13.72000,20.27100,-10.50200,-70.87900,-81.38100,7.80700,-89.18800,,-89.53000,58.42400,-23.26900,-10.50200,-10.50200,23.03200,23.03200,-1.02040,-0.42040,1.22940,0.16210,0.46910,8.30320,-8.92610,-8.92620,-69.16980,-19.77750,0.26910,1.82250,4.37390,20.57650,-49.48100,-93.83520,-20.47840,-41.46100,7.80950,-2.6154,-0.0319
