Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.36160,0.28310,-0.33860,-0.98330,-0.00280,-0.98600,-0.98600,-0.98600,-0.98600,-0.98330,-0.98330,2.24930,2.24930,-0.44000,-0.44000,5.13430,46.22600,-72.13430,-58.14230,-72.13430,0.60780,-0.4256,-0.4256
2024-06-30,0.21070,0.30640,-0.49210,-1.00920,-0.00180,-1.01090,-1.01090,-1.01090,-1.01090,-1.00920,-1.00920,2.24900,2.24900,-0.45000,-0.45000,6.32940,80.62450,-45.00700,-37.89610,-45.00700,0.99870,-0.3642,-0.3642
2024-03-31,0.11910,0.31770,-0.53020,-0.96690,-0.00440,-0.97130,-0.97130,-0.97130,-0.97130,-0.96690,-0.96690,2.24900,2.24900,-0.43000,-0.43000,7.75480,259.96860,-31.06870,-27.06230,-31.06870,1.39010,-0.35090,-0.35090
2023-12-31,0.14910,0.32010,-0.55670,-1.02590,-0.00630,-1.03230,-1.03230,-1.03230,-1.03230,-1.02590,-1.02590,1.91600,1.91600,-0.35000,-0.35000,13.72790,-208.63650,-25.84020,-23.95790,-25.84020,1.77620,-0.6064,-0.6064
2023-09-30,0.13250,0.35600,-0.53570,-1.02420,0.00540,-1.01880,-1.01880,-1.01880,-1.01880,-1.02420,-1.02420,2.07490,2.07490,-0.49000,-0.49000,16.79210,-71.59450,-20.69410,-19.46170,-20.69410,2.18870,-0.1657,-0.1657
2023-06-30,0.42750,0.52260,-0.72000,-1.67000,0.00160,-1.66840,-1.66840,-1.66840,-1.66840,-1.67000,-1.67000,1.66600,1.66600,-1.00000,-1.00000,7.68760,206.61650,-61.96230,-53.90230,-61.96230,1.61620,-0.705,-0.705
2023-03-31,0.18910,0.51950,-0.66160,-1.37010,0.00250,-1.36770,-1.36770,-1.36770,-1.36770,-1.37010,-1.37010,1.66500,1.66500,-0.82000,-0.82000,17.32420,-235.46800,-33.51430,-31.57970,-33.51420,2.44960,-0.76360,-0.76360
2022-12-31,0.45360,0.58420,-0.59480,-1.63260,0.00130,-1.63130,-1.63130,-1.63130,-1.63130,-1.63260,-1.63260,1.58200,1.58200,-0.95000,-0.95000,14.05150,-97.96270,-31.58240,-29.33480,-31.58240,3.10220,-0.8707,-0.8707
2022-09-30,0.27240,0.64400,-0.56220,-1.47850,0.00050,-1.47800,-1.47800,-1.47800,-1.47800,-1.47850,-1.47850,1.66470,1.66470,-0.89000,-0.89000,16.70100,-50.77080,-23.05380,-21.67340,-23.05380,3.85120,-0.6683,-0.6683
2022-06-30,0.16480,0.75350,-0.62770,-1.54600,-0.00030,-1.54630,-1.54630,-1.54630,-1.54630,-1.54600,-1.54600,1.62010,1.62010,-0.95000,-0.95000,15.09540,-38.73250,-20.63870,-19.27150,-20.63870,4.50080,-0.6231,-0.6231
