Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,115.48200,19.15900,96.32300,4.00100,77.75100,81.75200,14.57100,1.66300,16.23400,4.73600,11.49800,11.49800,11.49800,14.57100,14.57100,52.14800,53.77000,0.21000,0.21000,1.63340,83.40950,12.61760,12.61760,14.05760,9.95650,0.53430,17.72340,47.13550,1.90940,13.38700,13.38830,5.31940,13.38700,,0.00000,
2024-06-30,134.06400,18.90000,115.16400,2.77600,78.84500,83.00300,32.16100,1.21800,33.37900,6.65000,26.72900,26.72900,26.72900,32.16100,32.16100,55.00000,56.68200,0.51000,0.48000,1.52880,85.90230,23.98930,23.98930,24.89780,19.93750,0.68320,21.64950,46.02270,1.95560,37.60890,37.60890,13.62140,37.60890,1.38780,0.6863,0.6775
2024-03-31,130.96000,20.20000,110.76000,5.37900,106.09100,111.47000,-0.71000,1.41200,0.70200,-1.32400,2.02600,2.02600,2.02600,-0.71000,-0.71000,54.91800,56.96400,0.03000,0.03000,1.25750,84.57540,-0.54210,-0.54210,0.53600,1.54700,0.63560,20.30150,30.64830,2.93650,3.97230,4.08540,0.98330,3.97230,,0,0
2023-12-31,138.10600,20.42500,117.68100,5.77700,97.49000,103.26700,14.41400,0.65200,15.06600,-0.09000,15.15600,15.15600,15.15600,14.41400,14.41400,55.12300,55.78700,0.27000,0.27000,1.31180,85.21060,10.43690,10.43690,10.90900,10.97420,0.72670,9.86710,50.42210,1.78490,29.83460,30.71620,7.97440,29.83470,0.90470,0,0
2023-09-30,119.12500,16.20000,102.92500,6.00300,90.86000,96.86300,6.06200,2.15200,8.21400,-0.92500,9.13900,9.13900,9.13900,6.06200,6.06200,56.35200,58.33500,0.15000,0.15000,1.20730,86.40080,5.08880,5.08880,6.89530,7.67180,0.70050,5.42530,31.87720,2.82330,25.00140,26.02740,5.37390,25.00140,0.64710,0.00000,
2023-06-30,100.68500,14.33300,86.35200,6.41700,72.63400,79.05100,7.30100,1.11500,8.41600,0.42400,7.99200,7.99200,8.12600,7.30100,7.30100,34.64900,34.64900,0.79900,0.79900,1.17350,85.76450,7.25130,7.25130,8.35870,8.07070,0.59680,,17.65170,5.09870,25.66140,25.66150,4.73690,25.66150,0.56410,0.9378,0.9149
2023-03-31,117.54400,14.71500,102.82900,7.22200,98.97000,106.19200,-3.36300,1.02200,-2.34100,0.95800,-3.29900,-3.29900,-3.71600,-3.36300,-3.36300,45.25620,45.25620,-0.09000,-0.09000,1.06320,87.48130,-2.86110,-2.86110,-1.99160,-3.16140,0.71340,,22.80190,3.94700,-19.26530,-19.26540,-2.00220,-19.26540,0.31020,0,0
2022-12-31,114.02100,14.39000,99.63100,9.31800,96.76800,106.08600,-6.45500,0.60300,-5.85200,0.15000,-6.00200,-6.00200,-7.45800,-6.45500,-6.45500,19.27970,19.27970,-0.39000,-0.39000,0.76820,87.37950,-5.66120,-5.66120,-5.13240,-6.54090,0.93270,,24.10080,3.73430,4.94780,4.94780,-4.90960,4.94780,-6.66000,-0.2205,-0.22
2022-09-30,92.69200,10.55200,82.14000,7.35200,87.93800,95.29000,-13.15000,0.93400,-12.21600,1.45800,-13.67400,-13.67400,-15.00500,-13.03900,-13.15000,18.14660,18.14660,-0.84000,-0.84000,0.75210,88.61610,-14.18680,-14.18680,-13.17910,-16.18800,1.02390,,22.89260,3.93140,11.47600,11.47600,-15.10510,11.47600,-2.16330,0.22050,0.22000
2022-06-30,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
