Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1.09300,2.74700,-3.84000,-0.03600,-3.87600,0.00700,-3.88300,-3.88300,-3.88300,-3.83400,-3.84000,1.14500,1.14500,-3.39000,-3.39000,8.67600,-18.54790,-18.54790,-16.61110,-18.54790,16.69460,-2.7009,-2.7009
2024-06-30,1.83400,2.77500,-5.57700,0.28100,-5.29600,0.04200,-5.33800,-5.33800,-5.33800,-5.49000,-5.57700,1.08460,1.08460,-5.00000,-5.00000,6.78570,-22.63020,-22.63020,-19.55530,-22.63020,21.74330,-3.7794,-3.7794
2024-03-31,2.46300,3.27800,-5.74100,0.26400,-5.47700,,-5.47700,-5.47700,-5.47700,-5.74800,-5.74100,1.08450,1.08450,-5.00000,-5.00000,7.07300,-19.45030,-19.45030,-16.86420,-19.45030,25.96450,-5.47340,-5.47340
2023-12-31,2.76800,3.18300,-6.67100,0.19600,-6.47500,,-6.47500,-6.47500,-6.47500,-6.67300,-6.67100,1.06290,1.06290,-5.50000,-5.50000,6.30770,-20.02720,-20.02720,-16.93830,-20.02720,29.79820,-11.2614,-11.1834
2023-09-30,2.55100,3.30400,-8.58300,0.44700,-8.13600,,-8.13600,-8.13600,-8.13600,-8.53000,-8.58300,1.08400,1.08400,-7.50000,-7.50000,3.74780,-21.76450,-21.76450,-16.25610,-21.76450,34.46870,-7.3683,-7.3683
2023-06-30,8.08900,3.07000,-11.15900,0.41500,-10.74400,,-10.74400,-10.74400,-10.74400,-11.23600,-11.15900,1.05500,1.05500,-10.25000,-10.25000,3.71630,-24.58580,-24.58580,-18.27120,-24.58580,40.43000,-7.203,-7.203
2023-03-31,10.36200,3.13000,-13.49200,0.49800,-12.99400,,-12.99400,-12.99400,-12.99400,-13.62800,-13.49200,1.02690,1.02690,-12.75000,-12.75000,4.06230,-25.81610,-25.81610,-20.10520,-25.81610,49.01360,-8.89460,-8.89460
2022-12-31,10.77000,2.75500,-13.52500,-0.54400,-14.06900,,-14.06900,-14.06900,-14.06900,-13.38500,-13.52500,1.01640,1.01640,-13.75000,-13.75000,5.75400,-22.78270,-22.78270,-19.22310,-22.78270,60.18340,-11.3645,-11.4054
2022-09-30,10.49400,3.12800,-13.62200,-0.10800,-13.73000,,-13.73000,-13.73000,-13.73000,-13.60700,-13.62200,1.01970,1.01970,-13.50000,-13.50000,8.03780,-18.87880,-18.87880,-16.73880,-18.87880,71.07520,-9.4706,-9.6058
2022-06-30,13.70700,3.41400,-17.12100,0.23400,-16.88700,,-16.88700,-16.88700,-16.88700,-16.94000,-17.12100,1.01080,1.01080,-16.75000,-16.75000,10.97780,-19.85190,-19.85190,-18.18580,-19.85190,83.91700,-14.6793,-14.6535
