Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,57.69800,28.23100,29.46700,26.48900,25.35900,-2.48200,54.33000,-24.86300,5.66700,-19.19600,0.11900,-19.31500,-19.31500,-19.31500,-16.95700,-24.86300,23.23700,23.23700,-0.83000,-0.83000,5.74950,,51.07110,-43.09160,-43.09160,-33.26980,-33.47600,0.06570,0.39280,1.91210,47.06840,-2.77420,-4.37250,-2.20010,-2.77420,29.80200,0.3501,-0.2869
2024-06-30,43.86600,22.34300,21.52300,25.49000,25.19000,-3.16300,53.84300,-32.32000,5.53300,-26.78700,-0.01800,-26.76900,-26.76900,-26.76900,-24.39500,-32.32000,22.99700,22.99700,-1.16000,-1.16000,6.88830,,49.06530,-73.67890,-73.67890,-61.06550,-61.02450,0.04990,0.31560,2.09030,43.05700,-3.86550,-6.16420,-3.04690,-3.86550,29.93740,-0.0086,-0.1188
2024-03-31,33.02200,15.36100,17.66100,25.54400,23.91300,-3.24200,52.69900,-35.03800,6.34700,-28.69100,0.01300,-28.70400,-28.70400,-28.70400,-29.43700,-35.03800,22.76500,22.76500,-1.26000,-1.26000,5.17750,,53.48250,-106.10500,-106.10500,-86.88450,-86.92390,0.03500,0.20650,1.96860,45.71680,-4.12290,-6.61570,-3.04510,-4.12290,30.43940,0.07590,-0.05170
2023-12-31,42.40200,18.71000,23.69200,22.91800,20.51500,,51.16100,-27.46900,7.48100,-19.98800,0.01000,-19.99800,-19.99800,-19.99800,-23.07700,-27.46900,22.18800,22.18800,-0.89000,-0.89000,5.13400,,55.87470,-64.78230,-64.78230,-47.13930,-47.16290,0.04460,0.28550,1.93960,46.40090,-2.82440,-4.50530,-2.10130,-2.82440,31.20270,-0.0607,-0.1904
2023-09-30,35.52000,15.60300,19.91700,23.64700,21.44700,,45.09400,-25.17700,7.10100,-18.07600,0.04900,-18.12500,-18.12500,-18.12500,-21.18800,-25.17700,22.32600,22.32600,-0.81000,-0.81000,21.32040,,56.07260,-70.88120,-70.88120,-50.88960,-51.02760,0.04750,0.24180,1.41050,63.80570,-2.55160,-2.57210,-2.42410,-2.55160,31.63260,-0.1206,-0.2276
2023-06-30,27.72800,12.29000,15.43800,26.56700,21.27600,,47.84300,-32.40500,6.50600,-25.89900,0.02300,-25.92200,-25.92200,-25.92200,-28.48200,-32.40500,22.07400,22.07400,-1.17000,-1.17000,21.76410,,55.67660,-116.86740,-116.86740,-93.40380,-93.48670,0.03720,0.19130,1.75840,51.18330,-3.65990,-3.69230,-3.47710,-3.65990,31.88960,-0.0039,-0.0743
2023-03-31,38.34300,15.30200,23.04100,24.45700,20.73300,,45.19000,-22.14900,5.72900,-16.42000,0.07000,-16.49000,-16.49000,-16.49000,-18.32500,-22.14900,21.79400,21.79400,-0.76000,-0.76000,26.44390,,60.09180,-57.76550,-57.76550,-42.82400,-43.00660,0.05140,0.25500,1.78640,50.38100,-2.31060,-2.32630,-2.20920,-2.31060,32.51000,0.54830,0.45220
2022-12-31,60.83900,23.08000,37.75900,23.79800,19.69200,,43.49000,-5.73100,4.16200,-1.56900,-0.04100,-1.52800,-1.52800,-1.52800,-2.38500,-5.73100,21.24500,22.66400,-0.08000,-0.07000,19.79840,,62.06380,-9.41990,-9.41990,-2.57890,-2.51150,0.08110,0.40030,1.47560,60.99060,-0.21570,-0.21730,-0.20360,-0.21570,32.64580,0.2087,-0.0884
2022-09-30,73.09500,25.79900,47.29600,23.87800,19.88600,,43.76400,3.53200,2.25400,5.78600,0.00300,5.78300,5.78300,5.78300,6.76000,3.53200,21.35300,22.61400,0.27000,0.26000,18.91810,,64.70480,4.83210,4.83210,7.91570,7.91160,0.09900,0.56840,1.62810,55.27930,0.83280,0.83850,0.78350,0.83280,32.39610,-0.01,-0.3568
2022-06-30,79.41800,26.74400,52.67400,22.01700,18.37600,,40.39300,12.28100,0.63000,12.91100,0.05200,12.85900,12.85900,12.85900,15.00600,12.28100,21.14800,22.72100,0.61000,0.57000,15.14960,,66.32500,15.46380,15.46380,16.25700,16.19150,0.10820,0.77780,2.05090,43.88380,1.89020,1.90230,1.75200,1.89020,31.95920,0.6731,0.2425
2022-03-31,70.25300,25.02000,45.23300,20.59500,18.57800,,39.17300,6.06000,0.14800,6.20800,0.06800,6.14000,6.14000,6.14000,8.60400,6.06000,20.92100,22.70300,0.29000,0.27000,18.71710,,64.38590,8.62600,8.62600,8.83660,8.73980,0.10060,0.81360,2.29200,39.26650,0.93900,0.94540,0.87960,0.93900,31.07470,0.88220,0.55390
2021-12-31,75.74100,23.61800,52.12300,15.85200,16.09000,,31.94200,20.18100,-0.31100,19.87000,0.01100,19.85900,19.85900,19.85900,22.55300,20.18100,19.00600,21.14400,1.06000,0.97000,16.74320,,68.81740,26.64470,26.64480,26.23410,26.21960,0.11170,0.99950,1.97370,45.60070,3.13980,3.16970,2.92820,3.13980,30.37200,1.1748,0.6587
2021-09-30,63.02900,21.33400,41.69500,13.00500,14.61600,,27.62100,14.07400,-0.11000,13.96400,0.00400,13.96000,13.96000,13.96000,16.08400,14.07400,19.14900,21.25200,0.73000,0.66000,9.66190,,66.15210,22.32940,22.32940,22.15490,22.14850,0.17150,1.08650,1.94110,46.36580,4.28220,4.34270,3.79920,4.28220,16.93140,1.122,0.7228
2021-06-30,44.49600,17.66900,26.82700,12.06700,12.68600,,24.75300,2.07400,-0.02800,2.04600,0.02300,2.02300,2.02300,2.02300,4.00100,2.07400,18.94200,20.89300,0.11000,0.10000,12.74510,,60.29080,4.66110,4.66110,4.59820,4.54650,0.13310,0.95540,1.60750,55.98910,0.66560,0.67110,0.60500,0.66560,15.94490,0.1573,-0.1714
2021-03-31,35.54200,16.72500,18.81700,11.18000,11.12300,,22.30300,-3.48600,-0.03900,-3.52500,0.04000,-3.56500,-3.56500,-3.56500,-1.86900,-3.48600,17.86800,17.86800,-0.20000,-0.20000,13.69360,,52.94300,-9.80810,-9.80810,-9.91780,-10.03040,0.10970,1.11650,1.53260,58.72210,-1.20740,-1.21790,-1.10010,-1.20740,15.67250,0.34000,0.12360
2020-12-31,40.27400,19.20300,21.07100,8.74600,10.25100,,18.99700,2.07400,-0.08300,1.99100,,1.99100,1.99100,1.99100,3.51000,2.07400,16.06400,16.06400,0.16000,0.16000,5.91170,,52.31910,5.14970,5.14970,4.94360,4.94360,0.29610,1.55490,1.63340,55.09860,1.81200,1.84680,1.46390,1.81200,6.40700,0.4484,0.3014
