Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,11.00000,11.00000,16.39500,5.87500,-11.27000,0.68400,-10.58600,-10.58600,-10.58600,-10.58600,-11.04200,-11.27000,48.33590,48.33590,-0.22000,-0.22000,3.11210,,,100.00000,-102.45460,-102.45460,-96.23640,-96.23640,0.17670,-46.09020,-46.09020,-17.00950,-46.09020,0.47510,-0.1035,-0.1035
2024-06-30,,,16.19800,5.77400,-21.97200,0.90000,-21.07200,-21.07200,-21.07200,-21.07200,-21.74300,-21.97200,48.21490,48.21490,-0.44000,-0.44000,3.80790,,,,,,,,,-67.17250,-67.17250,-30.70020,-67.17250,0.64910,-0.3964,-0.3964
2024-03-31,,,18.85200,5.60500,-24.45700,1.22300,-23.23400,-23.23400,-23.23400,-23.23400,-24.21700,-24.45700,48.08750,48.08750,-0.48000,-0.48000,4.48730,,,,,,,,,-46.73340,-46.73340,-26.04800,-46.73340,1.03350,-0.64110,-0.64110
2023-12-31,,,22.67400,5.86200,-28.53600,1.61100,-26.92500,-26.92500,-26.92500,-26.92500,-28.16800,-28.53600,47.77760,47.77760,-0.55000,-0.55000,4.10690,,,,,,,,,-38.09850,-38.09850,-22.50160,-38.09850,1.46990,-0.6281,-0.6283
2023-09-30,,,28.40000,6.62000,-35.02000,1.69500,-33.32500,-33.32500,-33.32500,-33.32500,-34.75000,-35.02000,47.83410,47.83410,-0.70000,-0.70000,4.14330,,,,,,,,,-35.18900,-35.18900,-22.01680,-35.18900,1.97680,-0.5691,-0.5695
2023-06-30,,,30.96000,6.24100,-37.20100,1.44900,-35.75200,-35.75200,-35.75200,-35.75200,-36.91100,-37.20100,47.70640,47.70640,-0.75000,-0.75000,5.20930,,,,,,,,,-28.71280,-28.71280,-19.90240,-28.71280,2.60480,-0.5038,-0.5041
2023-03-31,,,21.69700,7.23300,-28.93000,1.47000,-27.46000,-27.46000,-27.46000,-27.46000,-28.63700,-28.93000,47.57840,47.57840,-0.58000,-0.58000,7.60650,,,,,,,,,-17.55450,-17.55450,-13.42450,-17.55450,3.28370,-0.47610,-0.47720
2022-12-31,,,21.87400,6.68600,-28.56000,1.01700,-27.54300,-27.54300,-27.54300,-27.54300,-28.26200,-28.56000,38.92730,38.92730,-0.63000,-0.63000,9.52970,,,,,,,,,-15.27290,-15.27290,-12.20140,-15.27290,3.79280,-0.5616,-0.5622
2022-09-30,,,19.83900,6.34000,-26.17900,0.40000,-25.77900,-25.77900,-25.77900,-25.77900,-25.87900,-26.17900,37.51680,37.51680,-0.69000,-0.69000,7.69400,,,,,,,,,-18.07350,-18.07350,-13.63160,-18.07350,3.79580,-0.6373,-0.6388
2022-06-30,,,20.71100,8.34400,-29.05500,0.14900,-28.90600,-28.90600,-28.90600,-28.90600,-28.76700,-29.05500,37.42030,37.42030,-0.77000,-0.77000,8.12310,,,,,,,,,-17.52390,-17.52390,-13.53940,-17.52390,4.40050,-0.4504,-0.4548
2022-03-31,,,16.92300,7.42300,-24.34600,0.09200,-24.25400,-24.25400,-24.25400,-24.25400,-24.03300,-24.34600,37.32240,37.32240,-0.65000,-0.65000,13.03500,,,,,,,,,-12.76170,-12.76170,-10.51540,-12.76170,5.08390,-0.67350,-0.67380
2021-12-31,,,16.44800,7.04000,-23.48800,0.09800,-23.39000,-23.39000,-23.39000,-23.39000,-23.17400,-23.48800,34.56120,34.56120,-0.62000,-0.62000,12.48130,,,,,,,,,-11.09470,-11.09470,-9.19340,-11.09470,5.65340,-0.5832,-0.5853
2021-09-30,,,16.55300,7.14200,-23.69500,0.76500,-22.93000,-22.93000,-22.93000,-22.93000,-23.31500,-23.69500,33.90950,33.90950,-0.68000,-0.68000,6.04760,,,,,,,,,-9.94130,-9.94130,-8.26070,-9.94130,6.26160,-0.3695,-0.3723
2021-06-30,0.25000,0.25000,14.85000,15.86000,-30.46000,0.07900,-30.38100,-30.38100,-30.38100,-30.38100,-30.13300,-30.46000,33.67890,33.67890,-0.90000,-0.90000,5.87260,0.00380,0.00380,100.00000,-12184.00000,-12184.00000,-12152.40000,-12152.40000,0.00120,-17.06580,-17.06580,-14.01930,-17.00060,5.26590,-0.4016,-0.4085
2021-03-31,,,10.42300,8.37400,-18.79700,0.09600,-18.70100,-18.70100,-18.70100,-18.70100,-18.48800,-18.79700,33.63360,33.63360,-0.56000,-0.56000,7.35610,0.00350,0.00350,,,,,,,-9.54540,-9.54540,-8.16330,-9.51230,5.81970,-0.44580,-0.46070
2020-12-31,,,10.48500,5.97000,-16.45500,0.06000,-16.39500,-16.39500,-16.39500,-16.39500,-16.16300,-16.45500,8.42820,8.42820,-3.06000,-3.06000,7.46040,0.00320,0.00320,,,,,,,-7.80810,-7.80810,-6.69360,-7.78280,6.23730,-4.0349,-4.1025
2020-09-30,0.15000,0.15000,4.86400,3.30100,-8.01500,-3.61700,-11.63200,-11.63200,-11.63200,-11.63200,-7.73000,-8.01500,80.86070,80.86070,-0.13000,-0.13000,,,,100.00000,-5343.33300,-5343.33300,-7754.66600,-7754.66600,,,,,,,-0.2761,-0.2785
2020-06-30,0.19000,0.19000,2.92300,1.78700,-4.52000,-1.70200,-6.22200,-6.22200,-6.22200,-6.22200,-4.30500,-4.52000,,,,0.00000,,,,100.00000,-2378.94800,-2378.94800,-3274.73700,-3274.73700,,,,,,,0,0
2020-03-31,0.08900,0.08900,1.66100,-0.46300,-1.10900,-0.49500,-1.60400,-1.60400,-1.60400,-1.60400,-0.89300,-1.10900,,,,0.00000,,,,100.00000,-1246.06700,-1246.06700,-1802.24700,-1802.24700,,,,,,,0.00000,
2019-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
