Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.12600,0.08200,0.04400,0.42200,1.05300,1.47500,-1.43100,,-1.43100,-1.43100,-1.43100,-1.43100,-1.43000,-1.43100,6.19110,6.19110,-0.23000,-0.23000,5.64820,34.92060,-1135.71400,-1135.71400,-1135.71400,-1135.71400,0.03710,0.11220,14.00000,6.42860,-50.49400,-50.49400,-42.16260,-50.49400,0.45390,0.0323,0.0323
2024-06-30,0.14000,0.11000,0.03000,0.30200,0.93400,1.23600,-1.20600,-0.06000,-1.26600,-1.26600,-1.26600,-1.26600,-1.17400,-1.20600,4.00970,4.00970,-0.32000,-0.32000,7.89000,21.42860,-861.42850,-861.42850,-904.28570,-904.28570,0.02930,0.14360,8.75000,10.28570,-30.20040,-30.20040,-26.46870,-30.20040,0.67790,0.3986,0.3986
2024-03-31,0.33400,0.16700,0.16700,0.25600,1.39200,1.64800,-1.48100,,-1.48100,-1.48100,-1.48100,-1.48100,-1.43500,-1.48100,1.46770,1.46770,-1.01000,-1.01000,2.84980,50.00000,-443.41310,-443.41310,-443.41310,-443.41310,0.10160,0.21580,4.51350,19.94010,-68.78770,-68.78770,-45.07000,-68.78770,1.46110,-1.13510,-1.13510
2023-12-31,0.35700,0.35200,0.00500,0.36000,1.88900,2.24900,-2.24400,,-2.24300,-2.24300,-2.24300,-2.24300,-2.19700,-2.24400,0.79300,0.79300,8.76000,8.76000,3.32050,1.40060,-628.57130,-628.57130,-628.29140,-628.29140,0.06920,0.46560,2.05170,43.86550,-62.65370,-62.65360,-43.49430,-62.65360,2.44190,-5.0699,-5.1195
2023-09-30,0.28200,0.17400,0.10800,0.33700,1.53100,1.86800,-1.76000,,-1.76000,-1.76000,-1.76000,-1.76000,-1.71600,-1.76000,1.18980,1.18980,-1.48000,-1.48000,6.45500,38.29790,-624.11350,-624.11350,-624.11350,-624.11350,0.04020,0.18750,2.15270,41.80850,-30.52910,-30.52910,-25.11770,-30.52910,3.93220,10.7339,11.0323
2023-06-30,0.16100,0.10000,0.06100,0.46800,1.71800,2.18600,-2.12500,,-2.12500,-2.12500,-2.12500,-2.12500,-2.07800,-2.12500,0.29680,0.29680,-7.16000,-7.16000,3.44830,37.88820,-1319.87600,-1319.87600,-1319.87600,-1319.87600,0.03500,0.10120,12.38460,7.26710,-67.22560,-67.22560,-46.23590,-67.22560,10.65110,-4.3398,-4.2702
2023-03-31,0.37600,0.26300,0.11300,0.49000,1.73900,2.22900,-2.11600,,-2.11600,-2.11600,-2.11600,-2.11600,-2.07200,-2.11600,0.20120,0.20120,-10.52000,-10.52000,4.12080,30.05320,-562.76610,-562.76610,-562.76600,-562.76600,0.05300,0.27890,6.59650,13.64360,-40.65320,-40.65320,-29.79860,-40.65320,17.53840,-12.05630,-12.52350
2022-12-31,0.40700,0.36600,0.04100,0.43300,1.86300,2.29600,-2.25500,0.00100,-2.25400,-2.25400,-2.25400,-2.25400,-2.21000,-2.25500,0.09680,0.09680,-22.32000,-22.32000,2.82530,10.07370,-554.05400,-554.05390,-553.80820,-553.80820,0.06930,0.42410,3.80370,23.66090,-62.09370,-62.09370,-38.36600,-62.09370,37.50850,-23.0107,-23.0107
2022-09-30,0.47700,0.41400,0.06300,0.39900,2.24800,2.64700,-2.58400,,-2.58400,-2.58400,-2.58400,-2.58400,-2.53900,-2.58400,0.09680,0.09680,-27.00000,-27.00000,3.75380,13.20760,-541.71910,-541.71910,-541.71910,-541.71910,0.05810,0.54400,5.02110,17.92450,-44.76790,-44.76790,-31.48150,-44.76790,59.64210,-28.4065,-28.4578
2022-06-30,0.52800,0.40300,0.12500,0.49700,2.64600,3.14300,-3.01800,,-3.01800,-3.01800,-3.01800,-3.01800,-2.97600,-3.01800,0.09620,0.09620,-32.00000,-32.00000,4.36160,23.67420,-571.59090,-571.59090,-571.59090,-571.59090,0.04790,0.48380,5.73910,15.68180,-36.86330,-36.86330,-27.37170,-36.86330,85.09080,-18.4267,-18.4273
