Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-12-31,0.13000,3.95500,,-4.08500,0.42700,-3.65800,,-3.65800,-3.65800,-3.65800,-4.06300,-4.08500,5.84900,5.84900,-0.62000,-0.62000,18.68870,-15.44310,-15.44310,-14.62210,-15.44310,4.04840,-0.6054,-0.6054
2023-09-30,0.03000,2.83300,-0.06200,-2.92500,0.33500,-2.59000,,-2.59000,-2.59000,-2.59000,-2.92500,-2.92500,5.85000,5.85000,-0.44000,-0.44000,17.59880,-9.45430,-9.45430,-8.92180,-9.45430,4.68290,-0.6136,-0.6136
2023-06-30,4.48000,1.58300,-1.36400,-7.42700,0.54900,-6.87800,,-6.87800,-6.87800,-6.87800,-7.33200,-7.42700,5.84900,5.84900,-1.18000,-1.18000,9.40790,-22.78240,-22.78240,-20.39440,-22.78240,5.16160,-0.8879,-0.891
2023-03-31,3.67100,1.17900,,-4.85000,0.40800,-4.44200,,-4.44200,-4.44200,-4.44200,-4.75500,-4.85000,5.84600,5.84600,-0.76000,-0.76000,10.80030,-11.99730,-11.99730,-10.75180,-11.99730,6.33120,-0.79170,-0.80280
2022-12-31,2.95700,1.25900,,-4.21600,0.50300,-3.71300,,-3.71300,-3.71300,-3.71300,-4.06600,-4.21600,5.67200,5.67200,-0.61000,-0.61000,12.50880,-8.98770,-8.98770,-8.17100,-8.98770,7.06910,-0.8058,-0.8239
2022-09-30,3.64100,1.40400,,-5.04500,0.29100,-4.75400,,-4.75400,-4.75400,-4.75400,-4.95000,-5.04500,5.84200,5.84200,-0.81000,-0.81000,12.13930,-10.58210,-10.58210,-9.59490,-10.58210,0.38570,-0.7207,-0.733
2022-06-30,3.54500,1.34300,,-4.88800,0.08100,-4.80700,,-4.80700,-4.80700,-4.80700,-4.80500,-4.88800,5.84000,5.84000,-0.82000,-0.82000,13.03870,-9.72600,-9.72600,-8.88110,-9.72600,8.49120,-0.8225,-0.8389
2022-03-31,4.12800,1.75700,,-5.88500,0.05100,-5.83400,,-5.83400,-5.83400,-5.83400,-5.80900,-5.88500,5.15100,5.15100,-1.13000,-1.13000,12.04510,-10.81230,-10.81230,-9.79020,-10.81230,9.27000,-0.94910,-0.98800
2021-12-31,4.12600,1.45200,,-5.57800,0.10100,-5.47700,,-5.47700,-5.47700,-5.47700,-5.51200,-5.57800,4.16000,4.16000,-1.90000,-1.90000,13.05370,-10.80470,-10.80470,-9.84030,-10.80470,10.47340,-3.7857,-4.0197
2021-09-30,3.03600,1.22700,,-4.26300,0.02200,-4.24100,,-4.24100,-4.24100,-4.24100,-4.21300,-4.26300,95.85300,95.85300,-0.04000,-0.04000,15.79860,-7.58120,-7.58120,-7.00120,-7.58120,11.60540,2.0896,2.1437
2021-06-30,2.78100,1.14200,,-3.92300,0.00500,-3.91800,,-3.91800,-3.91800,-3.91800,-3.87700,-3.92300,3.52430,3.52430,-1.20000,-1.20000,8.99610,-13.86850,-13.86850,-12.01580,-13.86850,8.01740,-1.2398,-1.292
2021-03-31,2.40600,1.15100,,-3.55700,-0.00900,-3.56600,,-3.56600,-3.56600,-3.56600,-3.51400,-3.55700,3.40360,3.40360,-1.00000,-1.00000,10.22980,-11.10770,-11.10770,-9.76340,-11.10770,9.11170,-0.97370,-0.98340
2020-12-31,2.83100,1.10200,,-3.93300,0.02400,-3.90900,,-3.90900,-3.90900,-3.90900,-3.89200,-3.93300,1.51760,1.51760,1.80000,1.80000,6.17810,-23.86740,-23.86740,-19.90530,-23.86740,7.08410,-4.0083,-4.1169
